adj_lemma,negative,positive,SUM,neg_ratio,pos_ratio,neg_bin,pos_bin
sure,9548,118,9666,0.988,0.012,1.0,0.0
new,1439,53,1492,0.964,0.036,1.0,0.0
easy,1142,38,1180,0.968,0.032,1.0,0.0
cheap,717,16,733,0.978,0.022,1.0,0.0
happy,468,22,490,0.955,0.045,1.0,0.0
surprising,454,3,457,0.993,0.007,1.0,0.0
subtle,274,10,284,0.965,0.035,1.0,0.0
fun,238,5,243,0.979,0.021,1.0,0.0
thrilled,223,10,233,0.957,0.043,1.0,0.0
conducive,213,6,219,0.973,0.027,1.0,0.0
hard,210,8,218,0.963,0.037,1.0,0.0
healthy,201,10,211,0.953,0.047,1.0,0.0
certain,198,5,203,0.975,0.025,1.0,0.0
pleased,185,9,194,0.954,0.046,1.0,0.0
friendly,180,7,187,0.963,0.037,1.0,0.0
popular,179,7,186,0.962,0.038,1.0,0.0
stellar,175,8,183,0.956,0.044,1.0,0.0
common,166,6,172,0.965,0.035,1.0,0.0
shocking,155,8,163,0.951,0.049,1.0,0.0
high,143,7,150,0.953,0.047,1.0,0.0
rare,140,4,144,0.972,0.028,1.0,0.0
helpful,135,7,142,0.951,0.049,1.0,0.0
short,136,4,140,0.971,0.029,1.0,0.0
difficult,132,2,134,0.985,0.015,1.0,0.0
revolutionary,127,4,131,0.969,0.031,1.0,0.0
exciting,121,5,126,0.96,0.04,1.0,0.0
shy,125,0,125,1.0,0.0,1.0,0.0
safe,119,6,125,0.952,0.048,1.0,0.0
eager,116,4,120,0.967,0.033,1.0,0.0
forthcoming,112,0,112,1.0,0.0,1.0,0.0
practical,111,1,112,0.991,0.009,1.0,0.0
comforting,104,4,108,0.963,0.037,1.0,0.0
impressive,103,0,103,1.0,0.0,1.0,0.0
clear,1755,146,1901,0.923,0.077,0.9,0.1
ideal,433,30,463,0.935,0.065,0.9,0.1
accurate,376,61,437,0.86,0.14,0.9,0.1
good,321,51,372,0.863,0.137,0.9,0.1
great,321,21,342,0.939,0.061,0.9,0.1
fair,278,20,298,0.933,0.067,0.9,0.1
comfortable,202,21,223,0.906,0.094,0.9,0.1
ready,196,15,211,0.929,0.071,0.9,0.1
original,165,11,176,0.938,0.062,0.9,0.1
free,159,11,170,0.935,0.065,0.9,0.1
pleasant,148,8,156,0.949,0.051,0.9,0.1
legal,140,12,152,0.921,0.079,0.9,0.1
bad,129,13,142,0.908,0.092,0.9,0.1
warm,123,14,137,0.898,0.102,0.9,0.1
famous,127,8,135,0.941,0.059,0.9,0.1
full,122,12,134,0.91,0.09,0.9,0.1
close,116,12,128,0.906,0.094,0.9,0.1
positive,105,7,112,0.938,0.062,0.9,0.1
unique,97,8,105,0.924,0.076,0.9,0.1
inspiring,91,9,100,0.91,0.09,0.9,0.1
true,1538,279,1817,0.846,0.154,0.8,0.2
normal,141,28,169,0.834,0.166,0.8,0.2
necessary,90,27,117,0.769,0.231,0.8,0.2
SUM,49576,16610,66186,0.749,0.251,0.7,0.3
alike,2410,1107,3517,0.685,0.315,0.7,0.3
comparable,97,35,132,0.735,0.265,0.7,0.3
perfect,315,185,500,0.63,0.37,0.6,0.4
appropriate,62,47,109,0.569,0.431,0.6,0.4
correct,280,539,819,0.342,0.658,0.3,0.7
wrong,180,472,652,0.276,0.724,0.3,0.7
identical,113,258,371,0.305,0.695,0.3,0.7
analogous,37,88,125,0.296,0.704,0.3,0.7
right,1769,6517,8286,0.213,0.787,0.2,0.8
parallel,51,179,230,0.222,0.778,0.2,0.8
equivalent,43,133,176,0.244,0.756,0.2,0.8
equal,77,501,578,0.133,0.867,0.1,0.9
same,50,487,537,0.093,0.907,0.1,0.9
similar,55,335,390,0.141,0.859,0.1,0.9
zero,18,336,354,0.051,0.949,0.1,0.9
enough,43,264,307,0.14,0.86,0.1,0.9
opposite,14,498,512,0.027,0.973,0.0,1.0
