key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_mirror_] immediately~available,184,0.05910493,5.4384856,0.05975966,1232.566436,immediately,available,564,3079,583470,2.9762558937072754,181.02374267578125,0.9838247,1.9873548,13.345247,1.7911476,0.32127464,0.32624114,0.32127464,0.19018978,mirror
[_direct_] immediately~clear,24488,0.28538105,5.414218,0.29073814,141124.525821,immediately,clear,58040,84227,6347362,770.1679974,23717.8320026,0.9685492,1.8814347,151.56479,1.5023679,0.41241744,0.42191592,0.41241744,0.34889925,direct
[_direct_] immediately~available,21477,0.25305966,5.1808515,0.2588963,116575.848553,immediately,available,58040,82956,6347362,758.546029,20718.453971,0.964681,1.7745433,141.37433,1.4519917,0.36026275,0.3700379,0.36026275,0.30666122,direct
[_direct_] immediately~apparent,2143,0.20989816,4.73115,0.21871811,10042.865501,immediately,apparent,58040,9798,6347362,89.5924827,2053.4075173,0.95819294,1.4978325,44.357193,1.3787506,0.03570567,0.036922812,0.20989816,0.122801915,direct
[_direct_] immediately~adjacent,108,0.30666205,4.692908,0.31578946,591.957531,immediately,adjacent,58040,342,6347362,3.127233,104.872767,0.9710441,1.7009523,10.091387,1.5382636,0.0018235798,0.0018607856,0.30666205,0.15424281,direct
[_direct_] immediately~reachable,109,0.3023013,4.6707034,0.31142858,593.891528,immediately,reachable,58040,350,6347362,3.2003847,105.7996153,0.9706387,1.6921694,10.133765,1.5322243,0.0018396962,0.0018780151,0.3023013,0.15207049,direct
[_direct_] immediately~obvious,2325,0.093835376,3.4593906,0.10264447,7294.457448,immediately,obvious,58040,22651,6347362,207.1197515,2117.8802485,0.9109162,1.1096758,43.92279,1.0502014,0.036826752,0.04005858,0.093835376,0.065331064,direct
[_direct_] immediately~recognizable,249,0.0944692,3.099554,0.10357737,777.978222,immediately,recognizable,58040,2404,6347362,21.9820707,227.0179293,0.9117186,1.1001136,14.386677,1.0541308,0.0039475006,0.004290145,0.0944692,0.049208347,direct
[_direct_] immediately~life-threatening,64,0.11963805,2.8472774,0.12877263,227.190761,immediately,life-threatening,58040,497,6347362,4.5445462,59.4554538,0.92899144,1.2078925,7.4319315,1.1486895,0.0010338409,0.0011026878,0.11963805,0.060335945,direct
[_direct_] immediately~evident,470,0.06758092,2.7826436,0.0766596,1202.685957,immediately,evident,58040,6131,6347362,56.0615954,413.9384046,0.88072,0.9576409,19.093555,0.9234324,0.0071977666,0.008097864,0.06758092,0.03738934,direct
