12408	more	important
11097	too	late
5209	too	early
3475	as	good
2969	quite	sure
2643	so	easy
2365	too	old
1897	more	frustrating
1573	very	good
1522	inherently	wrong
1440	more	exciting
1328	as	bad
1295	too	pleased
1291	more	evident
1261	more	satisfying
1187	too	happy
1091	as	simple
1084	more	beautiful
1062	more	true
1046	as	important
1036	more	powerful
995	too	young
976	more	fun
952	more	apparent
945	more	dangerous
913	really	sure
891	as	easy
873	even	close
831	so	happy
804	more	rewarding
798	too	big
798	more	popular
782	too	serious
776	more	difficult
763	more	annoying
745	too	much
738	too	small
731	too	busy
721	more	valuable
684	so	simple
678	too	careful
654	really	new
648	more	serious
614	more	different
590	more	critical
577	as	big
555	more	effective
539	too	sure
532	so	important
530	too	fancy
530	really	wrong
520	too	good
513	more	relevant
488	more	proud
481	too	crazy
478	that	simple
461	too	bad
461	more	clear
460	as	strong
458	that	easy
453	too	special
452	much	more
449	that	good
448	more	excited
445	more	obvious
443	as	effective
440	as	popular
437	too	cold
433	more	precious
433	so	good
431	too	exciting
427	quite	clear
427	too	difficult
421	too	hard
412	more	significant
407	particularly	new
405	more	urgent
397	more	vital
392	particularly	good
390	so	close
386	more	complicated
384	quite	right
382	any	better
373	more	relaxing
368	ever	easy
366	entirely	sure
365	really	special
362	so	bad
340	quite	able
335	more	american
332	more	likely
331	more	crucial
329	entirely	clear
327	more	interesting
327	particularly	special
327	too	hot
324	more	essential
324	much	better
324	really	able
321	more	attractive
321	as	powerful
320	so	excited
317	as	great
317	as	successful
312	more	romantic
311	really	interested
308	more	impressive
303	more	comforting
302	more	painful
301	really	good
301	more	challenging
300	ever	good
299	so	fun
292	more	enjoyable
288	that	great
285	so	great
281	more	special
281	too	high
277	more	appropriate
272	less	important
269	too	complicated
263	as	close
262	as	high
260	as	exciting
259	more	natural
257	more	gratifying
252	more	certain
248	so	scared
246	more	convenient
246	as	beautiful
245	so	high
245	more	embarrassing
238	really	happy
237	more	boring
236	as	large
233	more	terrifying
232	more	complex
232	as	interesting
228	particularly	interested
228	really	bad
226	as	satisfying
225	more	refreshing
225	more	wrong
225	particularly	interesting
225	more	disappointing
224	mutually	exclusive
222	too	safe
221	more	affordable
219	remotely	close
219	so	much
216	so	proud
214	more	comfortable
213	physically	wrong
213	necessarily	wrong
212	more	necessary
212	particularly	wrong
210	too	heavy
210	too	keen
209	fully	satisfied
209	more	surprised
208	ever	simple
207	ever	perfect
207	more	accessible
206	that	bad
205	too	surprising
204	as	fun
202	more	frightening
198	more	real
195	really	alone
194	much	good
194	really	clear
193	more	irritating
193	too	low
192	intrinsically	wrong
191	so	blind
190	more	appealing
190	as	cool
188	more	damaging
188	truly	alone
