key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
very~own,very,own,95941,11389.05927,395352.9779,2.5929787,0.8653695,0.00952017,0.9808213,0.009544764,10051689,97817,86330753,95941.0,9955748.0,1876.0,76277188.0,10051689.0,76279064.0,97817.0,86232936.0,10040299.940728007,86427.940728005,76192636.05927199,272.97412,0.01890555,0.8653695,0.92551637,0.00952017,0.8653695,0.8653695,0.0082384655,84551.94073,0.88129103,106.719536,290.77817,8.421715,8.412093,8.426012,8.436395,8.505866,8.441372,309.7434422227531,3170.439874843868,312.75709424407944
very~first,very,first,150034,18396.42142,586089.4967,2.1615212,0.83467156,0.014821802,0.94957626,0.014926247,10051689,158001,86330753,150034.0,9901655.0,7967.0,76271097.0,10051689.0,76279064.0,158001.0,86172752.0,10033292.578580057,139604.578580057,76139459.42141995,339.84827,0.02939051,0.83467156,0.91145635,0.014821802,0.83467156,0.83467156,0.012371337,131637.57858,0.87738496,135.6334,362.81894,7.0709305,7.066187,7.073049,7.078168,7.1124187,7.0806217,387.3422259449646,3170.439874843868,397.4933961715591
partly~cloudy,partly,cloudy,54413,60.93053,750373.7657,4.216901,0.8328085,0.6754926,0.83311135,0.67561895,80538,65313,86330753,54413.0,26125.0,10900.0,86239315.0,80538.0,86250215.0,65313.0,86265440.0,80477.06947164,65252.06947164,86184962.93052836,233.00473,0.746145,0.8328085,2.9508677,0.6754926,0.8328085,0.8328085,0.56255597,54352.06947,0.9988802,7.805801,233.1353,12.308557,12.304477,12.310379,12.314781,12.344239,12.316892,233.2659426491574,283.79217748204405,255.5640819833648
long~overdue,long,overdue,20079,21.03031,266940.9983,3.8864658,0.830309,0.26719162,0.83094686,0.26723897,75135,24164,86330753,20079.0,55056.0,4085.0,86251533.0,75135.0,86255618.0,24164.0,86306589.0,75113.969694148,24142.969694148,86231475.03030583,141.55197,0.40441495,0.830309,2.9798965,0.26719162,0.830309,0.830309,0.22185159,20057.96969,0.9989526,4.5858817,141.62616,12.333732,12.326809,12.336823,12.344294,12.394278,12.347875,141.70038814343454,274.1076430893528,155.44774041458436
now~defunct,now,defunct,7932,50.46054,74677.1199,2.9769015,0.82702863,0.017335547,0.83223164,0.017354168,457066,9531,86330753,7932.0,449134.0,1599.0,85872088.0,457066.0,85873687.0,9531.0,86321222.0,457015.539464274,9480.539464274,85864206.4605357,88.49519,0.03399936,0.82702863,2.196431,0.017335547,0.82702863,0.82702863,0.014336994,7881.53946,0.99363834,7.103558,88.77804,9.654516,9.643217,9.659562,9.671755,9.753334,9.677599,89.06177631284928,676.0665647700675,97.62684057163789
most~populous,most,populous,29436,2907.79072,122597.0957,1.9971566,0.8176162,0.0037675777,0.90689504,0.0038060271,7734049,32458,86330753,29436.0,7704613.0,3022.0,78593682.0,7734049.0,78596704.0,32458.0,86298295.0,7731141.209279791,29550.209279792,78567153.79072021,154.62102,0.007580242,0.8176162,1.0053157,0.0037675777,0.8176162,0.8176162,0.0030804325,26528.20928,0.9012165,53.923935,162.87483,6.482892,6.4750085,6.4864125,6.4949193,6.551838,6.498997,171.56922801015338,2781.0158216018835,180.16103907338012
too~late,too,late,136383,6798.92662,728970.7088,2.089624,0.7972793,0.03751708,0.83752763,0.03783689,3604498,162840,86330753,136383.0,3468115.0,26457.0,82699798.0,3604498.0,82726255.0,162840.0,86167913.0,3597699.07338436,156041.073384359,82570213.92661566,350.8904,0.07240285,0.7972793,1.3023199,0.03751708,0.7972793,0.7972793,0.029911589,129584.07338,0.9501483,82.455605,359.97787,6.8351254,6.8323617,6.83636,6.8393426,6.8592997,6.8407726,369.30069049488657,1898.5515531583544,403.5343851519967
very~latest,very,latest,6986,919.00022,24644.4295,1.7668761,0.76872605,0.000683117,0.885088,0.0006950076,10051689,7893,86330753,6986.0,10044703.0,907.0,76278157.0,10051689.0,76279064.0,7893.0,86322860.0,10050769.999776788,6973.999776789,76272090.0002232,72.58714,0.001388925,0.76872605,0.88091296,0.000683117,0.76872605,0.76872605,0.00052512984,6066.99978,0.8684512,30.315016,77.890945,5.598808,5.58424,5.6053143,5.621034,5.7262173,5.62857,83.58229477586745,3170.439874843868,88.84255736976509
very~same,very,same,49174,6542.3315,171122.7332,1.7278756,0.75919974,0.0048001353,0.8751379,0.004892113,10051689,56190,86330753,49174.0,10002515.0,7016.0,76272048.0,10051689.0,76279064.0,56190.0,86274563.0,10045146.668498386,49647.668498386,76229416.33150162,192.2492,0.009729836,0.75919974,0.87600297,0.0048001353,0.75919974,0.75919974,0.0036442613,42631.6685,0.86695546,80.88468,206.47438,5.6353045,5.6300383,5.637656,5.6433387,5.6813602,5.646063,221.752113856892,3170.439874843868,237.04429965725816
most~ardent,most,ardent,7357,792.39044,27768.9482,1.701384,0.74225914,0.0009323161,0.83176935,0.0009512482,7734049,8845,86330753,7357.0,7726692.0,1488.0,78595216.0,7734049.0,78596704.0,8845.0,86321908.0,7733256.609559423,8052.609559423,78588651.39044058,76.53472,0.001900323,0.74225914,0.9677615,0.0009323161,0.74225914,0.74225914,0.00069202017,6564.60956,0.89229435,28.149431,81.02228,5.4332075,5.4214754,5.4384475,5.451107,5.535815,5.4571757,85.77295611088614,2781.0158216018835,94.04786015641186
