key,l1,l2,f,E11,am_expect_diff,adv,adv_total,adj,adj_total,am_p1_given2,am_log_likelihood,am_odds_ratio_disc,log_ratio,conservative_log_ratio,am_expect_diff_%
NEG-particularly_novel,NEGATIVE,particularly_novel,54,8.588,45.412,particularly,14612.0,novel,375.0,0.77,175.47,1.765,5.986,3.11,84.0963
NEG-fully_happy,NEGATIVE,fully_happy,38,5.677,32.323,fully,4795.0,happy,15693.0,0.829,137.482,2.178,7.8,3.104,85.06053
NEG-particularly_outstanding,NEGATIVE,particularly_outstanding,42,6.405,35.595,particularly,14612.0,outstanding,458.0,0.809,146.244,1.999,6.945,3.083,84.75
NEG-ever_final,NEGATIVE,ever_final,32,4.658,27.342,ever,5050.0,final,224.0,0.854,123.341,2.582,17.519,3.069,85.44375
NEG-ever_straightforward,NEGATIVE,ever_straightforward,32,4.658,27.342,ever,5050.0,straightforward,1634.0,0.854,123.341,2.582,17.519,3.069,85.44375
NEG-fully_clear,NEGATIVE,fully_clear,48,7.569,40.431,fully,4795.0,clear,8610.0,0.778,158.069,1.801,6.138,3.02,84.231255
NEG-remotely_comparable,NEGATIVE,remotely_comparable,44,6.841,37.159,remotely,2609.0,comparable,343.0,0.791,148.226,1.873,6.427,3.003,84.45227
NEG-ever_sure,NEGATIVE,ever_sure,30,4.367,25.633,ever,5050.0,sure,11285.0,0.854,115.632,2.554,17.426,2.948,85.44333
NEG-really_complete,NEGATIVE,really_complete,39,5.968,33.032,really,63523.0,complete,1376.0,0.806,134.97,1.967,6.838,2.947,84.69743
NEG-too_original,NEGATIVE,too_original,45,7.132,37.868,too,186765.0,original,1835.0,0.773,147.001,1.774,6.045,2.903,84.151115
NEG-terribly_original,NEGATIVE,terribly_original,45,7.132,37.868,terribly,5119.0,original,1835.0,0.773,147.001,1.774,6.045,2.903,84.151115
NEG-especially_surprising,NEGATIVE,especially_surprising,34,5.095,28.905,especially,4308.0,surprising,3040.0,0.826,122.283,2.13,7.639,2.898,85.01471
NEG-more_unattractive,NEGATIVE,more_unattractive,33,4.949,28.051,more,312474.0,unattractive,219.0,0.825,118.488,2.118,7.596,2.842,85.00303
NEG-truly_private,NEGATIVE,truly_private,43,6.841,36.159,truly,14216.0,private,912.0,0.769,139.64,1.754,5.979,2.82,84.0907
NEG-ever_successful,NEGATIVE,ever_successful,28,4.076,23.924,ever,5050.0,successful,5646.0,0.854,107.923,2.525,17.327,2.816,85.442856
NEG-truly_sure,NEGATIVE,truly_sure,28,4.076,23.924,truly,14216.0,sure,11285.0,0.854,107.923,2.525,17.327,2.816,85.442856
NEG-that_straightforward,NEGATIVE,that_straightforward,45,7.278,37.722,that,7441.0,straightforward,1634.0,0.754,142.515,1.686,5.723,2.78,83.82667
NEG-ever_necessary,NEGATIVE,ever_necessary,31,4.658,26.342,ever,5050.0,necessary,4000.0,0.823,110.902,2.091,7.506,2.723,84.97419
NEG-too_remarkable,NEGATIVE,too_remarkable,43,6.987,36.013,too,186765.0,remarkable,3463.0,0.75,135.237,1.667,5.657,2.695,83.75117
NEG-particularly_fast,NEGATIVE,particularly_fast,26,3.785,22.215,particularly,14612.0,fast,1459.0,0.854,100.214,2.493,17.22,2.672,85.442314
NEG-more_untrue,NEGATIVE,more_untrue,26,3.785,22.215,more,312474.0,untrue,420.0,0.854,100.214,2.493,17.22,2.672,85.442314
NEG-ever_impossible,NEGATIVE,ever_impossible,25,3.639,21.361,ever,5050.0,impossible,4371.0,0.854,96.36,2.476,17.163,2.595,85.444
NEG-ever_safe,NEGATIVE,ever_safe,25,3.639,21.361,ever,5050.0,safe,3120.0,0.854,96.36,2.476,17.163,2.595,85.444
NEG-legally_wrong,NEGATIVE,legally_wrong,35,5.531,29.469,legally,859.0,wrong,23764.0,0.776,114.858,1.775,6.097,2.575,84.19714
NEG-slightly_close,NEGATIVE,slightly_close,32,4.949,27.051,slightly,7779.0,close,15923.0,0.796,108.758,1.883,6.553,2.573,84.53438
NEG-fully_sure,NEGATIVE,fully_sure,28,4.221,23.779,fully,4795.0,sure,11285.0,0.82,99.538,2.047,7.359,2.524,84.924995
NEG-particularly_convincing,NEGATIVE,particularly_convincing,34,5.386,28.614,particularly,14612.0,convincing,954.0,0.773,111.171,1.762,6.055,2.519,84.15883
NEG-terribly_special,NEGATIVE,terribly_special,24,3.493,20.507,terribly,5119.0,special,16913.0,0.854,92.506,2.459,17.104,2.513,85.44583
NEG-ever_fun,NEGATIVE,ever_fun,24,3.493,20.507,ever,5050.0,fun,6689.0,0.854,92.506,2.459,17.104,2.513,85.44583
NEG-that_keen,NEGATIVE,that_keen,31,4.803,26.196,that,7441.0,keen,1611.0,0.794,105.026,1.869,6.507,2.511,84.50322
NEG-particularly_likable,NEGATIVE,particularly_likable,31,4.803,26.196,particularly,14612.0,likable,355.0,0.794,105.026,1.869,6.507,2.511,84.50322
NEG-really_private,NEGATIVE,really_private,33,5.24,27.76,really,63523.0,private,912.0,0.771,107.488,1.75,6.012,2.461,84.121216
NEG-ever_more,NEGATIVE,ever_more,27,4.076,22.924,ever,5050.0,more,9275.0,0.819,95.755,2.032,7.307,2.452,84.9037
NEG-so_clear-cut,NEGATIVE,so_clear-cut,29,4.512,24.488,so,143323.0,clear-cut,129.0,0.79,97.576,1.841,6.411,2.379,84.44138
NEG-inherently_illegal,NEGATIVE,inherently_illegal,26,3.93,22.07,inherently,5467.0,illegal,1205.0,0.817,91.975,2.016,7.252,2.376,84.88461
NEG-particularly_extraordinary,NEGATIVE,particularly_extraordinary,31,4.949,26.051,particularly,14612.0,extraordinary,1270.0,0.766,100.137,1.723,5.922,2.338,84.035484
NEG-yet_clear,NEGATIVE,yet_clear,22,3.202,18.798,yet,855.0,clear,8610.0,0.854,84.797,2.422,16.979,2.335,85.44546
NEG-ever_permanent,NEGATIVE,ever_permanent,22,3.202,18.798,ever,5050.0,permanent,1173.0,0.854,84.797,2.422,16.979,2.335,85.44546
NEG-ever_dead,NEGATIVE,ever_dead,25,3.785,21.215,ever,5050.0,dead,2580.0,0.816,88.197,1.999,7.196,2.296,84.86
NEG-fully_certain,NEGATIVE,fully_certain,21,3.057,17.943,fully,4795.0,certain,2116.0,0.854,80.942,2.402,16.912,2.238,85.442856
NEG-more_synonymous,NEGATIVE,more_synonymous,21,3.057,17.943,more,312474.0,synonymous,141.0,0.854,80.942,2.402,16.912,2.238,85.442856
NEG-yet_certain,NEGATIVE,yet_certain,21,3.057,17.943,yet,855.0,certain,2116.0,0.854,80.942,2.402,16.912,2.238,85.442856
