key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
POS~responsible,POSMIR,responsible,1370,1339.82305,4.09002,0.059068367,0.018680057,0.0001248388,0.847248,0.0009714975,1410194,1617,1701929,1370.0,1408824.0,247.0,291488.0,1410194.0,291735.0,1617.0,1700312.0,1408854.176953328,277.176953328,291457.823046672,0.81529564,0.00194077,0.009673123,0.0001248388,0.018680057,0.018680057,0.009402448,30.17695,0.022026971,0.0,0.0,0.0,0.0,0.0,0.0,37.013511046643494,1187.5158946304678,40.2119385257662
NEG~right,NEGMIR,right,1057,955.80624,12.62965,0.05366215,0.018207746,0.0004186275,0.18956241,0.003623151,291735,5576,1701929,1057.0,290678.0,4519.0,1405675.0,291735.0,1410194.0,5576.0,1696353.0,290779.193758964,4620.193758964,1405573.806241036,3.1125493,0.0071104,0.043705124,0.0004186275,0.018207746,0.018207746,0.009313187,101.19376,0.095736764,0.0,0.0,0.0,0.0,0.03668687,0.0,32.51153641401772,540.1249855357554,74.67261881037788
POS~tight,POSMIR,tight,1039,1018.3318,2.51592,0.052676935,0.016829237,8.55021e-05,0.8454028,0.0007367781,1410194,1229,1701929,1039.0,1409155.0,190.0,291545.0,1410194.0,291735.0,1229.0,1700700.0,1409175.668197674,210.668197675,291524.331802326,0.641202,0.001472273,0.008726241,8.55021e-05,0.016829237,0.016829237,0.00845737,20.6682,0.019892396,0.0,0.0,0.0,0.0,0.0,0.0,32.2335229225724,1187.5158946304678,35.05709628591621
POS~funny,POSMIR,funny,4530,4445.36218,9.67122,0.05006247,0.01582581,0.0003501374,0.8443616,0.003212324,1410194,5365,1701929,4530.0,1405664.0,835.0,290900.0,1410194.0,291735.0,5365.0,1696564.0,1405748.637819792,919.637819792,290815.362180208,1.2575214,0.006400298,0.008191052,0.0003501374,0.01582581,0.01582581,0.008087973,84.63782,0.018683845,0.0,0.0,0.0,0.0,0.014590091,0.0,67.30527468185537,1187.5158946304678,73.24616030891995
POS~possible,POSMIR,possible,2668,2618.33075,5.64701,0.049660634,0.015747355,0.0002054762,0.8443038,0.0018919383,1410194,3160,1701929,2668.0,1407526.0,492.0,291243.0,1410194.0,291735.0,3160.0,1698769.0,1407575.669247072,541.669247072,291193.330752928,0.9616005,0.003775416,0.008161319,0.0002054762,0.015747355,0.015747355,0.007976416,49.66925,0.01861666,0.0,0.0,0.0,0.0,0.0,0.0,51.65268628057983,1187.5158946304678,56.213877290220786
POS~ambitious,POSMIR,ambitious,1159,1137.64814,2.39864,0.04859211,0.015563801,8.83303e-05,0.84413695,0.0008218727,1410194,1373,1701929,1159.0,1409035.0,214.0,291521.0,1410194.0,291735.0,1373.0,1700556.0,1409056.351859566,235.351859566,291499.648140434,0.6271826,0.001642147,0.008075475,8.83303e-05,0.015563801,0.015563801,0.007826066,21.35186,0.018422658,0.0,0.0,0.0,0.0,0.0,0.0,34.044089061098404,1187.5158946304678,37.05401462729781
POS~clean,POSMIR,clean,1485,1462.45373,2.07148,0.039690603,0.012787353,9.32715e-05,0.8413598,0.0010530466,1410194,1765,1701929,1485.0,1408709.0,280.0,291455.0,1410194.0,291735.0,1765.0,1700164.0,1408731.546272494,302.546272494,291432.453727506,0.58507496,0.002103461,0.00664432,9.32715e-05,0.012787353,0.012787353,0.006440312,22.54627,0.015182673,0.0,0.0,0.0,0.0,0.0,0.0,38.535697735995385,1187.5158946304678,42.01190307520001
NEG~close,NEGMIR,close,2553,2378.20226,15.34284,0.037838325,0.012702493,0.0007231191,0.18401326,0.0087510925,291735,13874,1701929,2553.0,289182.0,11321.0,1398873.0,291735.0,1410194.0,13874.0,1688055.0,289356.797742444,11495.797742444,1398698.202257556,3.4594767,0.016707623,0.030802028,0.0007231191,0.012702493,0.012702493,0.006712806,174.79774,0.06846758,0.0,0.0,0.0,0.0,0.03484105,0.0,50.52722038663912,540.1249855357554,117.7879450538127
POS~high,POSMIR,high,5574,5493.52307,7.0384,0.03819182,0.012185771,0.0003329243,0.840724,0.0039526476,1410194,6630,1701929,5574.0,1404620.0,1056.0,290679.0,1410194.0,291735.0,6630.0,1695299.0,1404700.476932939,1136.476932939,290598.523067061,1.0779235,0.007868303,0.006316012,0.0003329243,0.012185771,0.012185771,0.006259348,80.47693,0.014437914,0.0,0.0,0.0,0.0,0.0,0.0,74.65922581972036,1187.5158946304678,81.42481194328913
POS~smart,POSMIR,smart,1511,1489.79705,1.79552,0.0365187,0.011804988,8.77143e-05,0.8403782,0.0010714838,1410194,1798,1701929,1511.0,1408683.0,287.0,291448.0,1410194.0,291735.0,1798.0,1700131.0,1408704.202945011,308.202945011,291426.797054989,0.5454613,0.002140239,0.006137353,8.77143e-05,0.011804988,0.011804988,0.005946351,21.20295,0.014032396,0.0,0.0,0.0,0.0,0.0,0.0,38.87158345115362,1187.5158946304678,42.40283009422838
