key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,first_char
NEG~early,NEGMIR,early,5175,961.624439,15431.747794,1.7668983,0.75353116,0.017430415,0.9224599,0.017738884,291732,5610,1701929,5175.0,286557.0,435.0,1409762.0,291732.0,1410197.0,5610.0,1696319.0,290770.375560908,4648.375560908,1405548.624439092,58.56997,0.0348084,0.7309049,0.017430415,0.75353116,0.75353116,0.3854808,4213.3755,0.8141788,5.4745,5.4553914,5.483057,5.5037894,5.6452227,5.515961,71.93747284969079,540.122208393619,74.89993324429602,e
NEG~sure,NEGMIR,sure,5772,1158.920291,15192.752358,1.4586173,0.6850286,0.019083962,0.8537199,0.019785283,291732,6761,1701929,5772.0,285960.0,989.0,1409208.0,291732.0,1410197.0,6761.0,1695168.0,290573.079708966,5602.079708966,1404594.920291034,60.719444,0.038674273,0.6972728,0.019083962,0.6850286,0.6850286,0.3520563,4613.0796,0.79921687,4.5588527,4.545256,4.5649343,4.5796514,4.6793838,4.58828,75.97367965289031,540.122208393619,82.22530024268686,s
NEG~late,NEGMIR,late,11049,2280.472645,28036.052325,1.3904679,0.66428226,0.036274735,0.8305021,0.0378738,291732,13304,1701929,11049.0,280683.0,2255.0,1407942.0,291732.0,1410197.0,13304.0,1688625.0,289451.527355136,11023.527355136,1399173.472644864,83.41904,0.07244391,0.6852981,0.036274735,0.66428226,0.66428226,0.3502785,8768.527,0.7936037,4.3906164,4.381342,4.394763,4.4047904,4.4725204,4.410666,105.11422358558332,540.122208393619,115.34296684236972,l
NEG~alone,NEGMIR,alone,564,121.702915,1323.626954,1.2709169,0.62321365,0.0018297496,0.7943662,0.0019332812,291732,710,1701929,564.0,291168.0,146.0,1410051.0,291732.0,1410197.0,710.0,1701219.0,291610.297085249,588.297085249,1409608.702914751,18.624067,0.003857175,0.66597813,0.0018297496,0.62321365,0.62321365,0.3125217,442.2971,0.7842147,3.5353444,3.5002668,3.5510535,3.5891185,3.849145,3.6114705,23.748684174075834,540.122208393619,26.645825188948457,a
NEG~fancy,NEGMIR,fancy,779,189.582287,1529.23073,1.0619605,0.53327394,0.0024383764,0.70434,0.002670259,291732,1106,1701929,779.0,290953.0,327.0,1409870.0,291732.0,1410197.0,1106.0,1700823.0,291542.417713077,916.417713077,1409280.582286923,21.118082,0.005320348,0.6137397,0.0024383764,0.53327394,0.53327394,0.26785618,589.4177,0.75663376,3.0278113,3.0017586,3.0394619,3.0676475,3.2584639,3.084169,27.910571473905726,540.122208393619,33.25657829663178,f
NEG~aggravating,NEGMIR,aggravating,111,29.654372,189.122344,0.93583614,0.47025374,0.00033652072,0.6416185,0.0003804862,291732,173,1701929,111.0,291621.0,62.0,1410135.0,291732.0,1410197.0,173.0,1701756.0,291702.345627814,143.345627814,1410053.654372186,7.7209854,0.000760521,0.57323426,0.00033652072,0.47025374,0.47025374,0.23529513,81.34563,0.7328435,1.9115518,1.8486271,1.9396462,2.00751,2.464192,2.0472255,10.535653752852738,540.122208393619,13.152946437965905,a
NEG~certain,NEGMIR,certain,1139,308.542601,1902.246747,0.9219749,0.46185368,0.0034355395,0.63277775,0.0039042684,291732,1800,1701929,1139.0,290593.0,661.0,1409536.0,291732.0,1410197.0,1800.0,1700129.0,291423.457399222,1491.457399222,1408705.542600778,24.606821,0.007760653,0.5672086,0.0034355395,0.46185368,0.46185368,0.23264462,830.4574,0.72911096,2.6853468,2.665572,2.6941833,2.7155447,2.859519,2.7280552,33.74907406137241,540.122208393619,42.42640687119285,c
NEG~frustrating,NEGMIR,frustrating,2052,573.717825,3267.00265,0.88680744,0.4425441,0.006115542,0.61308634,0.007033853,291732,3347,1701929,2052.0,289680.0,1295.0,1408902.0,291732.0,1410197.0,3347.0,1698582.0,291158.282175108,2773.282175108,1407423.717824892,32.633877,0.01390814,0.553479,0.006115542,0.4425441,0.4425441,0.22432981,1478.2822,0.7204104,2.66595,2.6514943,2.6724083,2.6880178,2.7930906,2.6971574,45.2990066116245,540.122208393619,57.85326265648291,f
NEG~evident,NEGMIR,evident,1453,410.704484,2272.224468,0.8738462,0.43562812,0.004311898,0.6064274,0.0049805986,291732,2396,1701929,1453.0,290279.0,943.0,1409254.0,291732.0,1410197.0,2396.0,1699533.0,291321.295515853,1985.295515853,1408211.704484147,27.34375,0.009880052,0.54873616,0.004311898,0.43562812,0.43562812,0.21997,1042.2955,0.71734035,2.577177,2.5601563,2.5847812,2.6031601,2.726878,2.613921,38.118237105091836,540.122208393619,48.948953002081666,e
NEG~motivating,NEGMIR,motivating,129,37.025112,196.56203,0.85472214,0.4258637,0.00038049315,0.5972222,0.00044218666,291732,216,1701929,129.0,291603.0,87.0,1410110.0,291732.0,1410197.0,216.0,1701713.0,291694.974887907,178.974887907,1410018.025112094,8.097938,0.000883719,0.54209334,0.00038049315,0.4258637,0.4258637,0.2131221,91.97489,0.7129836,1.778182,1.7218167,1.8033354,1.8640615,2.2712252,1.8995768,11.357816691600547,540.122208393619,14.696938456699069,m
