adv_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
very,1675,1358.36,5877.69,0,57.0,207,639.5,153427,2275254,4.3270482867074085,153427,582.5,1513.25,-816.75,186.27906915009888,20.281614422840022
more,1675,1264.23,4566.79,0,116.0,308,893.0,116466,2117584,3.612309150400454,116466,777.0,2058.5,-1049.5,310.4531490270669,58.132910429929645
most,1675,1055.17,6143.95,0,40.0,148,504.5,179656,1767405,5.822724519126064,179656,464.5,1201.25,-656.75,145.71063654435062,22.458187573628496
so,1675,772.71,7797.89,0,39.0,110,317.5,271886,1294283,10.091657659190032,271886,278.5,735.25,-378.75,109.89906432609692,20.938264875124133
not,1675,657.05,3798.99,0,21.0,65,233.5,112912,1100565,5.781850310748332,112912,212.5,552.25,-297.75,72.67515858504119,13.090758355745809
as,1675,523.29,3866.21,0,37.0,88,243.0,96747,876513,7.388261906460685,96747,206.0,552.0,-272.0,93.86622454410029,22.449113011257282
too,1675,519.48,4875.82,0,9.0,33,125.0,150604,870127,9.385983846586601,150604,116.0,299.0,-165.0,37.23021111494745,8.200538880884457
much,1675,271.03,2756.65,0,2.0,7,26.0,82087,453968,10.171183401007763,82087,24.0,62.0,-34.0,11.4087643020962,4.328085000307819
really,1675,270.4,1737.48,0,9.5,28,95.0,57645,452927,6.425508780656044,57645,85.5,223.25,-118.75,34.97861096751197,10.838402302149575
pretty,1675,209.21,1642.69,0,8.0,23,86.0,59443,350429,7.8518321946939444,59443,78.0,203.0,-109.0,28.30501230738416,7.709203594302761
less,1675,173.31,965.91,0,13.0,36,104.0,33449,290301,5.573199060785936,33449,91.0,240.5,-123.5,37.45846598142856,10.05435373948544
how,1675,164.44,2895.41,0,3.0,9,29.0,90771,275429,17.60819258640707,90771,26.0,68.0,-36.0,12.344389059338623,4.942669073682297
even,1675,151.4,1480.9,0,4.0,12,33.0,47255,253591,9.781496571712056,47255,29.0,76.5,-39.5,15.155186334002533,6.1136893497024545
also,1675,147.15,830.6,0,8.0,20,60.5,24406,246484,5.644381803460833,24406,52.5,139.25,-70.75,25.837264014716453,9.696748469184966
quite,1675,138.21,502.03,0,11.0,30,88.0,9869,231499,3.6323784141926216,9869,77.0,203.5,-104.5,32.436746585544775,9.559292672613394
extremely,1675,132.2,540.79,0,5.0,21,73.0,12053,221434,4.090749791573975,12053,68.0,175.0,-97.0,22.12756841634323,5.728359264403569
still,1675,118.68,543.42,0,5.0,16,58.0,16114,198787,4.578954121229999,16114,53.0,137.5,-74.5,19.93932903267067,6.545477555984873
highly,1675,101.97,463.66,0,1.0,5,32.5,7962,170802,4.547004934942682,7962,31.5,79.75,-46.25,9.082421401050613,2.8727781689069922
relatively,1675,89.61,613.8,0,0.0,3,15.0,14614,150100,6.849517794339984,14614,15.0,37.5,-22.5,6.115504850845922,2.4436675105706174
just,1675,84.51,517.43,0,3.0,10,35.0,15335,141560,6.122515400117627,15335,32.0,83.0,-45.0,13.16855235188367,4.995504682758597
always,1675,82.88,436.78,0,3.0,10,33.0,11466,138825,5.270040466247042,11466,30.0,78.0,-42.0,12.947194591944656,4.933401827508066
particularly,1675,77.78,303.98,0,3.0,12,43.0,6173,130284,3.908148007711962,6173,40.0,103.0,-57.0,14.856036741760903,5.101952606234042
completely,1675,74.44,638.99,0,1.0,7,28.0,23325,124687,8.58395213778878,23325,27.0,68.5,-39.5,9.735080899214799,3.5390787344451007
far,1675,63.54,756.37,0,0.0,0,2.0,25365,106424,11.904413058160445,25365,2.0,5.0,-3.0,2.2484303510045835,1.4186170321818916
only,1675,59.36,373.32,0,3.0,9,27.0,11727,99421,6.289480463290443,11727,24.0,63.0,-33.0,11.650180937081636,5.019379614621496
increasingly,1675,59.03,276.92,0,2.0,7,28.0,5503,98880,4.6909017069034595,5503,26.0,67.0,-37.0,10.163349513257419,3.8035604951076163
now,1675,58.01,638.16,0,1.0,4,17.0,24480,97161,11.00152531597306,24480,16.0,41.0,-23.0,6.678096673227579,2.8973524325847455
all,1675,55.14,302.03,0,2.0,7,25.0,8977,92361,5.477464229276688,8977,23.0,59.5,-32.5,9.845094705231302,4.159091871714708
