adv_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
more,4238,194.16,1066.73,0,7,23,81.0,37749,822837,5.494159740928507,37749,74.0,192.0,-104.0,26.686130846459744,7.077704389113048
very,4238,188.24,1301.23,0,2,10,46.0,52941,797757,6.9126367813957605,52941,44.0,112.0,-64.0,14.030158573064575,3.881033769239204
most,4238,161.84,1395.15,0,2,10,43.0,62730,685858,8.620787391065535,62730,41.0,104.5,-59.5,13.619138654021079,4.064678604661522
so,4238,108.69,1617.13,0,2,9,30.0,82446,460647,14.87780851197121,82446,28.0,72.0,-40.0,11.279303381906237,3.9382833589939894
too,4238,87.17,1291.34,0,0,3,13.0,66015,369412,14.814589502257144,66015,13.0,32.5,-19.5,5.62857560102691,2.457019292091397
as,4238,83.26,938.53,0,2,8,27.0,41255,352850,11.272497080866994,41255,25.0,64.5,-35.5,10.612537533392164,4.072735546769948
not,4238,47.74,427.01,0,0,2,10.0,19939,202336,8.943784097574369,19939,10.0,25.0,-15.0,4.629346598985122,2.1828032937461392
how,4238,43.69,1187.21,0,0,2,5.0,65755,185176,27.17077162687219,65755,5.0,12.5,-7.5,3.46330450448833,2.0033029156498348
much,4238,36.62,524.48,0,0,0,2.0,25895,155216,14.320229788785218,25895,2.0,5.0,-3.0,2.2105106972176665,1.4747778838144368
really,4238,31.76,316.44,0,0,2,7.0,16819,134606,9.962809869428654,16819,7.0,17.5,-10.5,3.8729227443990446,2.063578114309463
less,4238,29.15,228.0,0,0,3,12.0,11862,123538,7.821422412280114,11862,12.0,30.0,-18.0,5.214392422379746,2.4881754073594426
pretty,4238,27.6,391.95,0,0,2,7.0,23852,116962,14.201752396890651,23852,7.0,17.5,-10.5,3.7355986216726125,2.016406838223791
even,4238,21.93,301.96,0,0,1,4.0,16199,92919,13.772426467413347,16199,4.0,10.0,-6.0,2.897703558535669,1.8320890157561185
still,4238,20.92,152.48,0,0,1,6.0,7481,88646,7.289583754256097,7481,6.0,15.0,-9.0,3.459784710439015,1.9053226636508616
also,4238,19.02,140.38,0,0,1,5.75,5627,80604,7.381024703502983,5627,5.75,14.375,-8.625,3.4301745762095153,1.979198879221936
extremely,4238,17.82,119.76,0,0,1,5.0,4284,75503,6.7222528335814955,4284,5.0,12.5,-7.5,3.068413744041281,1.7535706567508218
quite,4238,16.87,99.28,0,0,1,7.0,3055,71514,5.883322128654395,3055,7.0,17.5,-10.5,3.5723984540602682,1.9866974354472047
highly,4238,16.16,111.75,0,0,0,3.0,3082,68481,6.9159299283275,3082,3.0,7.5,-4.5,2.3329233633988258,1.462938954980354
relatively,4238,15.66,159.01,0,0,0,1.0,6275,66362,10.154744192249142,6275,1.0,2.5,-1.5,1.9715370155924294,1.364090502335566
increasingly,4238,12.51,77.31,0,0,1,4.0,2247,53024,6.179339832940112,2247,4.0,10.0,-6.0,2.706046892322542,1.673031693892515
particularly,4238,12.49,72.69,0,0,1,4.0,2045,52946,5.818723744896898,2045,4.0,10.0,-6.0,2.841184376278709,1.7369355640551107
just,4238,12.11,108.46,0,0,1,3.0,4897,51330,8.95486629398312,4897,3.0,7.5,-4.5,2.5636909215296453,1.6610105564635462
far,4238,10.94,191.51,0,0,0,0.0,10221,46376,17.50058914817543,10221,0.0,0.0,0.0,1.330230641120768,1.122927170732003
almost,4238,10.76,109.03,0,0,1,4.0,4734,45587,10.135723142785881,4734,4.0,10.0,-6.0,2.5574530531878237,1.6408115878863163
always,4238,9.84,72.61,0,0,1,3.0,2748,41695,7.379803644888243,2748,3.0,7.5,-4.5,2.3599224381702455,1.5851363559493794
partly,4238,9.35,530.24,0,0,0,0.0,34457,39640,56.68912635626,34457,0.0,0.0,0.0,1.1363091491075685,1.073295920947006
completely,4238,9.3,110.83,0,0,1,3.0,6487,39428,11.912576789955818,6487,3.0,7.5,-4.5,2.3879821657308167,1.584577954094699
especially,4238,8.49,67.01,0,0,0,2.0,2545,35965,7.896554636072381,2545,2.0,5.0,-3.0,2.152851668518603,1.4864421155251795
only,4238,8.42,66.83,0,0,1,3.0,2626,35681,7.938086237848731,2626,3.0,7.5,-4.5,2.337980793649396,1.5864080818235151
slightly,4238,8.38,113.12,0,0,0,2.0,4719,35513,13.499819470934044,4719,2.0,5.0,-3.0,1.923788511100478,1.3973949256773497
now,4238,8.21,98.7,0,0,0,2.0,5629,34811,12.016593701940355,5629,2.0,5.0,-3.0,2.0014769167773787,1.4291169365425818
mostly,4238,7.94,66.13,0,0,0,2.0,2332,33635,8.331926692361167,2332,2.0,5.0,-3.0,2.1032819690856157,1.4820244709396049
immediately,4238,7.87,316.74,0,0,0,0.0,14603,33332,40.271319719613125,14603,0.0,0.0,0.0,1.149844631371934,1.073820123698347
already,4238,7.21,40.42,0,0,0,2.0,1143,30553,5.606030903810611,1143,2.0,5.0,-3.0,2.1252884539296235,1.4674961736748022
fairly,4238,7.05,41.71,0,0,0,2.0,1045,29885,5.915082474511849,1045,2.0,5.0,-3.0,2.1650960788986207,1.5181693104639238
often,4238,6.91,26.28,0,0,1,5.0,922,29293,3.801757489446092,922,5.0,12.5,-7.5,3.057710069919453,1.948934501840731
largely,4238,6.75,56.07,0,0,0,1.0,1941,28615,8.304653503648163,1941,1.0,2.5,-1.5,1.8435991474674247,1.346776726662937
totally,4238,6.71,69.96,0,0,0,2.0,4000,28432,10.427440474929483,4000,2.0,5.0,-3.0,2.185317716017655,1.526263058296534
absolutely,4238,6.61,47.42,0,0,0,1.0,1542,28016,7.1737379569476,1542,1.0,2.5,-1.5,1.860978816744087,1.367387748478287
all,4238,6.55,67.93,0,0,0,2.0,3795,27764,10.369408656543088,3795,2.0,5.0,-3.0,2.090483955919473,1.4991688952955053
politically,4238,6.41,117.7,0,0,0,0.0,6723,27162,18.364664163469573,6723,0.0,0.0,0.0,1.4759239801927653,1.2059637178308469
that,4238,6.33,68.78,0,0,0,1.0,2273,26837,10.861466378342142,2273,1.0,2.5,-1.5,1.6376365176934002,1.2859320711564313
no,4238,6.21,130.97,0,0,0,0.0,6620,26331,21.0792857580029,6620,0.0,0.0,0.0,1.288682647913766,1.1265233303683408
truly,4238,6.02,29.32,0,0,1,3.0,790,25533,4.866086619141152,790,3.0,7.5,-4.5,2.3264070202532996,1.5940532483054652
potentially,4238,5.79,52.78,0,0,0,1.0,2221,24538,9.11543682541008,2221,1.0,2.5,-1.5,1.6531819038676363,1.2785830897158892
rather,4238,5.67,20.1,0,0,1,4.0,576,24019,3.546480236461169,576,4.0,10.0,-6.0,2.6452007151859918,1.7537946668025146
somewhat,4238,5.56,23.85,0,0,1,4.0,922,23582,4.286354334457907,922,4.0,10.0,-6.0,2.623919329154768,1.753531377100465
nearly,4238,5.31,63.74,0,0,0,0.0,3308,22486,12.013787220468085,3308,0.0,0.0,0.0,1.4821470730114124,1.198916160272061
equally,4238,5.09,35.65,0,0,1,3.0,2067,21574,7.00295420254393,2067,3.0,7.5,-4.5,2.4062713170295744,1.6647224786469341
incredibly,4238,4.99,26.37,0,0,0,2.0,800,21154,5.282128714650838,800,2.0,5.0,-3.0,1.9568628259463452,1.4219141111910456
deeply,4238,4.8,51.03,0,0,0,1.0,2491,20338,10.632979772701278,2491,1.0,2.5,-1.5,1.5237253641863555,1.2245166805324896
entirely,4238,4.78,69.15,0,0,0,1.0,3123,20277,14.452866870697314,3123,1.0,2.5,-1.5,1.65737410904043,1.3056295178726713
fully,4238,4.4,47.1,0,0,0,0.0,2168,18653,10.701557995720668,2168,0.0,0.0,0.0,1.401027783986658,1.1652686217613035
well,4238,4.01,90.16,0,0,0,0.0,4456,17004,22.47226598853224,4456,0.0,0.0,0.0,1.2682133387718117,1.1286918580129148
sometimes,4238,3.88,17.87,0,0,1,3.0,587,16448,4.604321123569239,587,3.0,7.5,-4.5,2.170752447482187,1.5712669915242663
real,4238,3.68,51.5,0,0,0,0.0,3008,15591,13.997904714120311,3008,0.0,0.0,0.0,1.438865056881072,1.199240964327717
little,4238,3.61,181.3,0,0,0,0.0,11776,15300,50.2202505505581,11776,0.0,0.0,0.0,1.1817174443327234,1.0967930652217
generally,4238,3.56,23.3,0,0,0,1.0,749,15085,6.5469397849310385,749,1.0,2.5,-1.5,1.7522903284330003,1.3690529975240402
unusually,4238,3.48,39.2,0,0,0,1.0,1831,14766,11.25202794181751,1831,1.0,2.5,-1.5,1.4752919196638867,1.2203544493212746
predominantly,4238,3.42,71.62,0,0,0,0.0,3934,14502,20.928713499402473,3934,0.0,0.0,0.0,1.1471895608482239,1.0635237575091885
virtually,4238,3.33,46.93,0,0,0,0.0,2438,14094,14.112683114251102,2438,0.0,0.0,0.0,1.2697004430165706,1.1054085808290404
seemingly,4238,3.28,28.83,0,0,0,1.0,1603,13890,8.795421760944224,1603,1.0,2.5,-1.5,1.722189281876718,1.3558688149262106
perfectly,4238,3.18,29.89,0,0,0,0.0,758,13462,9.409263884804316,758,0.0,0.0,0.0,1.3883138058588804,1.17742149925469
mentally,4238,3.0,82.73,0,0,0,0.0,4928,12695,27.61798381124485,4928,0.0,0.0,0.0,1.119551657909388,1.0510347139346028
super,4238,2.84,21.68,0,0,0,0.0,823,12037,7.634144920769765,823,0.0,0.0,0.0,1.4614270671003349,1.2069916439997141
yet,4238,2.8,40.08,0,0,0,1.0,1863,11875,14.302949241518025,1863,1.0,2.5,-1.5,1.412819520872258,1.2079609104638793
long,4238,2.78,45.96,0,0,0,0.0,2597,11764,16.55567347200156,2597,0.0,0.0,0.0,1.3962094652287138,1.1958681419515922
surprisingly,4238,2.75,27.37,0,0,0,1.0,1366,11667,9.94236469226155,1366,1.0,2.5,-1.5,1.5484886532250262,1.2673922049843316
probably,4238,2.64,22.2,0,0,0,1.0,776,11179,8.415247021812402,776,1.0,2.5,-1.5,1.4643543401068029,1.2218952245947179
usually,4238,2.64,10.42,0,0,0,2.0,278,11170,3.954952260500779,278,2.0,5.0,-3.0,1.8421225763425044,1.4360372438475848
overly,4238,2.57,23.17,0,0,0,1.0,926,10912,9.000648023347443,926,1.0,2.5,-1.5,1.4575426359736037,1.2170388443997602
of,4238,2.53,15.42,0,0,0,1.0,583,10743,6.081860812075765,583,1.0,2.5,-1.5,1.634509141266382,1.3182318431009616
significantly,4238,2.48,39.26,0,0,0,0.0,1287,10524,15.808480314162404,1287,0.0,0.0,0.0,1.1489639102669325,1.0650967632856592
once,4238,2.45,27.22,0,0,0,1.0,1659,10362,11.134343667975479,1659,1.0,2.5,-1.5,1.6234745776914943,1.324557769834759
clearly,4238,2.24,16.24,0,0,0,1.0,843,9490,7.254386044659016,843,1.0,2.5,-1.5,1.5353900932884983,1.2637537444098876
otherwise,4238,2.22,10.27,0,0,0,1.0,436,9417,4.622747196185148,436,1.0,2.5,-1.5,1.7001691651022028,1.357388595977514
than,4238,2.0,23.4,0,0,0,0.0,992,8474,11.702429165172468,992,0.0,0.0,0.0,1.3374170085215573,1.166103159097785
ever,4238,1.99,16.59,0,0,0,1.0,751,8435,8.33618842512139,751,1.0,2.5,-1.5,1.4252182385567256,1.2100323164527207
heavily,4238,1.98,29.46,0,0,0,0.0,1286,8389,14.883680476007358,1286,0.0,0.0,0.0,1.167037766895996,1.07346661693919
least,4238,1.89,23.73,0,0,0,0.0,1014,8022,12.537374872298496,1014,0.0,0.0,0.0,1.3255849996133413,1.1601918358754062
