adv_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
very,1108,678.0,2480.67,0,42.0,135.0,403.5,52941,751222,3.6588207516267226,52941,361.5,945.75,-500.25,116.21265254760269,13.166919127243748
more,1108,657.77,2014.46,0,61.75,187.0,537.75,37749,728805,3.0625805602171208,37749,476.0,1251.75,-652.25,173.89951078001337,29.604702882632314
most,1108,564.28,2688.15,0,18.0,83.5,314.5,62730,625218,4.763888932928408,62730,296.5,759.25,-426.75,79.38742762364512,13.03542449407366
so,1108,384.19,3147.3,0,24.0,70.0,188.75,82446,425679,8.1921179740883,82446,164.75,435.875,-223.125,66.11546947730749,13.956520674786564
too,1108,315.64,2512.21,0,5.0,22.0,86.0,66015,349729,7.9590885734488,66015,81.0,207.5,-116.5,24.984504126192864,5.713199582144838
as,1108,292.44,1819.76,0,27.0,62.0,150.25,41255,324024,6.222665333115438,41255,123.25,335.125,-157.875,61.77897550038028,16.743334535915775
not,1108,169.03,823.09,0,5.0,19.0,67.0,19939,187284,4.869538758883203,19939,62.0,160.0,-88.0,21.19734398571799,5.390101834185657
how,1108,161.6,2318.57,0,4.0,13.0,37.0,65755,179054,14.347473502687151,65755,33.0,86.5,-45.5,15.029838275478372,5.766404461842646
much,1108,130.85,1019.68,0,1.0,3.0,10.0,25895,144984,7.792599852002934,25895,9.0,23.5,-12.5,5.8900646957992935,2.5744137827503675
really,1108,114.56,611.46,0,5.0,15.0,56.0,16819,126929,5.337596701646439,16819,51.0,132.5,-71.5,19.57062269563952,6.553447361825923
less,1108,97.56,438.56,0,7.0,21.0,62.25,11862,108097,4.495278486062167,11862,55.25,145.125,-75.875,22.641499507828108,7.020462283818458
pretty,1108,96.9,762.32,0,4.0,13.0,47.0,23852,107366,7.867006927837541,23852,43.0,111.5,-60.5,15.524064184752689,4.955752048565381
even,1108,74.67,587.05,0,2.0,6.0,16.0,16199,82734,7.861957568569373,16199,14.0,37.0,-19.0,8.102093511104453,3.6711740524315
still,1108,69.38,291.47,0,3.0,10.0,38.0,7481,76868,4.2013556551236375,7481,35.0,90.5,-49.5,13.45175582459176,4.834947100521035
