adj_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
much,332,748.59,6489.11,0,0.0,0.0,1.0,66015,248533,8.668409444560167,66015,1.0,2.5,-1.5,2.162264061891938,1.3463988954967674
good,332,613.16,3679.17,0,2.0,13.0,77.25,52941,203569,6.0003539206960745,52941,75.25,190.125,-110.875,19.140962265268847,3.8499354476328183
many,332,588.24,5665.89,0,0.0,0.0,3.0,82446,195295,9.631964871022907,82446,3.0,7.5,-4.5,2.5221945625021887,1.4804099431752369
important,332,548.11,4222.8,0,0.0,3.0,25.25,62730,181971,7.704352382590347,62730,25.25,63.125,-37.875,8.306117479587916,2.4286849792583904
more,332,273.09,1912.83,0,0.0,1.5,14.0,25895,90665,7.004460327478353,25895,14.0,35.0,-21.0,5.615991123681616,2.004360575192319
difficult,332,261.71,1918.36,0,0.0,4.0,23.25,24450,86887,7.330173546843563,24450,23.25,58.125,-34.875,7.787968286886363,2.507226383738866
likely,332,257.62,2391.16,0,0.0,0.0,3.0,37749,85529,9.281806645386597,37749,3.0,7.5,-4.5,2.8094110709219606,1.428278098718254
high,332,233.01,1359.83,0,1.0,6.5,51.25,18634,77359,5.8359512011912145,18634,50.25,126.625,-74.375,11.988919828015229,3.100833828076729
different,332,209.0,1091.28,0,1.0,3.5,24.0,16254,69387,5.221530197823866,16254,23.0,58.5,-33.5,8.64176534103536,2.665739731310457
popular,332,201.52,1834.06,0,0.0,2.0,14.0,32163,66905,9.101107079903917,32163,14.0,35.0,-21.0,5.6006817465156296,2.0599066562514494
available,332,176.78,1018.7,0,0.0,1.0,13.0,14603,58692,5.762434927485021,14603,13.0,32.5,-19.5,5.34171496414859,1.9435236919049443
bad,332,165.65,833.86,0,0.75,4.0,22.0,8366,54997,5.033729321263336,8366,21.25,53.875,-31.125,7.70363264997632,2.6638585977570424
clear,332,155.93,1003.01,0,0.0,2.0,16.0,14529,51769,6.432394468665958,14529,16.0,40.0,-24.0,6.026370770687723,2.19960113731082
easy,332,154.08,713.05,0,0.0,2.0,19.0,6413,51154,4.6278498323382635,6413,19.0,47.5,-28.5,6.576340564063875,2.2323713867950468
strong,332,149.55,898.38,0,1.0,5.0,26.25,14384,49650,6.007290611898711,14384,25.25,64.125,-36.875,8.83114728731546,2.800137562322804
expensive,332,136.48,1056.38,0,0.0,1.0,6.0,15506,45313,7.739866158717923,15506,6.0,15.0,-9.0,3.693411712601621,1.7594451666430238
happy,332,134.28,929.49,0,0.0,3.0,16.0,15175,44580,6.922144193247897,15175,16.0,40.0,-24.0,6.205154703240549,2.269926333039041
low,332,127.3,665.82,0,0.0,4.0,24.0,6906,42263,5.230428039078652,6906,24.0,60.0,-36.0,7.662500046123835,2.486816480342045
hard,332,127.08,716.58,0,0.0,3.0,15.0,10746,42189,5.639038913521721,10746,15.0,37.5,-22.5,6.375808928760348,2.324922046415956
powerful,332,124.45,1137.31,0,0.0,1.0,9.0,18336,41317,9.138739287996499,18336,9.0,22.5,-13.5,4.296767104751062,1.9318683856758252
serious,332,121.86,905.29,0,0.0,1.0,10.0,10241,40458,7.428843978870163,10241,10.0,25.0,-15.0,4.255935474412658,1.9274809242596929
big,332,120.22,690.84,0,0.0,1.5,11.0,7064,39912,5.746637244640412,7064,11.0,27.5,-16.5,4.755631853976446,1.9462674667244908
sure,332,120.04,1148.26,0,0.0,0.0,2.0,19939,39854,9.565513082541681,19939,2.0,5.0,-3.0,2.7949514655268235,1.4453669093685588
close,332,119.54,698.34,0,0.0,3.0,16.0,10004,39688,5.841817518356552,10004,16.0,40.0,-24.0,6.783329527315188,2.499171798368279
little,332,117.85,1093.03,0,0.0,0.0,3.0,17112,39126,9.274795835277569,17112,3.0,7.5,-4.5,2.5864790883139857,1.5559903288779275
small,332,111.32,718.13,0,0.0,2.5,14.0,8440,36958,6.451104822217723,8440,14.0,35.0,-21.0,5.620087220487254,2.2111803335267934
successful,332,110.59,736.93,0,0.0,3.0,21.0,11805,36717,6.6634541934829805,11805,21.0,52.5,-31.5,6.759652237883594,2.395147843282719
effective,332,109.53,806.63,0,0.0,2.0,13.0,10755,36365,7.3642485750450035,10755,13.0,32.5,-19.5,5.318622875305134,2.2784608005235785
recent,332,109.5,1652.82,0,0.0,0.0,0.0,29710,36354,15.094202445502477,29710,0.0,0.0,0.0,1.4844372152279548,1.1606899577344099
cloudy,332,108.29,1891.81,0,0.0,0.0,0.0,34457,35953,17.469492991923154,34457,0.0,0.0,0.0,1.4238405672073342,1.1787324026247843
common,332,102.84,909.47,0,0.0,0.0,4.0,15011,34143,8.84354310455263,15011,4.0,10.0,-6.0,3.048926680084744,1.6008898377683656
dangerous,332,98.75,590.23,0,0.0,2.0,11.0,7281,32784,5.9771561958933,7281,11.0,27.5,-16.5,4.841263858844142,2.0362833496811312
concerned,332,95.1,467.13,0,0.0,1.0,12.25,5832,31572,4.912174088558614,5832,12.25,30.625,-18.375,5.0799034634397495,1.9644047287930506
great,332,92.19,437.0,0,0.0,2.0,11.0,5198,30607,4.740258821977332,5198,11.0,27.5,-16.5,5.149549045856998,2.118730523135329
large,332,90.68,467.98,0,0.0,2.0,16.0,6235,30107,5.16054877508343,6235,16.0,40.0,-24.0,5.566666024301064,2.093213510726976
better,332,85.93,715.69,0,0.0,1.0,7.0,11781,28529,8.32866583404288,11781,7.0,17.5,-10.5,3.7050352269222837,1.7517332359917293
interesting,332,84.7,583.7,0,0.0,1.0,8.0,6894,28122,6.891042167785463,6894,8.0,20.0,-12.0,4.153325012530317,1.9267043207108099
interested,332,82.62,440.78,0,0.0,2.0,12.0,6499,27429,5.335224763913768,6499,12.0,30.0,-18.0,5.244976303215512,2.065256693546986
higher,332,81.94,492.69,0,0.0,0.0,4.0,6413,27203,6.013038690181097,6413,4.0,10.0,-6.0,3.220894488914091,1.588243531446631
long,332,81.52,542.09,0,0.0,2.0,12.25,7263,27064,6.649945534637694,7263,12.25,30.625,-18.375,4.7143881121576765,2.0250381357459712
simple,332,72.66,423.46,0,0.0,1.0,9.0,5183,24122,5.828180486783745,5183,9.0,22.5,-13.5,4.230656785839364,1.9132230410529452
active,332,72.6,507.19,0,0.0,1.0,7.0,7115,24102,6.986479898592983,7115,7.0,17.5,-10.5,3.8831150159555348,1.8508713435286048
able,332,72.3,385.85,0,0.0,1.0,11.0,6144,24002,5.337185862542881,6144,11.0,27.5,-16.5,4.629305332008324,1.863788732072073
comfortable,332,70.8,560.34,0,0.0,1.0,9.0,9284,23507,7.913970421655984,9284,9.0,22.5,-13.5,4.027746109148816,1.8520929245319142
few,332,68.91,665.16,0,0.0,0.0,2.0,11109,22879,9.652255387862603,11109,2.0,5.0,-3.0,2.2929889406932977,1.4479251081679088
significant,332,66.88,498.61,0,0.0,1.0,7.0,7975,22203,7.455661020776725,7975,7.0,17.5,-10.5,3.671638069127137,1.7633944754067683
excited,332,66.41,417.04,0,0.0,0.0,4.25,5151,22049,6.2794895734425085,5151,4.25,10.625,-6.375,3.2563967676416725,1.6306905702056542
aware,332,65.62,350.44,0,0.0,2.0,10.0,4456,21786,5.340421142753441,4456,10.0,25.0,-15.0,4.557179599563665,1.9916751048203458
possible,332,65.61,278.75,0,0.0,1.0,10.0,3315,21782,4.2486697668538085,3315,10.0,25.0,-15.0,4.274027419763316,1.77183935857588
open,332,65.6,385.37,0,0.0,2.0,14.0,5500,21778,5.874851541494755,5500,14.0,35.0,-21.0,5.209141601436062,2.1534920542932325
famous,332,65.19,892.31,0,0.0,0.0,3.0,16180,21643,13.687960240396594,16180,3.0,7.5,-4.5,2.494756829788079,1.5152699375268102
competitive,332,64.8,439.59,0,0.0,1.0,9.0,6698,21514,6.783687033411007,6698,9.0,22.5,-13.5,4.067457470897238,1.9975859861308696
young,332,64.6,414.2,0,0.0,1.0,7.0,4631,21446,6.4121051283798804,4631,7.0,17.5,-10.5,3.59263988514826,1.7510072952966627
new,332,63.26,302.74,0,0.0,1.0,11.0,3249,21003,4.785519610996735,3249,11.0,27.5,-16.5,4.442538769290281,1.900517965320298
less,332,61.11,434.22,0,0.0,0.0,4.25,5908,20289,7.105378762693021,5908,4.25,10.625,-6.375,2.9648508127183795,1.5980686768090997
enough,332,60.39,542.81,0,0.0,0.0,5.0,9433,20048,8.989091132685864,9433,5.0,12.5,-7.5,3.1040984842529107,1.616944367947851
attractive,332,58.44,502.61,0,0.0,1.0,6.25,8345,19402,8.600476196642829,8345,6.25,15.625,-9.375,3.547639315911509,1.8523507718313867
nice,332,58.1,427.6,0,0.0,0.0,5.0,6630,19289,7.359716718401772,6630,5.0,12.5,-7.5,3.09731393616329,1.617512759752533
positive,332,57.49,383.7,0,0.0,2.0,16.25,5759,19087,6.674126935320411,5759,16.25,40.625,-24.375,5.20670484992596,2.1918853170898376
early,332,57.0,792.34,0,0.0,0.0,1.25,14229,18924,13.900667918694612,14229,1.25,3.125,-1.875,2.049042249154111,1.375528537512989
tough,332,56.77,340.88,0,0.0,1.0,8.0,5216,18849,6.004124888041781,5216,8.0,20.0,-12.0,3.7829592453794585,1.7808814541985074
aggressive,332,55.76,508.0,0,0.0,1.0,5.0,8761,18512,9.110543094107998,8761,5.0,12.5,-7.5,3.237888328211416,1.7717364643016125
efficient,332,55.38,641.64,0,0.0,0.0,3.0,11293,18386,11.586225637194927,11293,3.0,7.5,-4.5,2.473242548870923,1.5493477072329769
sensitive,332,54.96,282.59,0,0.0,1.0,6.0,2616,18246,5.141857200004815,2616,6.0,15.0,-9.0,3.537792652334533,1.7609069143397986
late,332,54.57,832.88,0,0.0,0.0,2.0,15157,18116,15.263634921899394,15157,2.0,5.0,-3.0,2.2704835027465724,1.4660011277061182
responsible,332,54.11,199.9,0,0.0,1.0,10.25,2096,17964,3.6944934731250068,2096,10.25,25.625,-15.375,4.758928745010128,1.9697561466310598
lower,332,53.44,300.48,0,0.0,0.0,2.0,3087,17742,5.622855998564533,3087,2.0,5.0,-3.0,2.6158279932501145,1.4625379966404235
true,332,53.37,254.65,0,0.0,1.0,11.0,3215,17719,4.771386677818029,3215,11.0,27.5,-16.5,4.577143968426917,1.982552762810021
short,332,52.68,294.25,0,0.0,2.0,12.0,4022,17490,5.5854968268819585,4022,12.0,30.0,-18.0,5.105462513128175,2.248645118901813
complex,332,52.27,417.36,0,0.0,1.0,8.0,7109,17352,7.985498498844633,7109,8.0,20.0,-12.0,3.657134542991522,1.8024059029952255
exciting,332,51.51,351.85,0,0.0,1.0,4.25,4492,17101,6.830929078426566,4492,4.25,10.625,-6.375,3.0389714980155476,1.6468310333835976
proud,332,51.39,377.72,0,0.0,0.0,5.0,6158,17061,7.35030283469023,6158,5.0,12.5,-7.5,3.171167075897984,1.6161770827455304
beautiful,332,50.04,364.6,0,0.0,1.0,7.25,5988,16613,7.286305501802732,5988,7.25,18.125,-10.875,3.669102428449102,1.7821216938906663
valuable,332,50.03,429.82,0,0.0,0.0,3.0,7021,16610,8.591278075229775,7021,3.0,7.5,-4.5,2.677309015554066,1.5319719875594902
confident,332,49.82,301.71,0,0.0,1.0,6.0,4248,16539,6.056529209853088,4248,6.0,15.0,-9.0,3.579491754884381,1.734344687096888
vulnerable,332,49.58,348.02,0,0.0,1.0,6.0,4937,16460,7.019694898405315,4937,6.0,15.0,-9.0,3.5168996124616765,1.8490515402117877
impossible,332,49.39,348.18,0,0.0,0.0,6.0,4734,16399,7.048941304917792,4734,6.0,15.0,-9.0,3.4090273771082584,1.665928389001173
ready,332,48.22,219.89,0,0.0,1.0,10.0,3073,16009,4.560232670731976,3073,10.0,25.0,-15.0,4.084542657819032,1.7719987068227103
critical,332,47.89,227.43,0,0.0,2.0,8.0,2786,15898,4.749485424569158,2786,8.0,20.0,-12.0,4.3755418309679825,2.024367389668518
ill,332,47.36,349.48,0,0.0,0.0,3.0,4928,15724,7.378955831997547,4928,3.0,7.5,-4.5,2.484852051579209,1.4847559745087402
worth,332,46.01,261.25,0,0.0,0.0,4.25,3366,15275,5.678128571932192,3366,4.25,10.625,-6.375,2.986851076647614,1.5230631437010254
pleased,332,45.53,380.66,0,0.0,0.0,5.25,6686,15116,8.360572225885482,6686,5.25,13.125,-7.875,3.218834825409204,1.637213952936866
old,332,44.71,293.81,0,0.0,1.0,6.0,4217,14845,6.570862764747981,4217,6.0,15.0,-9.0,3.5495718485593697,1.8324206232244837
right,332,44.58,254.25,0,0.0,1.0,7.0,3795,14799,5.703796342759442,3795,7.0,17.5,-10.5,3.6749786706369503,1.7851889600066624
impressive,332,43.71,256.16,0,0.0,0.0,6.0,3231,14511,5.860829686818824,3231,6.0,15.0,-9.0,3.1551891966258214,1.6220873693945859
complicated,332,43.63,380.41,0,0.0,1.0,5.0,6558,14485,8.71901346261717,6558,5.0,12.5,-7.5,3.0363106789062178,1.6593180946101513
optimistic,332,43.57,238.56,0,0.0,1.0,6.0,3029,14465,5.4754411941183765,3029,6.0,15.0,-9.0,3.5572773305376386,1.8188041759350941
busy,332,43.47,335.48,0,0.0,1.0,5.0,5385,14432,7.717483365745997,5385,5.0,12.5,-7.5,3.405005833760054,1.775550796426597
conservative,332,41.5,285.34,0,0.0,1.0,8.0,4655,13778,6.875760356522863,4655,8.0,20.0,-12.0,3.9017496059814882,1.9325062678173637
cool,332,41.0,225.62,0,0.0,2.0,8.0,2623,13613,5.50255259413113,2623,8.0,20.0,-12.0,4.150910602291711,2.015803768999987
special,332,40.29,351.68,0,0.0,0.0,2.0,5967,13375,8.729531849262047,5967,2.0,5.0,-3.0,2.212753485509525,1.3950880931670957
useful,332,40.19,222.71,0,0.0,1.0,7.0,3122,13342,5.541920177256635,3122,7.0,17.5,-10.5,3.93099647311984,1.9212065047988482
wrong,332,39.55,121.21,0,0.0,2.0,10.0,840,13132,3.0643948477479848,840,10.0,25.0,-15.0,4.860687590221972,2.085008009633235
free,332,39.18,137.15,0,0.0,2.0,15.0,1234,13008,3.5004196264055136,1234,15.0,37.5,-22.5,5.121049140789697,2.129370594230541
familiar,332,38.89,188.58,0,0.0,1.0,7.0,2101,12913,4.848594770111353,2101,7.0,17.5,-10.5,3.8861095307524987,1.898402218727449
similar,332,38.83,306.09,0,0.0,1.0,6.25,5387,12890,7.883891439819906,5387,6.25,15.625,-9.375,3.612139460202427,1.8279379829520108
prominent,332,38.81,512.51,0,0.0,0.0,1.0,9176,12886,13.204638267866624,9176,1.0,2.5,-1.5,1.8641181960123854,1.3103387401643718
severe,332,38.19,249.64,0,0.0,0.0,2.0,3230,12678,6.537319888162336,3230,2.0,5.0,-3.0,2.1962462303744976,1.3738012370085622
safe,332,37.84,130.47,0,0.0,2.0,14.0,1284,12564,3.447502993314609,1284,14.0,35.0,-21.0,5.045331244937624,2.109997875958362
worried,332,37.38,160.16,0,0.0,1.0,5.0,1562,12409,4.2851230172576775,1562,5.0,12.5,-7.5,3.3389137900600248,1.6682097017320778
certain,332,36.92,250.47,0,0.0,0.0,3.0,4142,12256,6.7848052676057975,4142,3.0,7.5,-4.5,2.5277907962553163,1.4414353789713308
hot,332,36.84,204.16,0,0.0,1.0,8.0,2327,12230,5.542161588827229,2327,8.0,20.0,-12.0,3.9368548469302445,1.900427943594881
obvious,332,36.7,201.61,0,0.0,0.0,4.0,2825,12185,5.493117207625285,2825,4.0,10.0,-6.0,2.896248635187781,1.5936584969921948
willing,332,36.66,197.11,0,0.0,0.0,4.25,2825,12171,5.376855281115064,2825,4.25,10.625,-6.375,3.0924424123329444,1.614334121395073
visible,332,36.61,214.33,0,0.0,1.0,5.0,3027,12153,5.855203045678269,3027,5.0,12.5,-7.5,3.193133787464527,1.7199115967280885
