adj_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
much,1077,231.05,3615.66,0,0,0,0,66015,248836,15.649108442437964,66015,0,0.0,0.0,1.3630404543164976,1.1332509797858406
good,1077,190.79,2060.02,0,0,1,6,52941,205486,10.79702008423563,52941,6,15.0,-9.0,3.9342163580478773,1.8272567102111288
many,1077,181.92,3154.2,0,0,0,0,82446,195927,17.338475705287944,82446,0,0.0,0.0,1.5339869386213867,1.208896849450455
important,1077,170.01,2355.71,0,0,0,2,62730,183102,13.856187565172382,62730,2,5.0,-3.0,2.3624702400005053,1.4003270464088085
more,1077,85.64,1068.33,0,0,0,1,25895,92237,12.474320408861894,25895,1,2.5,-1.5,2.1359423064895537,1.3441668007267156
difficult,1077,81.34,1070.8,0,0,0,2,24450,87604,13.164311434329345,24450,2,5.0,-3.0,2.358181823332919,1.4463841437712155
likely,1077,79.5,1331.54,0,0,0,0,37749,85623,16.748700122287456,37749,0,0.0,0.0,1.4315990066455082,1.1326555112517394
high,1077,74.8,761.77,0,0,1,5,18634,80564,10.18347622170886,18634,5,12.5,-7.5,3.4327479878401865,1.7268178326491623
different,1077,66.18,613.01,0,0,0,2,16254,71271,9.263438121997886,16254,2,5.0,-3.0,2.53592912021173,1.4881632431167278
popular,1077,62.68,1021.47,0,0,0,1,32163,67507,16.296375101713416,32163,1,2.5,-1.5,1.9599089410633,1.3073738640205934
available,1077,55.35,570.84,0,0,0,1,14603,59615,10.31282388903692,14603,1,2.5,-1.5,2.005884379655306,1.3093590094882963
bad,1077,51.98,468.69,0,0,0,3,8366,55982,9.016719577815454,8366,3,7.5,-4.5,2.5612882571302134,1.5546275570158572
clear,1077,48.9,560.89,0,0,0,2,14529,52668,11.469535683419322,14529,2,5.0,-3.0,2.212666875918746,1.4105859640769414
easy,1077,48.02,401.8,0,0,0,2,6413,51718,8.367317969488289,6413,2,5.0,-3.0,2.1351681606699713,1.372455665574493
strong,1077,46.74,502.99,0,0,0,2,14384,50344,10.760345626987247,14384,2,5.0,-3.0,2.458020953167488,1.4765962679427074
