key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~early,NEGMIR,early,5228,834.115286,16884.391574,1.7666364,0.7642018,0.017475022,0.9066944,0.01778455,293963,5766,2032082,5228.0,288735.0,538.0,1737581.0,293963.0,1738119.0,5766.0,2026316.0,293128.884714298,4931.884714298,1733187.115285702,60.76883,0.034884848,0.7642018,0.7971095,0.017475022,0.7642018,0.7642018,0.013354443,4393.885,0.8404523,28.881054,66.286385,5.5009084,5.4820924,5.509317,5.5296464,5.661221,5.536499,72.30490993010088,542.1835482564921,75.93418202627852
NEG~late,NEGMIR,late,11150,2026.555851,30166.318644,1.3788688,0.6557768,0.03628506,0.7959169,0.037929945,293963,14009,2032082,11150.0,282813.0,2859.0,1735260.0,293963.0,1738119.0,14009.0,2018073.0,291936.444148907,11982.444148907,1726136.555851092,86.40152,0.07240918,0.6557768,0.7405163,0.03628506,0.6557768,0.6557768,0.0237949,9123.444,0.8182461,45.017284,95.51672,4.368812,4.3601313,4.372691,4.38207,4.442772,4.3852315,105.59356040971439,542.1835482564921,118.35962149314267
NEG~alone,NEGMIR,alone,568,119.48998,1251.891551,1.1148317,0.54321116,0.0017837796,0.68765134,0.001932216,293963,826,2032082,568.0,293395.0,258.0,1737861.0,293963.0,1738119.0,826.0,2031256.0,293843.510019773,706.510019773,1737412.489980227,18.819063,0.003853604,0.54321116,0.67701685,0.0017837796,0.54321116,0.54321116,0.00096896896,448.51,0.7896303,10.931148,21.178055,3.1324203,3.101201,3.1463716,3.1801023,3.3984094,3.1914716,23.83275057562597,542.1835482564921,28.74021572639983
NEG~fancy,NEGMIR,fancy,782,171.712599,1628.135637,1.0583353,0.5144432,0.0024271882,0.6588037,0.0026601988,293963,1187,2032082,782.0,293181.0,405.0,1737714.0,293963.0,1738119.0,1187.0,2030895.0,293791.287401296,1015.287401296,1737103.712598704,21.823833,0.005299001,0.5144432,0.6584046,0.0024271882,0.5144432,0.5144432,0.0012486505,610.2874,0.7804187,13.103915,24.703995,3.048418,3.0229654,3.0597925,3.0872927,3.2652757,3.096562,27.964262908219126,542.1835482564921,34.45286635390443
NEG~aggravating,NEGMIR,aggravating,112,26.617623,209.290517,0.9627482,0.46407667,0.00033957625,0.6086956,0.00038100034,293963,184,2032082,112.0,293851.0,72.0,1738047.0,293963.0,1738119.0,184.0,2031898.0,293936.382377286,157.382377286,1737961.617622714,8.067876,0.000761524,0.46407667,0.62404877,0.00033957625,0.46407667,0.46407667,0.00015758941,85.38238,0.76234263,5.159227,9.240258,2.0542674,1.9914376,2.082345,2.150229,2.589579,2.17311,10.583005244258363,542.1835482564921,13.564659966250536
NEG~frustrating,NEGMIR,frustrating,2065,507.470763,3693.174802,0.9300955,0.4447613,0.006194486,0.5886545,0.007024694,293963,3508,2032082,2065.0,291898.0,1443.0,1736676.0,293963.0,1738119.0,3508.0,2028574.0,293455.529236517,3000.529236517,1735118.470763483,34.2749,0.013883706,0.4447613,0.60950905,0.006194486,0.4447613,0.4447613,0.0027550675,1557.5293,0.7542514,22.527111,39.465546,2.8207774,2.8065288,2.8271449,2.8425395,2.9421756,2.8477285,45.44227107000705,542.1835482564921,59.22837157984339
NEG~evident,NEGMIR,evident,1470,379.011802,2455.312311,0.8802544,0.41694528,0.0043389946,0.5610687,0.0050006295,293963,2620,2032082,1470.0,292493.0,1150.0,1736969.0,293963.0,1738119.0,2620.0,2029462.0,293583.988198311,2240.988198311,1735878.011801689,28.455183,0.009912908,0.41694528,0.5886646,0.0043389946,0.41694528,0.41694528,0.0018091233,1090.9882,0.74216884,19.468225,33.03011,2.6194327,2.6030774,2.6267414,2.6444123,2.758779,2.6503685,38.34057902536163,542.1835482564921,51.18593556827891
NEG~motivating,NEGMIR,motivating,130,33.706011,215.029303,0.8726227,0.41332632,0.00038297306,0.5579399,0.00044223253,293963,233,2032082,130.0,293833.0,103.0,1738016.0,293963.0,1738119.0,233.0,2031849.0,293929.293988628,199.293988628,1737919.706011372,8.445541,0.000883765,0.41332632,0.586236,0.00038297306,0.41332632,0.41332632,0.00015829284,96.29399,0.740723,5.805688,9.81295,1.8980764,1.8432099,1.9225954,1.9818757,2.3655415,2.0018568,11.40175425099138,542.1835482564921,15.264337522473747
NEG~disheartening,NEGMIR,disheartening,129,33.706011,211.02611,0.8651043,0.40903398,0.00037899593,0.55364805,0.00043883073,293963,233,2032082,129.0,293834.0,104.0,1738015.0,293963.0,1738119.0,233.0,2031849.0,293929.293988628,199.293988628,1737919.706011372,8.390168,0.000876966,0.40903398,0.58288234,0.00037899593,0.40903398,0.40903398,0.00015502222,95.29399,0.7387131,5.805688,9.761864,1.873968,1.8191546,1.8984631,1.957686,2.3409796,1.9776475,11.357816691600547,542.1835482564921,15.264337522473747
NEG~certain,NEGMIR,certain,1147,307.40461,1811.160335,0.8424315,0.39551732,0.0033391744,0.5397647,0.0039018516,293963,2125,2032082,1147.0,292816.0,978.0,1737141.0,293963.0,1738119.0,2125.0,2029957.0,293655.595389851,1817.595389851,1736301.404610149,24.790674,0.007747697,0.39551732,0.57185304,0.0033391744,0.39551732,0.39551732,0.0013207013,839.5954,0.7319925,17.532957,28.975773,2.4636128,2.4455268,2.4716952,2.491236,2.6177058,2.4978225,33.8673884437522,542.1835482564921,46.09772228646444
