key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total
POS~even_more,POSMIR,even_more,480,263.0,417.48672,1.0148871,0.4129198,0.0014876515,0.9125475,0.0016453288,291735,526,583470,480.0,291255.0,46.0,291689.0,291735.0,291735.0,526.0,582944.0,291472.0,263.0,291472.0,9.90465,0.003284735,0.26128548,0.0014876515,0.4129198,0.4129198,0.20720372,217.0,0.45208332,2.3117886,2.2594206,2.3353534,2.3927522,2.774729,2.4517932,21.908902300206645,540.1249855357554,22.93468988235943,even,more,14978,2193
POS~very_satisfied,POSMIR,very_satisfied,136,74.5,118.33861,1.004982,0.41285712,0.0004216155,0.9127517,0.0004661765,291735,149,583470,136.0,291599.0,13.0,291722.0,291735.0,291735.0,149.0,583321.0,291660.5,74.5,291660.5,5.2735815,0.000931877,0.26138264,0.0004216155,0.41285712,0.41285712,0.20663936,61.5,0.4522059,1.4989902,1.4133993,1.5375977,1.6318974,2.2712688,1.7293102,11.661903789690601,540.1249855357554,12.206555615733702,very,satisfied,45886,1358
NEG~more_depressing,NEGMIR,more_depressing,165,90.5,142.78625,1.0015359,0.41172993,0.0005107375,0.9116022,0.0005655818,291735,181,583470,165.0,291570.0,16.0,291719.0,291735.0,291735.0,181.0,583289.0,291644.5,90.5,291644.5,5.799817,0.001130462,0.26083538,0.0005107375,0.41172993,0.41172993,0.20612034,74.5,0.45151514,1.6405293,1.5611844,1.6763083,1.7636662,2.3541949,1.8538514,12.84523257866513,540.1249855357554,13.45362404707371,more,depressing,121848,331
POS~so_different,POSMIR,so_different,388,213.0,334.58588,1.0044518,0.41109827,0.0011997189,0.91079813,0.0013299742,291735,426,583470,388.0,291347.0,38.0,291697.0,291735.0,291735.0,426.0,583044.0,291522.0,213.0,291522.0,8.884279,0.00265607,0.26045212,0.0011997189,0.41109827,0.41109827,0.206149,175.0,0.45103094,2.180715,2.1240096,2.2062416,2.2684453,2.6834822,2.332469,19.697715603592208,540.1249855357554,20.639767440550294,so,different,47033,8657
POS~totally_different,POSMIR,totally_different,437,240.0,376.17773,1.0030758,0.4107546,0.0013505407,0.91041666,0.0014979348,291735,480,583470,437.0,291298.0,43.0,291692.0,291735.0,291735.0,480.0,582990.0,291495.0,240.0,291495.0,9.423788,0.002990948,0.2602702,0.0013505407,0.4107546,0.4107546,0.20605256,197.0,0.45080093,2.2380862,2.1841288,2.2623687,2.321522,2.7154553,2.3823776,20.904544960366874,540.1249855357554,21.908902300206645,totally,different,3029,8657
POS~very_pleased,POSMIR,very_pleased,171,94.0,146.54001,0.9914554,0.40970647,0.0005278763,0.90957445,0.0005861484,291735,188,583470,171.0,291564.0,17.0,291718.0,291735.0,291735.0,188.0,583282.0,291641.0,94.0,291641.0,5.888337,0.001171542,0.25986826,0.0005278763,0.40970647,0.40970647,0.20511718,77.0,0.4502924,1.6468031,1.5690039,1.6818783,1.7674994,2.345501,1.8558632,13.076696830622021,540.1249855357554,13.711309200802088,very,pleased,45886,1970
NEG~as_effective,NEGMIR,as_effective,441,242.5,377.54495,0.99716216,0.40961885,0.001360824,0.90927833,0.0015116459,291735,485,583470,441.0,291294.0,44.0,291691.0,291735.0,291735.0,485.0,582985.0,291492.5,242.5,291492.5,9.452381,0.003018274,0.25972685,0.001360824,0.40961885,0.40961885,0.20548983,198.5,0.4501134,2.2286994,2.1751776,2.252784,2.31145,2.7019444,2.3717964,21.0,540.1249855357554,22.02271554554524,as,effective,47332,2566
POS~truly_unique,POSMIR,truly_unique,209,115.0,178.35748,0.98902553,0.4088568,0.0006444205,0.90869564,0.0007164036,291735,230,583470,209.0,291526.0,21.0,291714.0,291735.0,291735.0,230.0,583240.0,291620.0,115.0,291620.0,6.5021157,0.001431678,0.25944844,0.0006444205,0.4088568,0.4088568,0.20475063,94.0,0.44976076,1.7810711,1.7092237,1.8134506,1.8924562,2.4241068,1.973935,14.45683229480096,540.1249855357554,15.165750888103101,truly,unique,5073,1594
POS~less_expensive,POSMIR,less_expensive,301,166.0,254.3527,0.9813789,0.406858,0.0009254975,0.9066265,0.0010317583,291735,332,583470,301.0,291434.0,31.0,291704.0,291735.0,291735.0,332.0,583138.0,291569.0,166.0,291569.0,7.7812705,0.002061171,0.2584584,0.0009254975,0.406858,0.406858,0.20389175,135.0,0.44850498,1.9898479,1.9280065,2.017695,2.085577,2.5395818,2.1554837,17.349351572897472,540.1249855357554,18.2208671582886,less,expensive,9148,2584
NEG~more_certain,NEGMIR,more_certain,248,137.0,208.01663,0.97241116,0.4052998,0.0007609646,0.90510947,0.00085008657,291735,274,583470,248.0,291487.0,26.0,291709.0,291735.0,291735.0,274.0,583196.0,291598.0,137.0,291598.0,7.048507,0.001698578,0.2577311,0.0007609646,0.4052998,0.4052998,0.20303039,111.0,0.44758064,1.8554688,1.7890313,1.8853942,1.9583676,2.447546,2.033557,15.748015748023622,540.1249855357554,16.55294535724685,more,certain,121848,1284
