key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total,first_char
POS~more_complicated,POSMIR,more_complicated,2083,2044.91756,4.24647,0.04858742,0.0154529,0.000157533,0.84400326,0.0014771248,1410172,2468,1701929,2083.0,1408089.0,385.0,291372.0,1410172.0,291757.0,2468.0,1699461.0,1408127.08244116,423.082441159,291333.917558841,0.83441126,0.002949088,0.008013466,0.000157533,0.0154529,0.0154529,0.0078052166,38.08244,0.018282497,0.0,0.0,0.0,0.0,0.0,0.0,45.639894828976104,1187.5066315604304,49.678969393496885,more,complicated,288194,5774,m
POS~too_much,POSMIR,too_much,3834,3789.89178,3.04852,0.03001292,0.00966924,0.00018246,0.838216,0.0027188172,1410172,4574,1701929,3834.0,1406338.0,740.0,291017.0,1410172.0,291757.0,4574.0,1697355.0,1406382.108219556,784.108219556,290972.891780444,0.7123501,0.005420054,0.0050253,0.00018246,0.00966924,0.00966924,0.00492585,44.10822,0.011504492,0.0,0.0,0.0,0.0,0.0,0.0,61.91930232165088,1187.5066315604304,67.63135367564367,too,much,163259,6569,t
POS~so_good,POSMIR,so_good,2159,2136.06056,1.45951,0.0274123,0.00891165,9.4892e-05,0.8374709,0.0015310189,1410172,2578,1701929,2159.0,1408013.0,419.0,291338.0,1410172.0,291757.0,2578.0,1699351.0,1408035.939438132,441.939438132,291315.060561868,0.49369243,0.00305645,0.004639081,9.4892e-05,0.00891165,0.00891165,0.004503271,22.93944,0.01062503,0.0,0.0,0.0,0.0,0.0,0.0,46.46504062195577,1187.5066315604304,50.774009099144415,so,good,129811,31585,s
POS~more_effective,POSMIR,more_effective,2575,2571.06126,0.03533,0.00357344,0.00127165,1.6293e-05,0.8298421,0.0018260184,1410172,3103,1701929,2575.0,1407597.0,528.0,291229.0,1410172.0,291757.0,3103.0,1698826.0,1407600.938741863,531.938741863,291225.061258137,0.07761915,0.003644018,0.000664809,1.6293e-05,0.00127165,0.00127165,0.0006439715,3.93874,0.0015296078,0.0,0.0,0.0,0.0,0.0,0.0,50.7444578254611,1187.5066315604304,55.70457790882182,more,effective,288194,6998,m
POS~too_busy,POSMIR,too_busy,3252,3297.71956,-3.64291,-0.0345448,-0.01151425,-0.000189126,0.81708544,0.0023061016,1410172,3980,1701929,3252.0,1406920.0,728.0,291029.0,1410172.0,291757.0,3980.0,1697949.0,1406874.280435905,682.280435905,291074.719564095,-0.80172753,0.004599223,-0.006063184,-0.01151425,-0.000189126,0.01151425,-0.005851688,-45.71956,-0.014058906,0.0,0.0,0.0,0.0,0.0,0.0,57.02630971753301,1187.5066315604304,63.08724118235002,too,busy,163259,8454,t
POS~very_good,POSMIR,very_good,5892,6180.32418,-74.62329,-0.10967863,-0.03882469,-0.001192694,0.78991824,0.004178214,1410172,7459,1701929,5892.0,1404280.0,1567.0,290190.0,1410172.0,291757.0,7459.0,1694470.0,1403991.675821964,1278.675821964,290478.324178036,-3.7562084,0.008312459,-0.020748518,-0.03882469,-0.001192694,0.03882469,-0.020008693,-288.3242,-0.04893486,-0.1388882,-0.12687163,-0.14424568,-0.1571649,-0.24579294,-0.19833653,76.75936424958195,1187.5066315604304,86.36550237218562,very,good,185255,31585,v
POS~so_simple,POSMIR,so_simple,2136,2333.26088,-88.76576,-0.1877305,-0.07016612,-0.000815998,0.75852275,0.0015147089,1410172,2816,1701929,2136.0,1408036.0,680.0,291077.0,1410172.0,291757.0,2816.0,1699113.0,1407838.73912249,482.73912249,291274.26087751,-4.2681565,0.00302338,-0.038362052,-0.07016612,-0.000815998,0.07016612,-0.03549106,-197.26088,-0.0923506,-0.2730546,-0.25418755,-0.28146154,-0.30172238,-0.44027472,-0.36617988,46.216880033165374,1187.5066315604304,53.0659966456864,so,simple,129811,25408,s
POS~too_big,POSMIR,too_big,2164,2445.1182,-167.3171,-0.2456493,-0.09542748,-0.001162886,0.73331076,0.0015345647,1410172,2951,1701929,2164.0,1408008.0,787.0,290970.0,1410172.0,291757.0,2951.0,1698978.0,1407726.881800592,505.881800592,291251.118199408,-6.0431075,0.00306272,-0.0530426,-0.09542748,-0.001162886,0.09542748,-0.04829518,-281.1182,-0.12990674,-0.48519683,-0.4674739,-0.49309593,-0.5121378,-0.64253986,-0.5727633,46.51881339845203,1187.5066315604304,54.323107422164284,too,big,163259,8177,t
POS~more_powerful,POSMIR,more_powerful,2623,3028.43342,-276.62482,-0.27998954,-0.11116443,-0.001677133,0.7176471,0.0018600568,1410172,3655,1701929,2623.0,1407549.0,1032.0,290725.0,1410172.0,291757.0,3655.0,1698274.0,1407143.566581214,626.566581215,291130.433418785,-7.9162664,0.003710496,-0.06241974,-0.11116443,-0.001677133,0.11116443,-0.05642078,-405.4334,-0.1545686,-0.63826257,-0.6227253,-0.64518946,-0.6618925,-0.7764593,-0.715117,51.21523210920751,1187.5066315604304,60.45659600076736,more,powerful,288194,7243,m
POS~as_important,POSMIR,as_important,2381,2827.91881,-352.99361,-0.32209468,-0.13120916,-0.001848744,0.6976267,0.0016884465,1410172,3413,1701929,2381.0,1407791.0,1032.0,290725.0,1410172.0,291757.0,3413.0,1698516.0,1407344.081187876,585.081187876,291171.918812124,-9.1590185,0.00336874,-0.074707545,-0.13120916,-0.001848744,0.13120916,-0.06652895,-446.91882,-0.18770215,-0.77409333,-0.7583695,-0.7811039,-0.79801023,-0.9140257,-0.8518958,48.79549159502341,1187.5066315604304,58.42088667591412,as,important,108254,43671,a
POS~more_important,POSMIR,more_important,11086,19294.97374,-15260.295,-0.74099374,-0.3574034,-0.033957597,0.47605962,0.007861452,1410172,23287,1701929,11086.0,1399086.0,12201.0,279556.0,1410172.0,291757.0,23287.0,1678642.0,1390877.026259027,3992.026259027,287764.973740973,-77.96532,0.015467481,-0.24066932,-0.3574034,-0.033957597,0.3574034,-0.1956805,-8208.974,-0.74048114,-2.3098576,-2.304487,-2.3122551,-2.3180442,-2.3580444,-2.3365636,105.29007550571896,1187.5066315604304,152.6007863675676,more,important,288194,43671,m
POS~as_good,POSMIR,as_good,2430,4866.20779,-5116.63826,-0.8399612,-0.41625127,-0.010077722,0.41375786,0.0017231941,1410172,5873,1701929,2430.0,1407742.0,3443.0,288314.0,1410172.0,291757.0,5873.0,1696056.0,1405305.792211074,1006.792211073,290750.207788927,-49.420963,0.003432094,-0.30158436,-0.41625127,-0.010077722,0.41625127,-0.21316451,-2436.2078,-1.0025547,-2.5713072,-2.5605302,-2.5761187,-2.5877395,-2.668136,-2.6249392,49.29503017546495,1187.5066315604304,76.6355009117837,as,good,108254,31585,a
