neg_deprel,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
det,104,1.02,6.57,0,0,0,1,67,106,6.447470642170797,67,1,2.5,-1.5,1.3143493599060414,1.202107768145504
neg,104,0.45,0.68,0,0,0,1,4,47,1.5067710915112706,4,1,2.5,-1.5,1.336250877324322,1.2512532584720273
advmod,104,0.14,0.43,0,0,0,0,2,15,2.9649953475517012,2,0,0.0,0.0,1.0960081555808874,1.0666666666666667
amod,104,0.12,0.36,0,0,0,0,2,13,2.882824936004697,2,0,0.0,0.0,1.08749536705946,1.0630323679727427
prep,104,0.04,0.24,0,0,0,0,2,4,6.1942660613534315,2,0,0.0,0.0,1.0241810659173605,1.01628664495114
conj,104,0.03,0.17,0,0,0,0,1,3,5.830396856826353,1,0,0.0,0.0,1.0201958617729396,1.0146341463414634
dep,104,0.03,0.17,0,0,0,0,1,3,5.830396856826353,1,0,0.0,0.0,1.0201958617729396,1.0146341463414634
dobj,104,0.02,0.14,0,0,0,0,1,2,7.176011819323318,1,0,0.0,0.0,1.0134189906987003,1.0097087378640777
pobj,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
quantmod,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
