prev_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
were,10,5.0,14.44,0,0,0.0,0.75,46,50,2.8875210436943624,46,0.75,1.875,-1.125,1.8093341674985717,1.2867898699520877
is,10,4.0,8.41,0,0,0.0,1.0,25,40,2.101586702153082,25,1.0,2.5,-1.5,2.0716488226106913,1.4064914992272024
was,10,3.3,8.72,0,0,0.0,1.75,28,33,2.641950039308662,28,1.75,4.375,-2.625,1.8696790007677984,1.3886671987230645
are,10,1.5,2.46,0,0,0.5,1.0,7,15,1.6405358955814888,7,1.0,2.5,-1.5,1.8131474454755332,1.4723926380368098
be,10,1.3,3.13,0,0,0.0,0.75,10,13,2.4067076985143205,10,0.75,1.875,-1.125,1.520387861280808,1.2619502868068833
longer,10,0.7,2.21,0,0,0.0,0.0,7,7,3.1622776601683795,7,0.0,0.0,0.0,1.2311444133449163,1.095890410958904
's,10,0.7,2.21,0,0,0.0,0.0,7,7,3.1622776601683795,7,0.0,0.0,0.0,1.2311444133449163,1.095890410958904
not,10,0.3,0.67,0,0,0.0,0.0,2,3,2.249828525701843,2,0.0,0.0,0.0,1.1962311988513155,1.1320754716981132
all,10,0.2,0.63,0,0,0.0,0.0,2,2,3.162277660168379,2,0.0,0.0,0.0,1.1161231740339044,1.0714285714285714
become,10,0.2,0.63,0,0,0.0,0.0,2,2,3.162277660168379,2,0.0,0.0,0.0,1.1161231740339044,1.0714285714285714
been,10,0.2,0.63,0,0,0.0,0.0,2,2,3.162277660168379,2,0.0,0.0,0.0,1.1161231740339044,1.0714285714285714
the,10,0.2,0.42,0,0,0.0,0.0,1,2,2.1081851067789197,1,0.0,0.0,0.0,1.148698354997035,1.1111111111111112
so,10,0.2,0.63,0,0,0.0,0.0,2,2,3.162277660168379,2,0.0,0.0,0.0,1.1161231740339044,1.0714285714285714
seemed,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
room,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
this,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
really,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
times,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
remains,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
'm,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
quite,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
or,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
no,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
much,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
more,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
half,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
did,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
also,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
",",10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
n't,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
