neg_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
no,104,1.13,6.57,0,0,0,1,67,118,5.786685075842284,67,1,2.5,-1.5,1.4120206439929222,1.275843406097781
not,104,0.29,0.48,0,0,0,1,2,30,1.650445332338444,2,1,2.5,-1.5,1.217963410639996,1.164179104477612
n't,104,0.19,0.52,0,0,0,0,3,20,2.7186518646500226,3,0,0.0,0.0,1.127460525626237,1.0890052356020943
few,104,0.12,0.36,0,0,0,0,2,13,2.882824936004697,2,0,0.0,0.0,1.08749536705946,1.0630323679727427
without,104,0.04,0.24,0,0,0,0,2,4,6.1942660613534315,2,0,0.0,0.0,1.0241810659173605,1.01628664495114
neither,104,0.03,0.17,0,0,0,0,1,3,5.830396856826353,1,0,0.0,0.0,1.0201958617729396,1.0146341463414634
nothing,104,0.03,0.17,0,0,0,0,1,3,5.830396856826353,1,0,0.0,0.0,1.0201958617729396,1.0146341463414634
barely,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
hardly,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
never,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
rarely,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
