neg_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
no,43,2.74,10.28,0,0,0,1.5,67,118,3.7459722422305415,67,1.5,3.75,-2.25,1.7982809525989245,1.4160622657826463
not,43,0.7,1.21,0,0,0,1.0,6,30,1.7283658979650915,6,1.0,2.5,-1.5,1.4558301491189294,1.3125953921069846
n't,43,0.47,1.12,0,0,0,0.0,5,20,2.4082941997150087,5,0.0,0.0,0.0,1.2547220459865986,1.1533303531515422
few,43,0.3,0.6,0,0,0,0.0,2,13,1.9813159386351715,2,0.0,0.0,0.0,1.2086273353916983,1.1466666666666667
without,43,0.09,0.37,0,0,0,0.0,2,4,3.935113600344856,2,0.0,0.0,0.0,1.0594909180187404,1.0403225806451613
neither,43,0.07,0.26,0,0,0,0.0,1,3,3.6946980459563474,1,0.0,0.0,0.0,1.0495474860605887,1.036144578313253
nothing,43,0.07,0.26,0,0,0,0.0,1,3,3.6946980459563483,1,0.0,0.0,0.0,1.0495474860605887,1.036144578313253
barely,43,0.02,0.15,0,0,0,0.0,1,1,6.557438524302,1,0.0,0.0,0.0,1.016250325193552,1.011764705882353
hardly,43,0.02,0.15,0,0,0,0.0,1,1,6.557438524302,1,0.0,0.0,0.0,1.016250325193552,1.011764705882353
never,43,0.02,0.15,0,0,0,0.0,1,1,6.557438524302,1,0.0,0.0,0.0,1.016250325193552,1.011764705882353
rarely,43,0.02,0.15,0,0,0,0.0,1,1,6.557438524302,1,0.0,0.0,0.0,1.016250325193552,1.011764705882353
