neg_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
no,30,3.93,10.39,0,0,0,1,46,118,2.640367414697654,46,1,2.5,-1.5,1.9483640050878357,1.4138125123218546
not,30,1.67,3.11,0,0,1,1,13,50,1.8665845630548015,13,1,2.5,-1.5,1.8491828463090711,1.5034576271186442
few,30,0.43,1.41,0,0,0,0,7,13,3.245702509259991,7,0,0.0,0.0,1.1915438815816444,1.1026033690658499
without,30,0.13,0.35,0,0,0,0,1,4,2.5930942773132033,1,0,0.0,0.0,1.096824979694626,1.0714285714285714
neither,30,0.1,0.4,0,0,0,0,2,3,4.025778999364487,2,0,0.0,0.0,1.0615449167090512,1.0404624277456647
nothing,30,0.1,0.31,0,0,0,0,1,3,3.0512857662936463,1,0,0.0,0.0,1.0717734625362931,1.0526315789473684
barely,30,0.03,0.18,0,0,0,0,1,1,5.477225575051661,1,0,0.0,0.0,1.023373891996775,1.0169491525423728
hardly,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0.0,0.0,1.023373891996775,1.0169491525423728
never,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0.0,0.0,1.023373891996775,1.0169491525423728
rarely,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0.0,0.0,1.023373891996775,1.0169491525423728
