neg_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
no,81,1.46,7.67,0,0,0,1,69,118,5.2671177209617595,69,1,2.5,-1.5,1.4979740161545814,1.3269538309518547
not,81,0.37,0.56,0,0,0,1,2,30,1.505988047761336,2,1,2.5,-1.5,1.2789843500166311,1.208955223880597
n't,81,0.25,0.58,0,0,0,0,3,20,2.355525419094432,3,0,0.0,0.0,1.1665290395761165,1.1172413793103448
few,81,0.16,0.43,0,0,0,0,2,13,2.690218969992755,2,0,0.0,0.0,1.1097586760742542,1.0776053215077606
without,81,0.05,0.27,0,0,0,0,2,4,5.45363983959337,2,0,0.0,0.0,1.0311532745313334,1.0210084033613445
neither,81,0.04,0.19,0,0,0,0,1,3,5.130789412946121,1,0,0.0,0.0,1.0260044847070386,1.0188679245283019
nothing,81,0.04,0.19,0,0,0,0,1,3,5.130789412946121,1,0,0.0,0.0,1.0260044847070386,1.0188679245283019
barely,81,0.01,0.11,0,0,0,0,1,1,9.0,1,0,0.0,0.0,1.008594091576999,1.0062111801242235
hardly,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0.0,0.0,1.008594091576999,1.0062111801242235
never,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0.0,0.0,1.008594091576999,1.0062111801242235
rarely,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0.0,0.0,1.008594091576999,1.0062111801242235
