key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,deltaP_max,deltaP_mean,odds_r_disc,t,MI,dataset
[_direct_] immediately~appealable,77,0.5690965,8.591325,0.5703704,842.13423,immediately,appealable,91746,135,71961373,0.17211609,76.82788391,0.9977647,0.0008384666,0.0008392737,0.5690965,0.28496748,3.016466,8.755349939,2.6506693,direct
[_direct_] immediately~accretive,237,0.4484437,8.594747,0.44971538,2435.2561,immediately,accretive,91746,527,71961373,0.67189021,236.32810979,0.997165,0.0025791838,0.002583219,0.4484437,0.22551145,2.807595,15.351160359,2.54745,direct
[_direct_] immediately~adjacent,1572,0.33243394,8.361086,0.33368713,14989.706,immediately,adjacent,91746,4711,71961373,6.006214,1565.993786,0.9961793,0.017090585,0.017134262,0.33243394,0.17476226,2.601173,39.496968494,2.4178517,direct
[_direct_] immediately~apparent,4864,0.089852326,6.1702504,0.091060564,32633.823,immediately,apparent,91746,53415,71961373,68.100599,4795.899401,0.98599905,0.052340392,0.053015936,0.089852326,0.07109636,1.9181552,68.765923794,1.8538426,direct
[_mirror_] immediately~recognizable,56,0.08921681,5.940474,0.08988764,439.808281,immediately,recognizable,1183,623,1680633,0.4385305941104889,55.56147003173828,0.9921691,0.046999667,0.04733728,0.08921681,0.06810824,2.1709867,7.424713611602783,2.106188,mirror
[_direct_] immediately~actionable,172,0.08617023,5.5326247,0.08744281,1130.8556,immediately,actionable,91746,1967,71961373,2.5077951,169.4922049,0.9854198,0.0018497653,0.0018747412,0.08617023,0.044009995,1.8773637,12.923659461,1.8362364,direct
[_direct_] immediately~subsequent,58,0.081346944,4.872952,0.08262108,374.48747,immediately,subsequent,91746,702,71961373,0.89500366,57.10499634,0.9845689,0.0006232195,0.00063218013,0.081346944,0.04098508,1.8521596,7.498253368,1.8116032,direct
[_direct_] immediately~clear,26002,0.074144624,5.937549,0.07506264,170699.86,immediately,clear,91746,346404,71961373,441.64223,25560.35777,0.98301506,0.2789548,0.2834129,0.2789548,0.17654972,1.9460647,158.512513071,1.7699362,direct
[_direct_] immediately~prior,63,0.055076547,4.3502846,0.056350626,357.728,immediately,prior,91746,1118,71961373,1.4253762,61.5746238,0.977375,0.00067199906,0.00068667845,0.055076547,0.027874274,1.6735634,7.757673412,1.645411,direct
[_direct_] immediately~recognizable,1716,0.050795656,5.2201257,0.052047316,9499.6083,immediately,recognizable,91746,32970,71961373,42.034573,1673.965427,0.97550434,0.018268943,0.018703813,0.050795656,0.034532297,1.6416981,40.409906189,1.6109107,direct
