adj_form_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely,nones,nothings,nobodies,nobody's,nobodys,non-exalts,nothingis,nys
difficult,1981,457,860,285,133,125,39,2,37,32,2,5,3,0,1,0,0,0,0,0,0
true,1977,1135,283,278,48,30,124,2,28,36,0,12,1,0,0,0,0,0,0,0,0
big,1836,639,639,284,87,34,58,48,7,16,20,1,2,0,0,1,0,0,0,0,0
satisfying,1805,147,1484,93,22,10,22,0,11,12,2,2,0,0,0,0,0,0,0,0,0
fun,1725,796,741,81,25,43,14,3,6,13,1,2,0,0,0,0,0,0,0,0,0
powerful,1660,290,1033,180,60,44,17,7,10,7,6,5,1,0,0,0,0,0,0,0,0
beautiful,1611,259,1151,106,33,18,9,7,8,9,1,4,6,0,0,0,0,0,0,0,0
interesting,1577,237,816,307,74,32,35,2,21,27,9,15,2,0,0,0,0,0,0,0,0
pleased,1570,166,3,1304,21,8,10,27,16,11,0,1,3,0,0,0,0,0,0,0,0
effective,1543,337,387,315,94,221,83,10,29,43,8,14,2,0,0,0,0,0,0,0,0
different,1494,80,538,90,71,44,21,4,524,10,39,0,71,1,1,0,0,0,0,0,0
evident,1469,1233,61,86,11,21,4,0,12,34,0,3,4,0,0,0,0,0,0,0,0
interested,1436,806,14,105,155,13,98,215,9,9,6,6,0,0,0,0,0,0,0,0,0
dangerous,1434,206,838,109,84,139,16,12,17,8,0,2,3,0,0,0,0,0,0,0,0
much,1372,604,440,55,86,47,22,11,55,18,9,2,22,0,1,0,0,0,0,0,0
able,1357,931,21,99,75,7,43,71,33,32,36,6,2,0,0,0,0,0,0,0,1
successful,1307,604,38,353,83,39,76,25,38,40,2,4,5,0,0,0,0,0,0,0,0
great,1294,658,278,208,41,24,43,9,12,11,1,7,2,0,0,0,0,0,0,0,0
comfortable,1187,865,154,52,40,6,34,19,12,3,0,1,1,0,0,0,0,0,0,0,0
apparent,1169,971,39,67,16,23,6,0,7,29,0,10,1,0,0,0,0,0,0,0,0
young,1160,1011,6,50,35,16,14,16,3,4,2,2,0,1,0,0,0,0,0,0,0
certain,1146,488,454,52,29,26,6,76,4,8,0,3,0,0,0,0,0,0,0,0,0
excited,1118,842,31,59,23,10,21,105,8,15,2,2,0,0,0,0,0,0,0,0,0
better,1118,154,385,143,95,36,68,38,137,11,36,1,14,0,0,0,0,0,0,0,0
strong,1115,638,154,123,67,27,54,9,18,17,3,5,0,0,0,0,0,0,0,0,0
right,1065,450,226,190,27,29,85,35,10,9,1,3,0,0,0,0,0,0,0,0,0
high,1062,774,43,48,79,13,40,7,7,36,11,4,0,0,0,0,0,0,0,0,0
available,1034,266,141,284,77,46,80,67,30,28,7,7,0,0,0,1,0,0,0,0,0
complicated,1013,174,645,59,24,65,14,1,13,16,1,0,1,0,0,0,0,0,0,0,0
satisfied,1010,873,8,25,18,3,20,34,16,9,3,1,0,0,0,0,0,0,0,0,0
busy,989,852,29,19,14,15,5,25,7,16,3,4,0,0,0,0,0,0,0,0,0
enough,985,453,205,70,54,103,15,3,21,19,38,4,0,0,0,0,0,0,0,0,0
valuable,982,130,685,86,21,31,7,6,9,6,0,1,0,0,0,0,0,0,0,0,0
rewarding,971,129,802,18,5,5,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0
significant,970,100,432,267,35,57,18,0,30,12,18,1,0,0,0,0,0,0,0,0,0
impressive,940,101,313,316,24,75,44,10,35,13,0,2,7,0,0,0,0,0,0,0,0
surprising,907,22,439,350,41,21,21,1,9,1,0,1,1,0,0,0,0,0,0,0,0
proud,899,796,14,18,8,3,7,35,3,12,0,1,2,0,0,0,0,0,0,0,0
free,891,431,226,101,38,31,12,17,14,11,0,8,2,0,0,0,0,0,0,0,0
small,887,124,389,52,279,4,19,9,3,2,6,0,0,0,0,0,0,0,0,0,0
annoying,867,13,825,11,6,7,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0
