bigram_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely,nones,nothings,nobodies,nobody's,nobodys,non-exalts,nothingis,nys
SUM,285435,108877,97524,30579,15099,8249,6273,6228,5298,4303,1185,1002,749,32,26,6,1,1,1,1,1
more_important,12396,3899,7458,821,37,29,31,60,32,21,4,1,2,0,1,0,0,0,0,0,0
too_late,11087,11001,18,3,26,4,7,2,6,17,2,1,0,0,0,0,0,0,0,0,0
too_early,5200,5167,4,5,7,1,7,0,4,5,0,0,0,0,0,0,0,0,0,0,0
as_good,3471,2008,509,447,75,88,92,73,22,119,23,12,2,0,1,0,0,0,0,0,0
quite_sure,2967,2193,1,45,7,19,31,668,0,3,0,0,0,0,0,0,0,0,0,0,0
so_easy,2636,2517,50,12,15,3,7,1,5,21,0,5,0,0,0,0,0,0,0,0,0
too_old,2365,2265,8,17,23,7,10,25,6,2,0,2,0,0,0,0,0,0,0,0,0
more_frustrating,1895,3,1880,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
very_good,1572,1089,38,214,48,16,131,15,1,14,0,6,0,0,0,0,0,0,0,0,0
inherently_wrong,1521,0,1505,10,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more_exciting,1438,185,1198,37,0,5,0,5,4,3,1,0,0,0,0,0,0,0,0,0,0
as_bad,1326,664,310,116,65,45,41,14,24,31,0,15,0,0,1,0,0,0,0,0,0
too_pleased,1293,3,1,1278,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
more_evident,1291,1133,48,53,1,17,1,0,9,24,0,2,3,0,0,0,0,0,0,0,0
more_satisfying,1259,19,1216,17,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
too_happy,1185,37,2,1114,5,1,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0
as_simple,1089,475,343,46,37,7,14,1,19,126,0,20,0,0,1,0,0,0,0,0,0
more_beautiful,1083,124,897,41,11,1,0,1,5,1,0,1,1,0,0,0,0,0,0,0,0
more_true,1062,895,131,14,2,9,0,1,1,7,0,2,0,0,0,0,0,0,0,0,0
as_important,1045,291,420,247,13,12,20,2,14,20,1,4,1,0,0,0,0,0,0,0,0
more_powerful,1036,132,810,62,7,8,2,5,3,1,5,1,0,0,0,0,0,0,0,0,0
too_young,994,944,4,5,15,4,5,13,0,1,2,0,0,1,0,0,0,0,0,0,0
more_fun,975,316,616,11,0,26,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0
more_apparent,951,854,19,32,1,16,0,0,5,18,0,5,1,0,0,0,0,0,0,0,0
more_dangerous,941,121,639,39,34,94,1,8,3,1,0,0,1,0,0,0,0,0,0,0,0
really_sure,912,565,1,29,4,9,14,290,0,0,0,0,0,0,0,0,0,0,0,0,0
as_easy,889,543,167,54,42,6,12,0,16,39,0,10,0,0,0,0,0,0,0,0,0
even_close,873,127,343,192,38,18,31,108,6,9,1,0,0,0,0,0,0,0,0,0,0
so_happy,830,803,2,4,4,3,1,0,0,10,0,3,0,0,0,0,0,0,0,0,0
more_rewarding,804,69,727,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
more_popular,798,665,35,59,8,5,0,2,10,5,4,1,4,0,0,0,0,0,0,0,0
too_big,797,187,460,38,56,9,17,21,1,3,5,0,0,0,0,0,0,0,0,0,0
too_serious,781,57,689,27,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
more_difficult,775,206,397,41,10,81,1,0,21,13,2,2,1,0,0,0,0,0,0,0,0
more_annoying,763,1,756,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
too_much,745,304,322,15,20,14,10,2,41,5,0,0,11,0,1,0,0,0,0,0,0
too_small,738,81,346,32,249,2,15,7,0,0,6,0,0,0,0,0,0,0,0,0,0
too_busy,729,659,17,8,7,11,3,16,1,7,0,0,0,0,0,0,0,0,0,0,0
more_valuable,721,89,571,38,4,7,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0
