bigram_lower,SUM,neg-mirror-R,neg-mirror-L
SUM,285435,210404,75031
more_important,12396,8818,3578
too_late,11087,11083,4
too_early,5200,5195,5
as_good,3471,3186,285
quite_sure,2967,2962,5
so_easy,2636,2607,29
too_old,2365,2356,9
more_frustrating,1895,690,1205
very_good,1572,1533,39
inherently_wrong,1521,43,1478
more_exciting,1438,557,881
as_bad,1326,1163,163
too_pleased,1293,57,1236
more_evident,1291,1239,52
more_satisfying,1259,338,921
too_happy,1185,107,1078
as_simple,1089,1040,49
more_beautiful,1083,367,716
more_true,1062,1032,30
as_important,1045,905,140
more_powerful,1036,462,574
too_young,994,987,7
more_fun,975,584,391
more_apparent,951,931,20
more_dangerous,941,555,386
really_sure,912,911,1
as_easy,889,869,20
even_close,873,549,324
so_happy,830,826,4
more_rewarding,804,255,549
more_popular,798,764,34
too_big,797,589,208
too_serious,781,105,676
more_difficult,775,525,250
more_annoying,763,233,530
too_much,745,703,42
too_small,738,675,63
too_busy,729,714,15
more_valuable,721,346,375
so_simple,683,620,63
too_careful,677,671,6
really_new,654,137,517
more_serious,647,204,443
more_different,614,612,2
more_critical,590,529,61
as_big,576,469,107
more_effective,554,434,120
too_sure,539,506,33
so_important,532,462,70
too_fancy,530,14,516
really_wrong,529,103,426
too_good,519,409,110
more_relevant,513,500,13
more_proud,485,475,10
too_crazy,480,60,420
that_simple,478,478,0
too_bad,460,97,363
as_strong,460,429,31
more_clear,460,448,12
that_easy,457,457,0
too_special,453,4,449
much_more,451,206,245
that_good,448,443,5
more_excited,448,441,7
more_obvious,445,411,34
as_effective,443,395,48
as_popular,439,421,18
too_cold,437,427,10
more_precious,433,195,238
so_good,432,350,82
too_exciting,431,26,405
quite_clear,427,425,2
too_difficult,425,296,129
too_hard,421,340,81
more_significant,412,223,189
particularly_new,407,90,317
more_urgent,405,369,36
more_vital,397,305,92
particularly_good,392,359,33
so_close,390,380,10
more_complicated,386,153,233
quite_right,384,382,2
any_better,382,368,14
more_relaxing,372,107,265
ever_easy,368,363,5
entirely_sure,366,366,0
really_special,365,11,354
so_bad,362,282,80
quite_able,340,340,0
more_american,335,109,226
more_likely,332,258,74
more_crucial,331,285,46
entirely_clear,329,329,0
more_interesting,327,153,174
particularly_special,327,8,319
too_hot,325,312,13
much_better,324,180,144
really_able,324,324,0
more_essential,324,231,93
as_powerful,321,229,92
more_attractive,321,172,149
so_excited,320,319,1
as_great,317,270,47
as_successful,317,301,16
more_romantic,311,83,228
really_interested,311,310,1
more_impressive,308,163,145
more_comforting,303,82,221
more_painful,301,128,173
really_good,301,236,65
more_challenging,301,226,75
ever_good,300,271,29
so_fun,299,288,11
more_enjoyable,292,114,178
that_great,288,282,6
so_great,285,217,68
more_special,281,96,185
too_high,279,264,15
more_appropriate,277,232,45
less_important,272,246,26
too_complicated,268,59,209
as_close,263,249,14
as_high,262,248,14
as_exciting,260,184,76
more_natural,258,157,101
more_gratifying,257,95,162
more_certain,252,208,44
so_scared,248,248,0
more_convenient,246,186,60
as_beautiful,246,156,90
more_embarrassing,245,90,155
so_high,245,240,5
really_happy,238,235,3
more_boring,237,92,145
as_large,235,175,60
as_interesting,232,208,24
more_complex,231,131,100
more_terrifying,231,78,153
really_bad,228,71,157
particularly_interested,227,226,1
as_satisfying,226,148,78
more_refreshing,225,67,158
particularly_interesting,225,113,112
more_wrong,224,193,31
more_disappointing,224,74,150
mutually_exclusive,224,208,16
too_safe,222,217,5
more_affordable,220,216,4
so_much,219,158,61
remotely_close,219,81,138
so_proud,216,214,2
more_comfortable,214,134,80
necessarily_wrong,213,22,191
particularly_wrong,212,9,203
physically_wrong,212,36,176
more_necessary,212,188,24
too_heavy,210,87,123
fully_satisfied,209,209,0
too_keen,209,118,91
more_surprised,208,206,2
ever_simple,207,203,4
more_accessible,207,205,2
ever_perfect,207,206,1
that_bad,205,205,0
too_surprising,205,65,140
as_fun,203,172,31
more_frightening,202,81,121
more_real,198,148,50
really_alone,195,195,0
really_clear,194,192,2
much_good,194,172,22
too_low,193,184,9
more_irritating,193,78,115
so_blind,191,29,162
intrinsically_wrong,191,8,183
as_cool,190,163,27
more_appealing,190,101,89
truly_alone,188,188,0
more_damaging,188,117,71
too_major,187,0,187
more_expensive,186,154,32
more_thrilling,185,52,133
more_wonderful,184,46,138
as_funny,183,168,15
as_happy,183,180,3
more_simple,180,132,48
so_glad,179,177,2
very_successful,178,173,5
more_common,176,142,34
as_dramatic,174,110,64
quite_enough,174,174,0
particularly_unusual,173,22,151
more_stressful,173,69,104
really_close,173,167,6
more_dramatic,172,91,81
so_sure,170,168,2
too_little,170,162,8
more_perfect,170,121,49
seriously_wrong,169,54,115
particularly_surprising,168,112,56
fundamentally_wrong,167,17,150
more_sinister,166,12,154
more_depressing,166,48,118
long_enough,165,164,1
so_strong,164,153,11
immediately_available,164,155,9
as_smart,162,161,1
very_interested,162,162,0
very_interesting,161,92,69
more_inspiring,160,56,104
even_aware,160,159,1
too_bright,159,41,118
quite_certain,159,159,0
so_popular,159,152,7
more_successful,158,147,11
more_intense,158,138,20
really_worried,158,154,4
more_compelling,155,89,66
more_memorable,154,79,75
so_clear,152,144,8
very_popular,152,149,3
too_extreme,151,42,109
as_impressive,151,121,30
very_happy,151,148,3
quite_satisfied,150,148,2
really_worth,149,94,55
truly_free,148,147,1
inherently_bad,148,67,81
exactly_sure,148,148,0
so_difficult,147,122,25
very_clear,147,143,4
ever_enough,147,146,1
too_fond,147,75,72
not_funny,146,146,0
as_clear,146,139,7
much_interested,146,146,0
as_sweet,145,104,41
more_exhilarating,144,34,110
more_timely,144,142,2
as_serious,144,80,64
more_fundamental,143,78,65
completely_satisfied,143,143,0
more_aware,143,142,1
ever_certain,143,141,2
too_thin,141,138,3
more_prevalent,140,128,12
as_famous,140,127,13
really_free,139,139,0
more_famous,139,72,67
particularly_close,138,134,4
truly_happy,138,138,0
really_satisfied,137,136,1
so_exciting,137,91,46
more_devastating,137,73,64
more_personal,137,64,73
more_tragic,137,58,79
more_confident,136,133,3
so_beautiful,136,83,53
more_apt,136,122,14
ever_able,136,136,0
too_rich,134,129,5
more_useful,133,84,49
more_alive,133,128,5
completely_sure,133,133,0
more_vulnerable,132,117,15
particularly_memorable,132,76,56
more_entertaining,132,70,62
too_thrilled,132,21,111
too_impressed,131,30,101
as_straightforward,131,124,7
too_short,130,120,10
as_dangerous,130,107,23
more_substantial,130,16,114
very_close,129,114,15
more_delicious,129,47,82
quite_ready,129,126,3
too_strong,129,82,47
more_amazing,128,37,91
more_disappointed,127,116,11
more_accurate,127,116,11
more_magical,127,37,90
as_much,126,121,5
so_powerful,126,68,58
most_intelligent,125,125,0
too_great,125,66,59
quite_good,125,122,3
too_concerned,123,100,23
readily_available,122,107,15
as_scary,122,97,25
more_grateful,122,120,2
too_easy,121,98,23
so_nervous,120,120,0
too_long,120,116,4
politically_correct,120,105,15
particularly_difficult,119,97,22
really_exciting,118,14,104
too_large,118,77,41
more_heartbreaking,118,34,84
more_prominent,117,76,41
too_deep,117,38,79
as_difficult,116,102,14
too_tight,115,97,18
particularly_exciting,114,36,78
really_important,114,55,59
currently_available,114,73,41
that_important,114,114,0
more_ready,114,111,3
so_busy,114,113,1
more_sacred,113,63,50
too_many,113,103,10
that_big,113,111,2
more_disheartening,113,33,80
more_basic,112,53,59
more_optimistic,112,108,4
so_sweet,112,80,32
too_spectacular,112,4,108
really_interesting,111,17,94
particularly_fond,111,111,0
as_special,110,62,48
statistically_significant,109,102,7
all_wrong,109,6,103
more_specific,109,32,77
more_motivating,109,37,72
absolutely_certain,109,105,4
very_high,108,107,1
even_worse,108,19,89
so_obvious,108,85,23
more_discouraging,108,47,61
particularly_remarkable,108,14,94
more_pleasing,107,45,62
very_strong,107,97,10
much_new,107,3,104
as_nice,107,67,40
more_absurd,106,74,32
too_complex,106,35,71
as_frustrating,106,45,61
all_bad,106,106,0
more_deserving,106,72,34
too_drastic,106,4,102
really_serious,106,45,61
so_satisfying,105,45,60
so_hard,105,99,6
as_memorable,105,79,26
as_significant,104,72,32
more_meaningful,104,62,42
so_dramatic,104,21,83
too_expensive,104,67,37
as_valuable,104,87,17
more_profound,104,60,44
very_important,104,69,35
damn_good,103,103,0
that_much,103,103,0
more_profitable,103,92,11
ever_likely,103,102,1
technically_wrong,103,11,92
more_sophisticated,103,38,65
entirely_comfortable,102,102,0
ever_wrong,102,96,6
as_perfect,102,94,8
less_true,102,65,37
really_comfortable,102,100,2
more_aggravating,101,38,63
more_competitive,101,93,8
very_comfortable,101,101,0
particularly_unique,101,25,76
very_easy,100,97,3
too_loose,99,93,6
more_central,99,79,20
more_secure,99,87,12
so_wrong,99,79,20
more_infuriating,99,40,59
more_awkward,98,48,50
so_impressed,98,98,0
particularly_easy,98,91,7
as_intense,98,82,16
too_strenuous,97,7,90
more_easy,97,83,14
morally_wrong,97,9,88
so_many,97,96,1
very_exciting,97,33,64
more_happy,97,94,3
too_proud,96,90,6
so_dangerous,96,61,35
too_close,96,82,14
completely_happy,96,96,0
completely_free,96,94,2
too_sweet,96,75,21
really_ready,96,93,3
so_low,96,93,3
too_unusual,95,6,89
more_delightful,95,35,60
more_spectacular,95,42,53
too_dramatic,95,7,88
more_frustrated,95,88,7
more_harmful,94,50,44
all_good,94,90,4
more_pleasant,94,39,55
more_sure,94,88,6
more_fascinating,94,58,36
so_angry,94,93,1
too_excited,94,72,22
too_soft,94,88,6
really_different,94,52,42
very_likely,94,93,1
more_destructive,93,52,41
so_convenient,93,85,8
more_iconic,93,56,37
more_efficient,93,72,21
more_surprising,93,67,26
very_big,93,84,9
particularly_impressive,93,73,20
too_challenging,92,25,67
particularly_bad,92,55,37
too_loud,92,71,21
much_different,92,51,41
more_fitting,92,75,17
more_pleased,92,89,3
so_grateful,92,91,1
particularly_original,92,41,51
as_comfortable,92,80,12
so_large,91,64,27
medically_necessary,91,89,2
more_visible,91,82,9
more_convincing,91,60,31
very_special,90,11,79
more_poignant,90,68,22
so_special,90,24,66
more_productive,90,70,20
very_effective,90,85,5
more_helpful,89,57,32
politically_active,89,89,0
actually_wrong,89,24,65
more_ridiculous,89,52,37
too_shabby,88,12,76
more_soothing,88,33,55
any_worse,88,85,3
more_pathetic,87,31,56
really_surprising,87,39,48
more_classic,87,28,59
completely_safe,87,87,0
less_impressive,87,80,7
so_disappointed,86,86,0
too_slow,86,80,6
as_severe,86,56,30
more_controversial,86,53,33
so_big,86,57,29
too_flashy,86,11,75
as_efficient,86,78,8
as_sexy,86,64,22
so_full,86,78,8
more_threatening,86,43,43
more_promising,86,75,11
particularly_noteworthy,85,32,53
too_shy,85,61,24
more_uncomfortable,85,34,51
really_big,85,43,42
truly_safe,84,84,0
actually_true,84,84,0
so_bold,83,76,7
so_serious,83,48,35
fully_able,83,83,0
more_remarkable,83,43,40
really_true,83,81,2
just_right,83,83,0
particularly_effective,83,83,0
more_intimate,82,18,64
so_true,82,74,8
as_hot,82,64,18
very_serious,82,38,44
as_excited,82,81,1
even_light,82,1,81
terribly_wrong,82,7,75
as_painful,81,58,23
not_enough,81,80,1
entirely_new,81,55,26
more_disturbing,81,46,35
more_disgusting,81,29,52
so_cold,81,80,1
more_daunting,81,51,30
