prev_form_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely
by,4,4,0,0,0,0,0,0,0,0,0,0,0
problem,4,1,0,0,3,0,0,0,0,0,0,0,0
programs,4,0,1,0,3,0,0,0,0,0,0,0,0
thus,4,1,2,0,0,1,0,0,0,0,0,0,0
heart,4,0,2,0,2,0,0,0,0,0,0,0,0
power,4,0,1,0,2,0,1,0,0,0,0,0,0
tenth,4,0,0,2,1,0,0,1,0,0,0,0,0
their,4,0,0,0,1,0,0,0,1,0,0,2,0
mother,4,2,0,0,2,0,0,0,0,0,0,0,0
nation,4,2,0,1,1,0,0,0,0,0,0,0,0
moment,4,2,0,0,2,0,0,0,0,0,0,0,0
writing,4,0,0,1,2,0,1,0,0,0,0,0,0
super,4,1,1,0,1,1,0,0,0,0,0,0,0
wishes,4,0,0,0,4,0,0,0,0,0,0,0,0
issue,4,0,1,0,3,0,0,0,0,0,0,0,0
enough,4,0,4,0,0,0,0,0,0,0,0,0,0
out,4,0,1,1,2,0,0,0,0,0,0,0,0
philosophy,4,0,0,0,4,0,0,0,0,0,0,0,0
love,4,2,0,0,1,0,0,0,0,1,0,0,0
another,4,3,0,0,0,0,0,0,1,0,0,0,0
sufficiently,4,0,0,1,2,0,1,0,0,0,0,0,0
matter,4,0,0,0,3,0,0,0,0,1,0,0,0
data,4,0,0,0,3,0,0,0,0,1,0,0,0
food,4,0,0,0,4,0,0,0,0,0,0,0,0
politically,4,2,2,0,0,0,0,0,0,0,0,0,0
record,4,0,2,0,2,0,0,0,0,0,0,0,0
arguments,4,0,0,0,2,0,0,0,0,1,0,1,0
couple,4,2,0,0,1,0,0,0,0,1,0,0,0
1,4,1,0,0,1,1,1,0,0,0,0,0,0
course,4,0,2,2,0,0,0,0,0,0,0,0,0
stay,4,2,0,0,0,0,0,0,0,2,0,0,0
statement,4,3,0,0,1,0,0,0,0,0,0,0,0
story,4,0,0,0,4,0,0,0,0,0,0,0,0
slightly,4,1,1,0,0,1,0,0,1,0,0,0,0
single,3,0,0,0,1,2,0,0,0,0,0,0,0
school,3,1,0,0,2,0,0,0,0,0,0,0,0
