ADV,ADJ,Nyt1_counts,Nyt1_counts,ratio_Nyt1,ratio_Nyt1,total
dramatically,valid,1,0,1.0,0.0,1
indeed,cheated,0,1,0.0,1.0,1
very,polite,0,1,0.0,1.0,1
even,late,0,1,0.0,1.0,1
terribly,beloved,0,1,0.0,1.0,1
as,safe,1,0,1.0,0.0,1
so,important,1,0,1.0,0.0,1
in,tight,0,2,0.0,1.0,2
very,thick,0,1,0.0,1.0,1
as,big,1,0,1.0,0.0,1
very,lucky,0,2,0.0,1.0,2
so,concerned,0,1,0.0,1.0,1
very,thin,0,1,0.0,1.0,1
too,slow,0,1,0.0,1.0,1
so,harmless,0,1,0.0,1.0,1
too,dark,0,1,0.0,1.0,1
too,tawdry,0,1,0.0,1.0,1
that,easy,0,1,0.0,1.0,1
indeed,predestined,0,1,0.0,1.0,1
ever,rich,0,1,0.0,1.0,1
as,frightening,0,1,0.0,1.0,1
still,unhappy,0,2,0.0,1.0,2
still,legal,0,1,0.0,1.0,1
so,significant,0,1,0.0,1.0,1
still,alive,0,1,0.0,1.0,1
so,weak,0,1,0.0,1.0,1
really,serious,0,3,0.0,1.0,3
so,wrong,0,2,0.0,1.0,2
too,low,0,1,0.0,1.0,1
still,willing,0,1,0.0,1.0,1
particularly,large,1,0,1.0,0.0,1
too,distasteful,0,1,0.0,1.0,1
as,benign,0,1,0.0,1.0,1
that,hard,0,1,0.0,1.0,1
too,cold,0,1,0.0,1.0,1
hopelessly,provincial,1,1,0.5,0.5,2
as,intense,0,1,0.0,1.0,1
sometimes,hard,0,1,0.0,1.0,1
deliberately,farfetched,0,1,0.0,1.0,1
about,tuberculosis,0,3,0.0,1.0,3
too,deep,0,1,0.0,1.0,1
so,cavalier,0,1,0.0,1.0,1
very,small,0,1,0.0,1.0,1
relatively,simple,0,1,0.0,1.0,1
truly,blind,0,1,0.0,1.0,1
sufficiently,thick,0,2,0.0,1.0,2
too,sticky,0,1,0.0,1.0,1
now,safe,0,1,0.0,1.0,1
that,major,1,0,1.0,0.0,1
directly,visible,2,0,1.0,0.0,2
so,cosmopolitan,0,1,0.0,1.0,1
so,effective,0,1,0.0,1.0,1
too,difficult,0,1,0.0,1.0,1
as,good,0,2,0.0,1.0,2
as,terrible,0,1,0.0,1.0,1
really,interested,0,1,0.0,1.0,1
reasonably,assured,0,1,0.0,1.0,1
still,relevant,0,1,0.0,1.0,1
too,tart,0,1,0.0,1.0,1
ever,likely,0,1,0.0,1.0,1
half,full,0,1,0.0,1.0,1
too,high,0,3,0.0,1.0,3
so,bad,0,1,0.0,1.0,1
absolutely,necessary,0,1,0.0,1.0,1
as,great,0,2,0.0,1.0,2
really,likely,0,1,0.0,1.0,1
so,traumatic,0,2,0.0,1.0,2
substantially,different,0,1,0.0,1.0,1
too,wet,0,1,0.0,1.0,1
too,loud,0,1,0.0,1.0,1
too,terrible,0,1,0.0,1.0,1
mistakenly,bearish,0,1,0.0,1.0,1
as,large,1,1,0.5,0.5,2
much,evident,1,0,1.0,0.0,1
yet,evident,1,0,1.0,0.0,1
too,costly,0,3,0.0,1.0,3
purely,physical,0,1,0.0,1.0,1
indeed,shaky,0,2,0.0,1.0,2
all,right,0,1,0.0,1.0,1
