ADV,ADJ,be-adv-adj_without-not_counts
well,aware,1715
particularly,dangerous,91
increasingly,tenuous,5
now,free,211
as,truculent,1
too,late,4907
too,controversial,60
still,necessary,95
about,ready,157
severely,malnourished,2
inadequately,supervised,4
still,encouraging,4
very,important,4671
only,half-packed,1
just,funny,31
quite,interested,35
very,serious,714
very,frank,24
pretty,neat,101
as,fast,286
indeed,green,1
very,encouraging,276
cautiously,optimistic,532
acutely,aware,420
severely,toxic,7
as,popular,328
particularly,weak,46
very,intriguing,29
always,dangerous,59
as,competitive,112
too,old,1459
often,supportive,2
elaborately,sunny,1
hardly,new,269
extremely,difficult,657
thereby,eligible,1
notoriously,hit-or-miss,4
highly,useful,6
too,slow,676
now,heavy,6
still,available,516
too,busy,2459
too,early,5353
very,focused,205
so,supportive,69
very,reluctant,189
so,successful,834
absolutely,unjustified,1
so,tricky,16
very,detailed,22
refreshingly,candid,16
still,snowing,10
really,cold,36
just,vicious,6
very,hard,2419
so,sensitive,250
so,desperate,322
terribly,doctrinaire,1
especially,touchy,4
as,old,704
totally,free,40
so,big,1023
so,varied,16
longer,convinced,12
as,close,1200
very,low,665
extremely,competent,5
entirely,mythical,2
somewhat,effective,11
so,strong,1468
too,rosy,26
still,able,307
very,bizarre,40
too,rich,177
too,high,3299
furiously,critical,2
barely,possible,6
equally,safe,4
also,angry,85
around,long,22
still,unhappy,52
also,new,45
so,immature,5
even,likely,23
essentially,identical,14
decidedly,left-wing,1
still,attractive,62
relatively,modest,125
that,fortunate,2
very,difficult,4076
very,substantial,45
also,close,134
equally,important,195
truly,impossible,5
still,friendly,15
still,delicate,5
pretty,rare,72
quite,anti-climactic,1
especially,upset,49
mostly,unimpressive,1
relatively,easy,486
very,disturbed,88
too,much,3583
severly,toxic,1
real,sticky,2
about,illiterate,1
always,astounding,1
certainly,different,34
definitely,worth,109
very,strange,242
extremely,disappointed,192
narrowly,tailored,33
entirely,reasonable,24
unusually,intricate,1
very,close,1535
so,pleased,251
very,absorbing,2
so,delicate,45
very,sensitive,510
too,difficult,437
too,tight,245
immediately,available,252
partly,responsible,341
as,good,4690
too,small,2186
just,excited,101
that,talented,7
quite,fantastic,5
somewhat,frightening,4
seriously,interested,54
so,elusive,28
very,stylized,2
well,worth,626
too,aggressive,198
fundamentally,secure,3
pretty,strong,172
always,willing,171
too,remote,61
essentially,unaltered,3
extremely,bright,32
always,visible,19
particularly,true,531
so,lean,22
deeply,confused,33
all,busy,13
totally,inadequate,49
even,possible,182
relatively,anonymous,10
very,nervous,370
totally,ignorant,14
somewhat,mysterious,11
very,helpful,418
very,vulnerable,139
still,ripe,6
particularly,impressive,120
really,unheard,3
all,right,1488
so,tired,403
so,hard,1035
relatively,small,616
pretty,bummed,8
real,simple,52
so,mad,183
reportedly,splintered,1
so,evident,63
finally,free,55
still,fresh,266
largely,hostile,5
really,crazy,55
so,ill,57
uniquely,hers,1
once,able,13
also,temporary,5
currently,available,257
really,weird,93
relatively,rigid,1
always,free,34
extraordinarily,small,6
yet,unidentified,2
so,languid,6
statistically,significant,64
usually,pro-rated,1
vanishingly,rare,3
commercially,important,2
always,crisp,6
too,dispersed,2
highly,competitive,119
absolutely,huge,13
virtually,barren,8
as,disparate,7
very,proud,1422
so,weird,115
quite,disappointed,23
relatively,new,382
still,intact,237
also,excited,31
pretty,cheap,41
quite,strong,191
too,enthusiastic,16
so,worried,302
too,good,1274
also,strong,205
quite,sizable,8
fairly,distressed,4
highly,irregular,20
so,mired,9
pretty,fuzzy,2
so,unlucky,5
also,true,877
especially,severe,44
still,immense,4
already,stressed-out,1
politically,uncorrect,1
about,equal,157
especially,popular,203
as,loathe,4
too,strong,623
too,complicated,357
now,due,21
especially,sensitive,129
relatively,light,73
mentally,disabled,18
slightly,different,171
still,unresolved,99
vermin,infested,2
certainly,supportive,4
too,low,1403
very,tight,208
too,alkaline,5
too,acidic,11
simply,wide,1
as,drowsy,1
generally,necessary,3
all,valuable,3
thoroughly,charming,4
equally,memorable,3
deliberately,upbeat,1
absolutely,ruthless,4
entirely,deserved,2
upwardly,mobile,12
deeply,offensive,18
inherently,corrupt,11
frequently,discernible,1
actually,present,16
particularly,puzzling,16
longer,necessary,173
very,nice,662
quite,successful,109
relentlessly,morose,1
very,gentle,23
also,beautiful,16
too,little,500
partly,autobiographical,6
especially,attuned,11
nearly,impossible,758
totally,cooperative,6
particularly,attentive,23
again,stuck,1
as,simple,1122
that,pathetic,3
certainly,possible,112
increasingly,difficult,172
as,out-of-place,1
strongly,insane,2
still,alive,2185
largely,powerless,9
now,strong,26
quite,pleased,125
too,bad,1449
hardly,necessary,26
pretty,transparent,10
immensely,popular,139
very,seductive,43
tightly,interwoven,8
highly,successful,127
often,able,80
often,dependent,10
intimately,entangled,1
too,frightened,102
as,traumatic,17
absolutely,irresponsible,3
particularly,acute,211
all,plot-driven,1
clearly,important,13
so,upset,475
wincingly,obvious,1
almost,obvious,7
just,natural,57
generally,unnecessary,1
absolutely,marvelous,6
particularly,concerned,467
racially,segregated,15
too,simple,132
keenly,aware,376
so,acute,53
politically,salable,1
barely,distinguishable,1596
still,confident,145
quite,magical,10
safely,conventional,2
as,peppy,3
only,fair,325
enormously,generous,4
as,cordial,5
as,american,190
so,generous,112
fairly,steady,22
painfully,slow,84
that,naive,7
just,enough,91
too,hard,732
absolutely,riveting,15
intensely,hyperbolic,2
very,fond,175
still,firm,17
quite,possible,393
intensely,interested,53
as,great,370
especially,prevalent,29
very,simple,582
deeply,interested,48
very,rare,413
quite,dangerous,36
indeed,dead,10
certainly,correct,10
no,good,589
subtly,different,17
fully,capable,112
obviously,embarrassed,4
highly,sensual,4
fairly,light,16
so,happy,1049
as,small,184
just,sorry,52
very,reasonable,63
extremely,rare,382
pretty,subtle,5
very,popular,585
incredibly,complex,20
pretty,expensive,30
still,true,136
singularly,prominent,1
so,quiet,283
so,quick,283
particularly,troublesome,63
especially,graphic,3
highly,unsuitable,3
highly,tentative,2
already,high,79
so,brazen,26
also,clear,322
still,high,258
so,instructive,3
longer,booming,2
so,different,824
politically,inert,2
unequivocally,clear,2
notoriously,leery,2
so,high-profile,8
so,slick,37
astonishingly,high,6
so,low,1025
undoubtedly,deportable,2
often,indistinguishable,20
so,extensive,69
very,representative,12
exceptionally,ripe,3
so,high,1433
extremely,attractive,21
particularly,disappointing,57
also,concerned,829
just,glad,835
quite,familiar,49
clearly,uncomfortable,41
decidedly,ambivalent,3
also,unsuccessful,11
very,personable,22
genuinely,worried,9
as,quick,147
almost,dreamlike,3
especially,nice,47
really,high,76
pretty,nervous,69
mentally,prepared,40
very,sore,33
real,solid,6
real,excited,121
so,hot,490
very,natural,66
foolishly,loyal,1
also,difficult,101
as,high,1954
hardly,decisive,15
real,big-time,1
real,difficult,36
almost,impossible,1495
totally,different,421
