ADV,ADJ,be-adv-adj_with-not_counts
automatically,superior,1
so,embarrassing,4
even,enough,22
even,accessible,4
totally,satisfying,4
too,impressed,15
necessarily,bitter,1
too,enthusiastic,16
as,light,4
as,developed,29
that,worried,43
quite,qualified,2
even,worth,46
exactly,blistering,1
that,useful,14
altogether,new,8
altogether,clear,28
too,busy,36
even,aware,176
as,gloomy,16
as,nasty,5
always,possible,106
very,religious,17
as,sweet,22
as,famous,33
entirely,comfortable,43
as,efficient,80
too,broad,1
so,safe,5
so,fortunate,191
as,raw,2
totally,bummed,1
so,important,166
as,loud,18
as,knowledgeable,7
that,petty,3
that,funny,67
too,hasty,5
that,heady,1
overtly,sexual,2
just,stupid,1
altogether,convincing,3
even,worried,26
sufficiently,bergmanesque,1
as,isolated,3
so,vague,1
just,great,5
particularly,happy,64
entirely,mild,1
exactly,comfortable,12
so,rapid,2
immediately,available,2912
as,personal,7
fully,productive,5
as,tight,43
as,useful,16
as,aggressive,118
as,conspicuous,9
just,palliative,3
as,bleak,64
overly,eager,9
as,brisk,27
greatly,concerned,13
very,appealing,14
only,unsupported,1
as,rare,27
as,fearful,6
personally,responsible,5
entirely,convinced,57
necessarily,chemical-free,1
so,affluent,2
mentally,ill,41
overly,impressed,36
homogeneously,european,1
too,worried,173
necessarily,abusive,2
completely,frozen,2
very,difficult,20
so,suave,1
as,overpowering,8
even,worthy,2
just,realistic,23
as,profitable,96
so,effective,18
as,jubilant,1
overwhelmingly,concrete,1
unduly,worried,3
as,susceptible,11
entirely,one-sided,5
so,terrible,24
even,visible,4
so,laughable,1
very,funny,46
as,titillating,3
far,afield,15
even,important,6
that,low,32
too,disappointed,36
physically,tough,3
completely,satisfied,29
momentarily,balanced,1
mutually,exclusive,99
so,innocent,14
even,legal,6
that,disappointed,11
really,concerned,79
very,attractive,31
that,sharp,15
as,persnickety,1
merely,interested,1
so,pleased,23
too,tempting,2
as,certain,23
too,successful,9
quite,white-tablecloth,5
very,enlightened,1
truly,interested,6
as,popular,171
really,interested,128
as,blatant,11
so,terrific,3
usually,useful,2
too,large,13
so,optimistic,60
personally,worried,1
too,bearish,1
terribly,different,13
quite,ripe,3
very,militant,6
too,disastrous,3
directly,budget-related,1
as,cost-effective,4
economically,feasible,27
truly,competent,1
even,funny,33
unduly,painful,1
truly,voluntary,5
reasonably,assured,3
currently,possible,3
equally,strong,1
always,unconstitutional,1
really,unusual,4
as,liberal,23
so,crass,4
very,positive,14
now,available,9
really,impressed,4
as,favorable,37
too,assertive,2
too,distant,4
terribly,bike-friendly,1
just,reducible,1
very,interesting,61
too,different,45
really,brain-dead,1
tightly,controlled,1
as,difficult,74
only,unresponsive,2
sexually,dead,3
that,attractive,23
very,surprised,4
yet,profitable,32
so,willing,35
that,unsound,1
even,certain,45
yet,broad,6
that,enthused,5
so,rewarding,3
particularly,sensitive,9
real,pretty,12
just,honest,3
readily,marketable,5
legally,admissible,1
particularly,burdensome,2
as,bullish,34
as,circumspect,1
so,straightforward,8
as,complicated,28
particularly,difficult,15
totally,convinced,15
so,silly,6
overly,bubbly,1
quite,top,1
yet,convinced,75
as,reassuring,11
so,simple,219
so,self-centered,2
racially,motivated,17
as,solid,30
yet,complete,82
real,exciting,2
as,satisfying,25
terribly,original,5
uniformly,admirable,1
fully,capable,3
necessarily,bad,131
even,interested,14
only,tedious,2
that,straight-a,1
exactly,judgelike,1
always,positive,10
as,essential,4
so,hard,150
technologically,equipped,2
quite,enough,61
very,busy,15
so,babyish,1
really,happy,43
definitely,abnormal,1
absolutely,normal,1
very,high,58
always,true,72
as,catastrophic,9
only,constitutional,3
so,egregious,5
exactly,user-friendly,3
as,restrictive,12
officially,celtics,1
financially,strong,4
only,alive,18
really,willing,4
too,sure,114
