hit_id,sent_id,match_id,colloc_id,sent_text,token_str,lemma_str,context_prev_id,context_prev_sent,context_next_id,context_next_sent,neg_lemma,adv_lemma,adj_lemma,neg_form,adv_form,adj_form,neg_index,adv_index,adj_index,dep_neg,dep_mod,json_source
nyt_eng_19940930_0141_46:16-17-18,nyt_eng_19940930_0141_46,16-17-18,nyt_eng_19940930_0141_46:17-18,"If your recipient has an e-mail address through a commercial access provider, it's not as easy.","if your recipient has an e-mail address through a commercial access provider , it 's not as easy .","if you recipient have a e-mail address through a commercial access provider , it be not as easy .",nyt_eng_19940930_0141_45,This is a list of on-line  -LBQ-  phone books  -RDQ-  from all over the world at the University of Minnesota's gopher site.,nyt_eng_19940930_0141_47,"There are some sites on the Web that purport to search for e-mail address, but I've never found them very useful.",not,as,easy,not,as,easy,15,16,17,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'easy', 'ix': 17, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 15, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'easy', 'ix': 17, 'xpos': 'JJ'}, 'target': {'lemma': 'as', 'ix': 16, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199409.json
nyt_eng_19940930_0097_21:36-37-38,nyt_eng_19940930_0097_21,36-37-38,nyt_eng_19940930_0097_21:37-38,"They have also tried to bribe Haitians into turning in any weapons they hold, offering up to $ 300 per weapon - quite an incentive in a country whose yearly income per head is not much more than that.","they have also tried to bribe Haitians into turning in any weapons they hold , offering up to $ 300 per weapon - quite an incentive in a country whose yearly income per head is not much more than that .","they have also try to bribe haitian into turn in any weapon they hold , offer up to $ 300 per weapon - quite a incentive in a country whose yearly income per head be not much more than that .",nyt_eng_19940930_0097_20,"The Americans have tried to soothe tempers and appease hunger by unilaterally lifting their embargo on the country, and are encouraging the United Nations to do likewise as soon as possible.",nyt_eng_19940930_0097_22,"This week they were busy broadcasting appeals from Aristide asking his supporters to avoid confrontation, and to commemorate the third anniversary of the coup that overthrew him -- Sept. 30 -- with a religious service rather than mob violence.",not,much,more,not,much,more,35,36,37,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'more', 'ix': 37, 'xpos': 'JJR'}, 'target': {'lemma': 'not', 'ix': 35, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'more', 'ix': 37, 'xpos': 'JJR'}, 'target': {'lemma': 'much', 'ix': 36, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199409.json
nyt_eng_19940930_0097_12:19-20-21,nyt_eng_19940930_0097_12,19-20-21,nyt_eng_19940930_0097_12:20-21,But how exactly are the American troops to handle bullying policemen or rampaging Haitian civilians? They are not quite sure.,but how exactly are the American troops to handle bullying policemen or rampaging Haitian civilians ? They are not quite sure .,but how exactly be the american troops to handle bully policeman or rampage Haitian civilian ? they be not quite sure .,nyt_eng_19940930_0097_11,"When joyous crowds in another town wrenched a rifle away from a policeman, the Americans returned it to him.",nyt_eng_19940930_0097_13,"Intended -LRB- as some suspect -RRB- or not, this vagueness has left decisions to be made on the spot -- which means policy-making on the hoof.",not,quite,sure,not,quite,sure,18,19,20,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'sure', 'ix': 20, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 18, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'sure', 'ix': 20, 'xpos': 'JJ'}, 'target': {'lemma': 'quite', 'ix': 19, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199409.json
nyt_eng_19940930_0096_21:36-37-38,nyt_eng_19940930_0096_21,36-37-38,nyt_eng_19940930_0096_21:37-38,"They have also tried to bribe Haitians into turning in any weapons they hold, offering up to $ 300 per weapon - quite an incentive in a country whose yearly income per head is not much more than that.","they have also tried to bribe Haitians into turning in any weapons they hold , offering up to $ 300 per weapon - quite an incentive in a country whose yearly income per head is not much more than that .","they have also try to bribe haitian into turn in any weapon they hold , offer up to $ 300 per weapon - quite a incentive in a country whose yearly income per head be not much more than that .",nyt_eng_19940930_0096_20,"The Americans have tried to soothe tempers and appease hunger by unilaterally lifting their embargo on the country, and are encouraging the United Nations to do likewise as soon as possible.",nyt_eng_19940930_0096_22,"This week they were busy broadcasting appeals from Aristide asking his supporters to avoid confrontation, and to commemorate the third anniversary of the coup that overthrew him -- Sept. 30 -- with a religious service rather than mob violence.",not,much,more,not,much,more,35,36,37,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'more', 'ix': 37, 'xpos': 'JJR'}, 'target': {'lemma': 'not', 'ix': 35, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'more', 'ix': 37, 'xpos': 'JJR'}, 'target': {'lemma': 'much', 'ix': 36, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199409.json
nyt_eng_19940930_0096_12:19-20-21,nyt_eng_19940930_0096_12,19-20-21,nyt_eng_19940930_0096_12:20-21,But how exactly are the American troops to handle bullying policemen or rampaging Haitian civilians? They are not quite sure.,but how exactly are the American troops to handle bullying policemen or rampaging Haitian civilians ? They are not quite sure .,but how exactly be the american troops to handle bully policeman or rampage Haitian civilian ? they be not quite sure .,nyt_eng_19940930_0096_11,"When joyous crowds in another town wrenched a rifle away from a policeman, the Americans returned it to him.",nyt_eng_19940930_0096_13,"Intended -LRB- as some suspect -RRB- or not, this vagueness has left decisions to be made on the spot -- which means policy-making on the hoof.",not,quite,sure,not,quite,sure,18,19,20,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'sure', 'ix': 20, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 18, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'sure', 'ix': 20, 'xpos': 'JJ'}, 'target': {'lemma': 'quite', 'ix': 19, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199409.json
nyt_eng_19940930_0095_21:36-37-38,nyt_eng_19940930_0095_21,36-37-38,nyt_eng_19940930_0095_21:37-38,"They have also tried to bribe Haitians into turning in any weapons they hold, offering up to $ 300 per weapon - quite an incentive in a country whose yearly income per head is not much more than that.","they have also tried to bribe Haitians into turning in any weapons they hold , offering up to $ 300 per weapon - quite an incentive in a country whose yearly income per head is not much more than that .","they have also try to bribe haitian into turn in any weapon they hold , offer up to $ 300 per weapon - quite a incentive in a country whose yearly income per head be not much more than that .",nyt_eng_19940930_0095_20,"The Americans have tried to soothe tempers and appease hunger by unilaterally lifting their embargo on the country, and are encouraging the United Nations to do likewise as soon as possible.",nyt_eng_19940930_0095_22,"This week they were busy broadcasting appeals from Aristide asking his supporters to avoid confrontation, and to commemorate the third anniversary of the coup that overthrew him -- Sept. 30 -- with a religious service rather than mob violence.",not,much,more,not,much,more,35,36,37,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'more', 'ix': 37, 'xpos': 'JJR'}, 'target': {'lemma': 'not', 'ix': 35, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'more', 'ix': 37, 'xpos': 'JJR'}, 'target': {'lemma': 'much', 'ix': 36, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199409.json
nyt_eng_19940930_0095_12:19-20-21,nyt_eng_19940930_0095_12,19-20-21,nyt_eng_19940930_0095_12:20-21,But how exactly are the American troops to handle bullying policemen or rampaging Haitian civilians? They are not quite sure.,but how exactly are the American troops to handle bullying policemen or rampaging Haitian civilians ? They are not quite sure .,but how exactly be the american troops to handle bully policeman or rampage Haitian civilian ? they be not quite sure .,nyt_eng_19940930_0095_11,"When joyous crowds in another town wrenched a rifle away from a policeman, the Americans returned it to him.",nyt_eng_19940930_0095_13,"Intended -LRB- as some suspect -RRB- or not, this vagueness has left decisions to be made on the spot -- which means policy-making on the hoof.",not,quite,sure,not,quite,sure,18,19,20,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'sure', 'ix': 20, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 18, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'sure', 'ix': 20, 'xpos': 'JJ'}, 'target': {'lemma': 'quite', 'ix': 19, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199409.json
nyt_eng_19940930_0024_21:36-37-38,nyt_eng_19940930_0024_21,36-37-38,nyt_eng_19940930_0024_21:37-38,"They have also tried to bribe Haitians into turning in any weapons they hold, offering up to $ 300 per weapon - quite an incentive in a country whose yearly income per head is not much more than that.","they have also tried to bribe Haitians into turning in any weapons they hold , offering up to $ 300 per weapon - quite an incentive in a country whose yearly income per head is not much more than that .","they have also try to bribe haitian into turn in any weapon they hold , offer up to $ 300 per weapon - quite a incentive in a country whose yearly income per head be not much more than that .",nyt_eng_19940930_0024_20,"The Americans have tried to soothe tempers and appease hunger by unilaterally lifting their embargo on the country, and are encouraging the United Nations to do likewise as soon as possible.",nyt_eng_19940930_0024_22,"This week they were busy broadcasting appeals from Aristide asking his supporters to avoid confrontation, and to commemorate the third anniversary of the coup that overthrew him -- Sept. 30 -- with a religious service rather than mob violence.",not,much,more,not,much,more,35,36,37,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'more', 'ix': 37, 'xpos': 'JJR'}, 'target': {'lemma': 'not', 'ix': 35, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'more', 'ix': 37, 'xpos': 'JJR'}, 'target': {'lemma': 'much', 'ix': 36, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199409.json
nyt_eng_19940930_0024_12:19-20-21,nyt_eng_19940930_0024_12,19-20-21,nyt_eng_19940930_0024_12:20-21,But how exactly are the American troops to handle bullying policemen or rampaging Haitian civilians? They are not quite sure.,but how exactly are the American troops to handle bullying policemen or rampaging Haitian civilians ? They are not quite sure .,but how exactly be the american troops to handle bully policeman or rampage Haitian civilian ? they be not quite sure .,nyt_eng_19940930_0024_11,"When joyous crowds in another town wrenched a rifle away from a policeman, the Americans returned it to him.",nyt_eng_19940930_0024_13,"Intended -LRB- as some suspect -RRB- or not, this vagueness has left decisions to be made on the spot -- which means policy-making on the hoof.",not,quite,sure,not,quite,sure,18,19,20,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'sure', 'ix': 20, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 18, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'sure', 'ix': 20, 'xpos': 'JJ'}, 'target': {'lemma': 'quite', 'ix': 19, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199409.json
nyt_eng_19940930_0022_21:36-37-38,nyt_eng_19940930_0022_21,36-37-38,nyt_eng_19940930_0022_21:37-38,"They have also tried to bribe Haitians into turning in any weapons they hold, offering up to $ 300 per weapon - quite an incentive in a country whose yearly income per head is not much more than that.","they have also tried to bribe Haitians into turning in any weapons they hold , offering up to $ 300 per weapon - quite an incentive in a country whose yearly income per head is not much more than that .","they have also try to bribe haitian into turn in any weapon they hold , offer up to $ 300 per weapon - quite a incentive in a country whose yearly income per head be not much more than that .",nyt_eng_19940930_0022_20,"The Americans have tried to soothe tempers and appease hunger by unilaterally lifting their embargo on the country, and are encouraging the United Nations to do likewise as soon as possible.",nyt_eng_19940930_0022_22,"This week they were busy broadcasting appeals from Aristide asking his supporters to avoid confrontation, and to commemorate the third anniversary of the coup that overthrew him -- Sept. 30 -- with a religious service rather than mob violence.",not,much,more,not,much,more,35,36,37,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'more', 'ix': 37, 'xpos': 'JJR'}, 'target': {'lemma': 'not', 'ix': 35, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'more', 'ix': 37, 'xpos': 'JJR'}, 'target': {'lemma': 'much', 'ix': 36, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199409.json
