hit_id,sent_id,match_id,colloc_id,sent_text,token_str,lemma_str,context_prev_id,context_prev_sent,context_next_id,context_next_sent,neg_lemma,adv_lemma,adj_lemma,neg_form,adv_form,adj_form,neg_index,adv_index,adj_index,dep_neg,dep_mod,json_source
nyt_eng_19940731_0149_31:15-16-17,nyt_eng_19940731_0149_31,15-16-17,nyt_eng_19940731_0149_31:16-17,"-LBQ-  When ours went up from $ 3,600 to $ 9,200, we weren't even sick.","`` When ours went up from $ 3,600 to $ 9,200 , we were n't even sick .","`` when ours go up from $ 3,600 to $ 9,200 , we be not even sick .",nyt_eng_19940731_0149_30,"-LBQ-  How can old people afford it?,  -RDQ-  she asked me.",nyt_eng_19940731_0149_32,My husband and I had not been in a hospital.,not,even,sick,n't,even,sick,14,15,16,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'sick', 'ix': 16, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 14, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'sick', 'ix': 16, 'xpos': 'JJ'}, 'target': {'lemma': 'even', 'ix': 15, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199407.json
nyt_eng_19940731_0130_65:08-09-10,nyt_eng_19940731_0130_65,08-09-10,nyt_eng_19940731_0130_65:09-10,"More humble than the porcelain, but no less exciting to scholars of ceramics, are San Diego's 570 stoneware and earthenware jars for storing food, oil, water and wine.","more humble than the porcelain , but no less exciting to scholars of ceramics , are San Diego 's 570 stoneware and earthenware jars for storing food , oil , water and wine .","more humble than the porcelain , but no less exciting to scholar of ceramic , be San Diego 's 570 stoneware and earthenware jar for store food , oil , water and wine .",nyt_eng_19940731_0130_64,"The collection also included 35 slender-necked porcelain pouring vessels, an extremely rare find.",nyt_eng_19940731_0130_66,It's the largest single collection of such jars ever found.,no,less,exciting,no,less,exciting,7,8,9,"{'node': 'neg', 'contiguous': False, 'relation': 'dep', 'head': {'lemma': 'exciting', 'ix': 9, 'xpos': 'JJ'}, 'target': {'lemma': 'no', 'ix': 7, 'xpos': 'DT'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'exciting', 'ix': 9, 'xpos': 'JJ'}, 'target': {'lemma': 'less', 'ix': 8, 'xpos': 'RBR'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199407.json
nyt_eng_19940731_0129_65:08-09-10,nyt_eng_19940731_0129_65,08-09-10,nyt_eng_19940731_0129_65:09-10,"More humble than the porcelain, but no less exciting to scholars of ceramics, are San Diego's 570 stoneware and earthenware jars for storing food, oil, water and wine.","more humble than the porcelain , but no less exciting to scholars of ceramics , are San Diego 's 570 stoneware and earthenware jars for storing food , oil , water and wine .","more humble than the porcelain , but no less exciting to scholar of ceramic , be San Diego 's 570 stoneware and earthenware jar for store food , oil , water and wine .",nyt_eng_19940731_0129_64,"The collection also included 35 slender-necked porcelain pouring vessels, an extremely rare find.",nyt_eng_19940731_0129_66,It's the largest single collection of such jars ever found.,no,less,exciting,no,less,exciting,7,8,9,"{'node': 'neg', 'contiguous': False, 'relation': 'dep', 'head': {'lemma': 'exciting', 'ix': 9, 'xpos': 'JJ'}, 'target': {'lemma': 'no', 'ix': 7, 'xpos': 'DT'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'exciting', 'ix': 9, 'xpos': 'JJ'}, 'target': {'lemma': 'less', 'ix': 8, 'xpos': 'RBR'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199407.json
nyt_eng_19940731_0128_38:15-17-18,nyt_eng_19940731_0128_38,15-17-18,nyt_eng_19940731_0128_38:17-18,"Some, like Dmitri, one of the two Greek bears recovered, won't be so fortunate.","some , like Dmitri , one of the two Greek bears recovered , wo n't be so fortunate .","some , like Dmitri , one of the two greek bear recover , will not be so fortunate .",nyt_eng_19940731_0128_37,"-LBQ-  Hopefully, in a few months ' time, they'll be back in the woods.  -RDQ-",nyt_eng_19940731_0128_39,"-LBQ-  He's the oldest bear we've ever seen,  -RDQ-  Watkins says.",not,so,fortunate,n't,so,fortunate,14,16,17,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'fortunate', 'ix': 17, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 14, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'fortunate', 'ix': 17, 'xpos': 'JJ'}, 'target': {'lemma': 'so', 'ix': 16, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199407.json
nyt_eng_19940731_0127_38:15-17-18,nyt_eng_19940731_0127_38,15-17-18,nyt_eng_19940731_0127_38:17-18,"Some, like Dmitri, one of the two Greek bears recovered, won't be so fortunate.","some , like Dmitri , one of the two Greek bears recovered , wo n't be so fortunate .","some , like Dmitri , one of the two greek bear recover , will not be so fortunate .",nyt_eng_19940731_0127_37,"-LBQ-  Hopefully, in a few months ' time, they'll be back in the woods.  -RDQ-",nyt_eng_19940731_0127_39,"-LBQ-  He's the oldest bear we've ever seen,  -RDQ-  Watkins says.",not,so,fortunate,n't,so,fortunate,14,16,17,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'fortunate', 'ix': 17, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 14, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'fortunate', 'ix': 17, 'xpos': 'JJ'}, 'target': {'lemma': 'so', 'ix': 16, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199407.json
nyt_eng_19940731_0121_9:6-7-8,nyt_eng_19940731_0121_9,6-7-8,nyt_eng_19940731_0121_9:7-8,The chief executive search is not yet complete.,the chief executive search is not yet complete .,the chief executive search be not yet complete .,nyt_eng_19940731_0121_8,"To lure a promising candidate, Ben & Jerry's has said it will abandon its commitment to pay its top executives no more than seven times its lowest-paid workers.",nyt_eng_19940731_0121_10,"Growth may be waning, but the super-premium market is still a lucrative business.",not,yet,complete,not,yet,complete,5,6,7,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'complete', 'ix': 7, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 5, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'complete', 'ix': 7, 'xpos': 'JJ'}, 'target': {'lemma': 'yet', 'ix': 6, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199407.json
nyt_eng_19940731_0116_21:14-15-16,nyt_eng_19940731_0116_21,14-15-16,nyt_eng_19940731_0116_21:15-16,"-LBQ-  There were a lot of rationales given that said the problem is not as bad as it seems,  -RDQ-  said Kenneth I. Chenault, whom Golub put in charge of the United States card business.","`` There were a lot of rationales given that said the problem is not as bad as it seems , '' said Kenneth I. Chenault , whom Golub put in charge of the United States card business .","`` there be a lot of rationale give that say the problem be not as bad as it seem , '' say Kenneth I. Chenault , whom Golub put in charge of the United States card business .",nyt_eng_19940731_0116_20,It confirmed Golub's suspicions  -COL-  many customers wanted to borrow money with credit cards and wanted to shop in places that accepted bank cards but not American Express.,nyt_eng_19940731_0116_22,-LBQ-  Harvey forced the company to face the reality that we had a substantial problem.  -RDQ-,not,as,bad,not,as,bad,13,14,15,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'bad', 'ix': 15, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 13, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'bad', 'ix': 15, 'xpos': 'JJ'}, 'target': {'lemma': 'as', 'ix': 14, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199407.json
nyt_eng_19940731_0091_13:28-29-30,nyt_eng_19940731_0091_13,28-29-30,nyt_eng_19940731_0091_13:29-30,"What insights emerge from a single-sex program for high school students? Sarah Eichorn, 15, from Sayre, Pa., said that it  -LBQ-  wasn't as competitive as it would have been if there had been boys there  -RDQ-  -- and that that was good.","what insights emerge from a single-sex program for high school students ? Sarah Eichorn , 15 , from Sayre , Pa. , said that it `` was n't as competitive as it would have been if there had been boys there '' -- and that that was good .","what insight emerge from a single-sex program for high school student ? Sarah Eichorn , 15 , from Sayre , Pa. , say that it `` be not as competitive as it would have be if there had be boy there '' -- and that that be good .",nyt_eng_19940731_0091_12,"She worked with Kacie on the  -LBQ-  New Era Computer Company,  -RDQ-  which doubled its sales after increasing spending for advertising.",nyt_eng_19940731_0091_14,"Sometimes boys don't understand  -LBQ-  you need to cooperate and not just be like the touchdown winner,  -RDQ-  she said.",not,as,competitive,n't,as,competitive,27,28,29,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'competitive', 'ix': 29, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 27, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'competitive', 'ix': 29, 'xpos': 'JJ'}, 'target': {'lemma': 'as', 'ix': 28, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199407.json
nyt_eng_19940731_0086_15:5-6-7,nyt_eng_19940731_0086_15,5-6-7,nyt_eng_19940731_0086_15:6-7,In 1969 it wasn't so funny.,in 1969 it was n't so funny .,in 1969 it be not so funny .,nyt_eng_19940731_0086_14,"That always inspired me, and it took me that way, but I'm no blacker than the next white guy.  -RDQ-",nyt_eng_19940731_0086_16,"The year after Martin Luther King Jr. was murdered, Penn attended a music convention.",not,so,funny,n't,so,funny,4,5,6,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'funny', 'ix': 6, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 4, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'funny', 'ix': 6, 'xpos': 'JJ'}, 'target': {'lemma': 'so', 'ix': 5, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199407.json
nyt_eng_19940731_0084_19:3-5-6,nyt_eng_19940731_0084_19,3-5-6,nyt_eng_19940731_0084_19:5-6,"We may not be morally helpless, but we're often morally lazy, lax rather than really relaxed.","we may not be morally helpless , but we 're often morally lazy , lax rather than really relaxed .","we may not be morally helpless , but we be often morally lazy , lax rather than really relax .",nyt_eng_19940731_0084_18,It's often a code for just plain opting out.,nyt_eng_19940731_0084_20,"We want this music to do our work for us, knitting up the ravell'd sleave of care while we drive our cars or do our paperwork or veg out with a glass of wine.",not,morally,helpless,not,morally,helpless,2,4,5,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'helpless', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 2, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'helpless', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': 'morally', 'ix': 4, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199407.json
