colloc_id,believe,look,think,SUM
nyt_eng_19960522_0120_19:22-23,0,1,0,1
pcc_eng_27_070.9565_x1131118_16:14-15,0,0,1,1
pcc_eng_val_1.3131_x05104_36:38-39,1,0,0,1
SUM,1,1,1,3
