space_key,l2,polarity,space,dP1,LRC,P1,G2,f1,f2,N,f,unexp_f,f_sqrt,f2_sqrt,unexp_r,exp_f,polar_l2,space_l2,exp_f_sqrt,unexp_f_sqrt,dP1m,P1m,LRCm,f_sqrt_m,f2_sqrt_m,unexp_f_sqrt_m,unexp_r_m
ALL+sup:NEG~necessarily,necessarily,neg,ALL+sup,0.8321614861488342,7.146883487701416,0.8757015466690063,230465.592491,3173681,48641,71961373,42595,40449.80722,206.3855615104894,220.54704713507275,0.9496374726295471,2145.19278,neg~necessarily,ALL+sup:necessarily,46.31622588251335,160.06933562797605,0.6268415327693772,0.9299696157522415,5.529986696893888,118.7089014044276,123.06653636683639,61.495914986658555,0.6833634249564272
ALL+mir:NEG~before,before,neg,ALL+mir,0.8231073617935181,6.188711643218994,0.9965517520904541,999.4055528,291735,290,1680633,289,238.65994262695312,17.0,17.029386365926403,0.8258129954338074,50.34005,neg~before,ALL+mir:before,7.095072233599881,9.90492776640012,0.5477436489135513,0.8520617261528969,4.163787982095702,17.274964387392124,19.46877058314164,7.957073573857514,0.6760469824075699
ALL+mir:NEG~ever,ever,neg,ALL+mir,0.7626563906669617,5.673308849334717,0.9339547753334045,14226.7057229,291735,5042,1680633,4709,3833.777587890625,68.62215385719105,71.00704190430693,0.8141383528709412,875.222532,neg~ever,ALL+mir:ever,29.584160153703873,39.037993703487174,0.3272151745664905,0.630039088175153,2.827454350765718,72.82081595653494,144.3523232048385,17.30508152696224,0.3918707782842091
ALL+sup:NEG~that,that,neg,ALL+sup,0.7548132538795471,6.365719318389893,0.7967466115951538,831669.71616,3173681,206801,71961373,164768,155647.54583,405.9162475191157,454.7537795334966,0.9446467161178589,9120.45417,neg~that,ALL+sup:that,95.50106894689713,310.41517857221857,0.5815159341923248,0.8807203820820587,5.074724707028374,235.77580192240174,251.07717927197368,120.12032013630026,0.6729859000654717
ALL+mir:NEG~any,any,neg,ALL+mir,0.7388180494308472,4.91164493560791,0.9118905067443848,3078.6167691,291735,1169,1680633,1066,863.0775146484375,32.64965543462902,34.19064199455752,0.8096411824226379,202.922479,neg~any,ALL+mir:any,14.24508613522572,18.4045692994033,0.5276618504235717,0.8313938264832359,4.406379931906265,78.34095465216912,93.40484859410091,37.063462911012785,0.6709319643578431
ALL+sup:NEG~exactly,exactly,neg,ALL+sup,0.7373274564743042,6.190840721130371,0.780855119228363,216169.978748,3173681,56109,71961373,43813,41338.44928,209.3155512617254,236.8733838995002,0.943520188331604,2474.55072,neg~exactly,ALL+sup:exactly,49.7448562164974,159.570695045228,0.5717959270723205,0.8749584517850357,4.714349183087205,118.91435306024596,127.25081850658094,60.70360367587839,0.6717011860009342
ALL+mir:NEG~longer,longer,neg,ALL+mir,0.7290061712265015,4.68960428237915,0.9021977782249451,2328.2232643,291735,910,1680633,821,663.036376953125,28.653097563788805,30.166206257996713,0.8075960874557495,157.963607,neg~longer,ALL+mir:longer,12.568357370794324,16.08474019299448,0.38521160390792697,0.6893419765846794,2.8085864559354494,32.80626739447073,51.934097213021346,11.46055175323626,0.5679881500214083
ALL+mir:NEG~anymore,anymore,neg,ALL+mir,0.7087737321853638,0.8117642998695374,0.8823529481887817,40.9804807,291735,17,1680633,15,12.049032211303711,3.872983346207417,4.123105625617661,0.8032687902450562,2.950968,neg~anymore,ALL+mir:anymore,1.7178381763134734,2.1551451698939434,0.5176840076256256,0.8220920488238335,1.8172125965356827,12.207810965190777,14.863891245733004,5.770409711666304,0.6699152141809464
ALL+mir:NEG~necessarily,necessarily,neg,ALL+mir,0.7087422609329224,4.4989471435546875,0.8818681240081787,2631.0559879,291735,1092,1680633,963,773.4436645507812,31.0322412983658,33.04542328371661,0.8031606078147888,189.556328,neg~necessarily,ALL+mir:necessarily,13.76794567101425,17.26429562735155,0.6268415327693772,0.9299696157522415,5.529986696893888,118.7089014044276,123.06653636683639,61.495914986658555,0.6833634249564272
ALL+mir:NEG~remotely,remotely,neg,ALL+mir,0.6224305033683777,3.8393871784210205,0.7951598763465881,4286.7448778,291735,2314,1680633,1840,1438.3211669921875,42.89522117905443,48.104053883222775,0.7816962599754333,401.678885,neg~remotely,ALL+mir:remotely,20.041928175702058,22.853293003352373,0.4530079061652771,0.7567267440173202,3.4849119720208668,59.067419201480575,73.66061531287556,25.893830593895807,0.647193734218245
ALL+mir:NEG~that,that,neg,ALL+mir,0.6167080998420715,3.9092743396759033,0.7882891297340393,9933.3702985,291735,5465,1680633,4308,3359.350341796875,65.63535632568775,73.92563831310488,0.7797935009002686,948.649571,neg~that,ALL+mir:that,30.80015537298473,34.83520095270302,0.5815159341923248,0.8807203820820587,5.074724707028374,235.77580192240174,251.07717927197368,120.12032013630026,0.6729859000654717
ALL+mir:NEG~exactly,exactly,neg,ALL+mir,0.6153458952903748,3.608490228652954,0.7885547876358032,1868.3390708,291735,1031,1680633,813,634.032470703125,28.513154858766505,32.109188716004645,0.7798677086830139,178.967559,neg~exactly,ALL+mir:exactly,13.377875728231295,15.13527913053521,0.5717959270723205,0.8749584517850357,4.714349183087205,118.91435306024596,127.25081850658094,60.70360367587839,0.6717011860009342
ALL+sup:NEG~immediately,immediately,neg,ALL+sup,0.5680816173553467,5.03867244720459,0.6114599108695984,231721.981833,3173681,91746,71961373,56099,52052.76624,236.8522746354782,302.8960217632447,0.9278733134269714,4046.23376,neg~immediately,ALL+sup:immediately,63.610013048261514,173.2422615872167,0.3521943585366226,0.6552747276338402,2.841694976566347,128.46356726768147,150.40077501475423,62.25427404514481,0.5466637271398647
ALL+mir:NEG~particularly,particularly,neg,ALL+mir,0.5445742011070251,3.4297492504119873,0.7139657139778137,18490.3970144,291735,12946,1680633,9243,6995.75048828125,96.1405221537724,113.78049041905207,0.7568701505661011,2247.249286,neg~particularly,ALL+mir:particularly,47.40516096376005,48.73536119001234,0.31643939195044635,0.6171677975635826,2.3585813120195946,165.8910996412081,301.5559150757589,49.82228630428821,0.5293845650665909
ALL+sup:NEG~yet,yet,neg,ALL+sup,0.5039410591125488,4.660628795623779,0.5473800897598267,197895.375021,3173681,94755,71961373,51867,47688.06162,227.7432765198569,307.82300108991205,0.9194297194480896,4178.93838,neg~yet,ALL+sup:yet,64.64470883220064,163.09856768765627,0.36818105401761014,0.6713694274968368,2.8371019616778117,122.8159101699276,147.11490798155816,59.111445589757714,0.5798549816012383
NEQ+sup:NEG~that,that,neg,NEQ+sup,0.5017035007476807,6.260317802429199,0.9885289072990417,214471.83348,3173681,166680,6347362,164768,81428.0,405.9162475191157,408.264620068896,0.49419790506362915,83340.0,neg~that,NEQ+sup:that,288.6866813692658,117.22956614984992,0.5815159341923248,0.8807203820820587,5.074724707028374,235.77580192240174,251.07717927197368,120.12032013630026,0.6729859000654717
NEQ+mir:NEG~before,before,neg,NEQ+mir,0.500247779,4.251582468467644,1.0,400.7822866,291735,289,583470,289,144.5,17.0,17.0,0.5,144.5,neg~before,NEQ+mir:before,12.020815280171307,4.979184719828693,0.5477436489135513,0.8520617261528969,4.163787982095702,17.274964387392124,19.46877058314164,7.957073573857514,0.6760469824075699
NEQ+mir:NEG~anymore,anymore,neg,NEQ+mir,0.5000128545,0.0,1.0,20.7948011,291735,15,583470,15,7.5,3.872983346207417,3.872983346207417,0.5,7.5,neg~anymore,NEQ+mir:anymore,2.7386127875258306,1.1343705586815864,0.5176840076256256,0.8220920488238335,1.8172125965356827,12.207810965190777,14.863891245733004,5.770409711666304,0.6699152141809464
NEQ+sup:POS~increasingly,increasingly,pos,NEQ+sup,0.49710676074028015,7.069648265838623,0.9957587718963623,22963.634569,3173681,17212,6347362,17139,8533.0,130.91600360536523,131.1945120803458,0.4978703558444977,8606.0,pos~increasingly,NEQ+sup:increasingly,92.76852914647294,38.14747445889229,0.2877719830863678,0.9829098181798233,4.553014653550639,194.97126611457708,195.17628687974138,14.305407169430543,0.2944895252075097
NEQ+sup:NEG~necessarily,necessarily,neg,NEQ+sup,0.49587297439575195,6.650200366973877,0.992520272731781,55995.134336,3173681,42916,6347362,42595,21137.0,206.3855615104894,207.16177253537873,0.49623194336891174,21458.0,neg~necessarily,NEQ+sup:necessarily,146.48549416239138,59.90006734809802,0.6268415327693772,0.9299696157522415,5.529986696893888,118.7089014044276,123.06653636683639,61.495914986658555,0.6833634249564272
NEQ+sup:NEG~exactly,exactly,neg,NEQ+sup,0.49069923162460327,5.970258712768555,0.9872684478759766,55763.993254,3173681,44378,6347362,43813,21624.0,209.3155512617254,210.6608648990125,0.49355214834213257,22189.0,neg~exactly,NEQ+sup:exactly,148.95972610071487,60.35582516101053,0.5717959270723205,0.8749584517850357,4.714349183087205,118.91435306024596,127.25081850658094,60.70360367587839,0.6717011860009342
NEQ+sup:POS~relatively,relatively,pos,NEQ+sup,0.49028047919273376,5.983229160308838,0.9881990551948547,34010.200759,3173681,26947,6347362,26629,13155.5,163.18394528874464,164.1554141659665,0.49402907490730286,13473.5,pos~relatively,NEQ+sup:relatively,116.07540652524116,47.108538763503475,0.2924790691025487,0.9870783652870834,4.902830780753214,258.1552601049707,258.65484071578015,19.949012687497483,0.29715462771917966
NEQ+mir:NEG~ever,ever,neg,NEQ+mir,0.4899822795,5.32486534069448,0.9859715243,5953.3892051,291735,4776,583470,4709,2321.0,68.62215385719105,69.10861017268398,0.49288596304947974,2388.0,neg~ever,NEQ+mir:ever,48.86716689148246,19.75498696570859,0.3272151745664905,0.630039088175153,2.827454350765718,72.82081595653494,144.3523232048385,17.30508152696224,0.3918707782842091
NEQ+mir:NEG~any,any,neg,NEQ+mir,0.4852034663,4.475120519556212,0.9843028624,1328.2691051,291735,1083,583470,1066,524.5,32.64965543462902,32.90896534380867,0.4920262664165103,541.5,neg~any,NEQ+mir:any,23.27015255644019,9.379502878188827,0.5276618504235717,0.8313938264832359,4.406379931906265,78.34095465216912,93.40484859410091,37.063462911012785,0.6709319643578431
NEQ+mir:POS~plain,plain,pos,NEQ+mir,0.4849701,4.454384435932695,0.984082397,1307.898986,291735,1068,583470,1051,517.0,32.41913015489465,32.68026927673638,0.49191246431969554,534.0,pos~plain,NEQ+mir:plain,23.108440016582687,9.310690138311966,0.2581034497729182,0.9533054372111969,3.18969928963007,78.4007424665803,79.52369120687946,6.821494247773664,0.27601321662938333
NEQ+mir:POS~maybe,maybe,pos,NEQ+mir,0.4842443998,3.9712670774827115,0.9837837838,677.8434298,291735,555,583470,546,268.5,23.366642891095847,23.558437978779494,0.49175824175824173,277.5,pos~maybe,NEQ+mir:maybe,16.658331248957683,6.708311642138163,0.2820936695446813,0.9774686401800796,3.444130563029888,61.689792530709695,62.091437279877475,5.615129499382824,0.2918506589421368
NEQ+mir:POS~rather,rather,pos,NEQ+mir,0.4837787127,4.656797189363179,0.9822812846,2187.3144759,291735,1806,583470,1774,871.0,42.118879377305376,42.49705872175156,0.49098083427282974,903.0,pos~rather,NEQ+mir:rather,30.04995840263344,12.068920974671936,0.292542062091378,0.9871586305572342,4.6996015953144274,216.01245103652337,216.7221982844127,17.433546374551685,0.29738881730966965
NEQ+mir:POS~somewhat,somewhat,pos,NEQ+mir,0.4835664614,4.299335528890973,0.9827956989,1128.9118394,291735,930,583470,914,449.0,30.23243291566195,30.495901363953813,0.4912472647702407,465.0,pos~somewhat,NEQ+mir:somewhat,21.563858652847824,8.668574262814126,0.28809442517553957,0.9830768961357513,4.215175521741481,186.60412150503583,187.507027457685,14.419096219613884,0.29512158178477765
NEQ+sup:POS~almost,almost,pos,NEQ+sup,0.4822913706302643,5.30396032333374,0.9807263016700745,24695.066713,3173681,20598,6347362,20201,9902.0,142.13022197970423,143.52003344481216,0.4901737570762634,10299.0,pos~almost,NEQ+sup:almost,101.48398888494677,40.64623309475746,0.289009062822321,0.9837783461694107,4.493509411834269,226.38942863438226,227.03810025314806,17.62569094202323,0.2953391091632988
NEQ+sup:POS~mostly,mostly,pos,NEQ+sup,0.48116475343704224,5.119331359863281,0.9804549813270569,11190.023153,3173681,9363,6347362,9180,4498.5,95.81231653602788,96.76259607927021,0.4900326728820801,4681.5,pos~mostly,NEQ+sup:mostly,68.4214878528668,27.390828683161075,0.28693428562297124,0.982215675631192,3.932074539052337,148.78591716742727,149.20538392999055,11.224859213493172,0.2943874472644624
NEQ+sup:POS~seemingly,seemingly,pos,NEQ+sup,0.4811524450778961,5.07089376449585,0.9805786609649658,9051.316989,3173681,7569,6347362,7422,3637.5,86.15103017375938,87.0,0.4900970160961151,3784.5,pos~seemingly,NEQ+sup:seemingly,61.518289963229634,24.632740210529747,0.2633774057503261,0.9586748949917099,3.505719929499449,137.25944277494813,137.98063187885504,10.398661707019931,0.2793136008457332
NEQ+mir:POS~fairly,fairly,pos,NEQ+mir,0.481145859,4.33339661053575,0.9801488834,1442.6887115,291735,1209,583470,1185,580.5,34.42382895611701,34.77067730142742,0.489873417721519,604.5,pos~fairly,NEQ+mir:fairly,24.586581706288495,9.837247249828518,0.2930079838849387,0.9878044207239243,4.666187211105617,212.47753242176123,213.0840182160396,16.78599091609068,0.29772640603441225
NEQ+mir:POS~pretty,pretty,pos,NEQ+mir,0.4801296788,4.728893436182974,0.9758095238,6124.9739361,291735,5250,583470,5123,2498.0,71.57513534740957,72.4568837309472,0.4876049189927777,2625.0,pos~pretty,NEQ+mir:pretty,51.234753829797995,20.340381517611576,0.29321218586322995,0.9855066412039062,4.855221429762602,429.7931594556751,431.23434382180363,33.86694885623983,0.2964304227173974
NEQ+sup:POS~pretty,pretty,pos,NEQ+sup,0.4780554175376892,4.984721660614014,0.9726659059524536,81991.263769,3173681,71559,6347362,69603,33823.5,263.82380483951783,267.5051401375308,0.4859488904476166,35779.5,pos~pretty,NEQ+sup:pretty,189.15469859350574,74.66910624601209,0.29321218586322995,0.9855066412039062,4.855221429762602,429.7931594556751,431.23434382180363,33.86694885623983,0.2964304227173974
NEQ+sup:POS~largely,largely,pos,NEQ+sup,0.4780481159687042,4.909062385559082,0.9774307608604431,9604.593952,3173681,8197,6347362,8012,3913.5,89.50977600240098,90.53728513711906,0.48845481872558594,4098.5,pos~largely,NEQ+sup:largely,64.01952827067691,25.490247731724068,0.28459196256288616,0.9799242974173553,3.6601413236293943,137.58299670813182,138.02209416468966,10.287416581122296,0.2930319866048541
NEQ+sup:POS~fairly,fairly,pos,NEQ+sup,0.4777447283267975,5.013981819152832,0.9764140248298645,20605.348396,3173681,17680,6347362,17263,8423.0,131.3887361991126,132.9661611087573,0.48792213201522827,8840.0,pos~fairly,NEQ+sup:fairly,94.02127418834527,37.367462010767326,0.2930079838849387,0.9878044207239243,4.666187211105617,212.47753242176123,213.0840182160396,16.78599091609068,0.29772640603441225
NEQ+mir:NEG~longer,longer,neg,NEQ+mir,0.4769061886,3.9553081097372806,0.9762187872,977.8998397,291735,841,583470,821,400.5,28.653097563788805,29.0,0.4878197320341047,420.5,neg~longer,NEQ+mir:longer,20.506096654409877,8.147000909378928,0.38521160390792697,0.6893419765846794,2.8085864559354494,32.80626739447073,51.934097213021346,11.46055175323626,0.5679881500214083
NEQ+sup:NEG~immediately,immediately,neg,NEQ+sup,0.47607776522636414,4.919856548309326,0.9717478156089783,65652.794082,3173681,57730,6347362,56099,27234.0,236.8522746354782,240.27068069159,0.4854632019996643,28865.0,neg~immediately,NEQ+sup:immediately,169.89702763733095,66.95524699814726,0.3521943585366226,0.6552747276338402,2.841694976566347,128.46356726768147,150.40077501475423,62.25427404514481,0.5466637271398647
