key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,first_char
very~lovely,very,lovely,120,133.5092,-1.583918,-0.050125007,-0.011081155,-8.24782e-05,0.09836066,0.0006524647,183918,1220,1680633,120.0,183798.0,1100.0,1495615.0,183918.0,1496715.0,1220.0,1679413.0,183784.490804358,1086.490804358,1495628.509195642,-1.2332152,0.00129633,-0.046329934,-0.011081155,-8.24782e-05,0.011081155,-0.0055818167,-13.509195,-0.11257663,0.0,0.0,0.0,0.0,0.0,0.0,10.954451150103322,428.8566193962733,34.92849839314596,v
really~powerful,really,powerful,171,251.71153,-30.249074,-0.17231409,-0.011269076,-0.0014221311,0.023773113,0.00290757,58812,7193,1680633,171.0,58641.0,7022.0,1614799.0,58812.0,1621821.0,7193.0,1673440.0,58560.28846274,6941.28846274,1614879.71153726,-6.1721654,0.005181426,-0.16790701,-0.011269076,-0.0014221311,0.011269076,-0.0063456036,-80.71154,-0.4719973,-0.021161798,0.0,-0.033961195,-0.065079615,-0.26635197,-0.07082916,13.076696830622021,242.51185538030919,84.81155581640984,r
so~rewarding,so,rewarding,139,162.87042,-3.978607,-0.07274463,-0.011300475,-0.0001998284,0.06572104,0.0010740143,129421,2115,1680633,139.0,129282.0,1976.0,1549236.0,129421.0,1551212.0,2115.0,1678518.0,129258.129572607,1952.129572607,1549259.870427392,-2.0246632,0.00211349,-0.068827435,-0.011300475,-0.0001998284,0.011300475,-0.005750152,-23.870428,-0.1717297,0.0,0.0,0.0,0.0,0.0,0.0,11.789826122551595,359.7513029858266,45.98912915026767,s
so~honest,so,honest,102,119.59233,-2.942644,-0.072492324,-0.011338442,-0.000147272,0.06567933,0.0007881256,129421,1553,1680633,102.0,129319.0,1451.0,1549761.0,129421.0,1551212.0,1553.0,1679080.0,129301.40767199,1433.40767199,1549778.59232801,-1.7419001,0.001557561,-0.06910315,-0.011338442,-0.000147272,0.011338442,-0.0057428568,-17.592327,-0.1724738,0.0,0.0,0.0,0.0,0.0,0.0,10.099504938362077,359.7513029858266,39.408120990476064,s
quite~exciting,quite,exciting,102,195.06839,-55.178106,-0.2855996,-0.011528573,-0.0023596163,0.012573965,0.002523878,40414,8112,1680633,102.0,40312.0,8010.0,1632209.0,40414.0,1640219.0,8112.0,1672521.0,40218.931613267,7916.931613267,1632302.068386733,-9.215143,0.004203932,-0.2815867,-0.011528573,-0.0023596163,0.011528573,-0.006944095,-93.06839,-0.9124352,-0.25192693,-0.21667984,-0.26778227,-0.30638754,-0.5580632,-0.31352928,10.099504938362077,201.03233570746772,90.06664199358161,q
too~scary,too,scary,145,165.32056,-2.868073,-0.0611709,-0.011577592,-0.0001418482,0.082527034,0.0009169381,158135,1757,1680633,145.0,157990.0,1612.0,1520886.0,158135.0,1522498.0,1757.0,1678876.0,157969.67943626,1591.67943626,1520906.32056374,-1.687531,0.001813724,-0.056958877,-0.011577592,-0.0001418482,0.011577592,-0.0058597205,-20.320564,-0.14014181,0.0,0.0,0.0,0.0,0.0,0.0,12.041594578792296,397.66191670815044,41.916583830269374,t
very~satisfying,very,satisfying,415,465.20294,-6.302084,-0.054983772,-0.011839625,-0.0003065058,0.097624086,0.0022564405,183918,4251,1680633,415.0,183503.0,3836.0,1492879.0,183918.0,1496715.0,4251.0,1676382.0,183452.797056823,3785.797056823,1492929.202943177,-2.4643655,0.004410928,-0.049594358,-0.011839625,-0.0003065058,0.011839625,-0.0060730656,-50.20294,-0.12097095,0.0,0.0,0.0,0.0,0.0,0.0,20.37154878746336,428.8566193962733,65.19969325081216,v
pretty~important,pretty,important,134,635.8847,-602.892002,-0.6888603,-0.01188377,-0.020661857,0.0030910475,0.005435664,24652,43351,1680633,134.0,24518.0,43217.0,1612764.0,24652.0,1655981.0,43351.0,1637282.0,24016.115275613,42715.115275613,1613265.884724386,-43.356236,0.003941003,-0.6762736,-0.020661857,-0.01188377,0.020661857,-0.016272813,-501.88474,-3.7454083,-1.6506221,-1.6194555,-1.6646336,-1.698728,-1.9202319,-1.7050319,11.575836902790225,157.00955384943936,208.2090295832532,p
too~sure,too,sure,554,633.80725,-11.583503,-0.06397794,-0.011895546,-0.0005570965,0.08224466,0.0035033359,158135,6736,1680633,554.0,157581.0,6182.0,1516316.0,158135.0,1522498.0,6736.0,1673897.0,157501.192761894,6102.192761894,1516395.807238106,-3.3906846,0.006720406,-0.05844743,-0.011895546,-0.0005570965,0.011895546,-0.0062263208,-79.807236,-0.14405638,0.0,0.0,0.0,0.0,-0.034638256,0.0,23.53720459187964,397.66191670815044,82.07313811473277,t
really~difficult,really,difficult,368,555.07416,-74.537439,-0.18464963,-0.011906229,-0.0032962323,0.0232001,0.006257226,58812,15862,1680633,368.0,58444.0,15494.0,1606327.0,58812.0,1621821.0,15862.0,1664771.0,58256.925844012,15306.925844012,1606514.074155988,-9.751915,0.009856175,-0.17850319,-0.011906229,-0.0032962323,0.011906229,-0.007601231,-187.07416,-0.5083537,-0.22708021,-0.20687196,-0.23614518,-0.2581513,-0.39935595,-0.26221207,19.183326093250876,242.51185538030919,125.94443219134381,r
so~popular,so,popular,365,433.39706,-12.347484,-0.07997183,-0.012193828,-0.0005725776,0.0648543,0.0028202534,129421,5628,1680633,365.0,129056.0,5263.0,1545949.0,129421.0,1551212.0,5628.0,1675005.0,128987.602947818,5194.602947818,1546017.397052182,-3.5800653,0.005405445,-0.07459309,-0.012193828,-0.0005725776,0.012193828,-0.006383203,-68.39705,-0.18738918,0.0,0.0,0.0,0.0,-0.04963656,0.0,19.1049731745428,359.7513029858266,75.0199973340442,s
as~funny,as,funny,275,342.56335,-15.250604,-0.10076343,-0.012640734,-0.0006721963,0.05128683,0.002561213,107371,5362,1680633,275.0,107096.0,5087.0,1568175.0,107371.0,1573262.0,5362.0,1675271.0,107028.436631317,5019.436631317,1568242.563368683,-4.0742245,0.004878784,-0.09540822,-0.012640734,-0.0006721963,0.012640734,-0.006656465,-67.56337,-0.24568498,0.0,0.0,0.0,0.0,-0.088536575,0.0,16.583123951777,327.6751440069875,73.22567855609124,a
too~cheap,too,cheap,142,164.09737,-3.430037,-0.067522734,-0.012683667,-0.0001542512,0.081422016,0.0008979669,158135,1744,1680633,142.0,157993.0,1602.0,1520896.0,158135.0,1522498.0,1744.0,1678889.0,157970.902639065,1579.902639065,1520918.097360935,-1.8543693,0.001776343,-0.06281325,-0.012683667,-0.0001542512,0.012683667,-0.0064189592,-22.09736,-0.15561521,0.0,0.0,0.0,0.0,0.0,0.0,11.916375287812984,397.66191670815044,41.7612260356422,t
very~confused,very,confused,116,131.42995,-2.109844,-0.058831003,-0.012856776,-9.4205e-05,0.096586175,0.0006307159,183918,1201,1680633,116.0,183802.0,1085.0,1495630.0,183918.0,1496715.0,1201.0,1679432.0,183786.570045929,1069.570045929,1495645.429954071,-1.4326353,0.001253248,-0.054236367,-0.012856776,-9.4205e-05,0.012856776,-0.0064754905,-15.429955,-0.13301684,0.0,0.0,0.0,0.0,0.0,0.0,10.770329614269007,428.8566193962733,34.655446902326915,v
as~accurate,as,accurate,142,178.24539,-8.441672,-0.103429794,-0.013012783,-0.0003606099,0.050896056,0.0013225173,107371,2790,1680633,142.0,107229.0,2648.0,1570614.0,107371.0,1573262.0,2790.0,1677843.0,107192.754606746,2611.754606746,1570650.245393254,-3.0416458,0.002578045,-0.09872997,-0.013012783,-0.0003606099,0.013012783,-0.0066866963,-36.24539,-0.25524926,0.0,0.0,0.0,0.0,-0.00495852,0.0,11.916375287812984,327.6751440069875,52.820450584977024,a
so~clear,so,clear,428,515.1018,-16.923849,-0.086380534,-0.01307368,-0.0007291621,0.063985646,0.0033070366,129421,6689,1680633,428.0,128993.0,6261.0,1544951.0,129421.0,1551212.0,6689.0,1673944.0,128905.898208592,6173.898208592,1545038.101791408,-4.210224,0.006289031,-0.08044929,-0.01307368,-0.0007291621,0.01307368,-0.006901421,-87.10179,-0.20350885,0.0,0.0,0.0,0.0,-0.08698067,0.0,20.688160865577203,359.7513029858266,81.78630692236935,s
very~weird,very,weird,193,219.19583,-3.6504,-0.06067326,-0.0130939055,-0.0001599344,0.09635547,0.0010493807,183918,2003,1680633,193.0,183725.0,1810.0,1494905.0,183918.0,1496715.0,2003.0,1678630.0,183698.804164859,1783.804164859,1494931.195835141,-1.8856175,0.002076151,-0.05527499,-0.0130939055,-0.0001599344,0.0130939055,-0.00662692,-26.195835,-0.13572972,0.0,0.0,0.0,0.0,0.0,0.0,13.892443989449804,428.8566193962733,44.75488800120049,v
really~easy,really,easy,409,654.28204,-110.638595,-0.21128501,-0.013266379,-0.0043218504,0.021875167,0.006954363,58812,18697,1680633,409.0,58403.0,18288.0,1603533.0,58812.0,1621821.0,18697.0,1661936.0,58157.71797412,18042.71797412,1603778.28202588,-12.128416,0.010553613,-0.20404167,-0.013266379,-0.0043218504,0.013266379,-0.008794115,-245.28203,-0.59971154,-0.33319905,-0.3139615,-0.34182727,-0.36276972,-0.4970337,-0.3666337,20.223748416156685,242.51185538030919,136.7369737854396,r
as~dangerous,as,dangerous,328,413.73376,-20.41855,-0.10669337,-0.0132899,-0.0008529757,0.050648548,0.0030548286,107371,6476,1680633,328.0,107043.0,6148.0,1567114.0,107371.0,1573262.0,6476.0,1674157.0,106957.266248491,6062.266248491,1567199.733751509,-4.7338543,0.005762119,-0.10084711,-0.0132899,-0.0008529757,0.0132899,-0.0070714373,-85.73375,-0.26138338,0.0,0.0,0.0,0.0,-0.12830944,0.0,18.110770276274835,327.6751440069875,80.47359815492284,a
too~spectacular,too,spectacular,116,135.11687,-3.124273,-0.07094298,-0.013323964,-0.0001334458,0.08077995,0.0007335504,158135,1436,1680633,116.0,158019.0,1320.0,1521178.0,158135.0,1522498.0,1436.0,1679197.0,157999.883136294,1300.883136294,1521197.116863706,-1.7749562,0.001453898,-0.06625157,-0.013323964,-0.0001334458,0.013323964,-0.0067287046,-19.116863,-0.16480055,0.0,0.0,0.0,0.0,0.0,0.0,10.770329614269007,397.66191670815044,37.89459064299283,t
really~small,really,small,210,344.79547,-63.560306,-0.2214856,-0.01376133,-0.0023750858,0.021313306,0.0035706998,58812,9853,1680633,210.0,58602.0,9643.0,1612178.0,58812.0,1621821.0,9853.0,1670780.0,58467.204535434,9508.204535434,1612312.795464566,-9.301771,0.006116653,-0.21534225,-0.01376133,-0.0023750858,0.01376133,-0.008068208,-134.79547,-0.6418832,-0.23456967,-0.20858933,-0.24623561,-0.2745862,-0.45753703,-0.27982247,14.491376746189438,242.51185538030919,99.2622788374315,r
too~intense,too,intense,188,220.1765,-5.442875,-0.074201986,-0.013769816,-0.0002246089,0.08034188,0.0011888576,158135,2340,1680633,188.0,157947.0,2152.0,1520346.0,158135.0,1522498.0,2340.0,1678293.0,157914.823495076,2119.823495076,1520378.176504924,-2.3467128,0.002343044,-0.06861313,-0.013769816,-0.0002246089,0.013769816,-0.0069972123,-32.176506,-0.17115162,0.0,0.0,0.0,0.0,0.0,0.0,13.711309200802088,397.66191670815044,48.373546489791295,t
as~weird,as,weird,100,127.96614,-7.036023,-0.111595616,-0.013978786,-0.0002782386,0.04992511,0.0009313502,107371,2003,1680633,100.0,107271.0,1903.0,1571359.0,107371.0,1573262.0,2003.0,1678630.0,107243.033862836,1875.033862836,1571386.966137164,-2.7966137,0.001828588,-0.10709506,-0.013978786,-0.0002782386,0.013978786,-0.007128512,-27.966137,-0.27966136,0.0,0.0,0.0,0.0,0.0,0.0,10.0,327.6751440069875,44.75488800120049,a
so~unexpected,so,unexpected,115,140.69232,-5.401698,-0.09247723,-0.01407788,-0.0002150802,0.06294472,0.000888573,129421,1827,1680633,115.0,129306.0,1712.0,1549500.0,129421.0,1551212.0,1827.0,1678806.0,129280.307673359,1686.307673359,1549525.692326641,-2.3958218,0.001752408,-0.087572575,-0.01407788,-0.0002150802,0.01407788,-0.00714648,-25.692327,-0.22341153,0.0,0.0,0.0,0.0,0.0,0.0,10.723805294763608,359.7513029858266,42.74342054632502,s
