key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~remotely_true,250,0.48816174,3.211943,0.9881423,318.1691368,NEGATED,remotely_true,3173681,253,6347362,126.5,123.5,0.494,7.782761e-05,7.877288e-05,remotely,6109,true,35146,1.8547735,7.810826,0.29584947
NEGany~remotely_close,694,0.45204094,3.0874858,0.95198905,729.8421605,NEGATED,remotely_close,3173681,729,6347362,364.5,329.5,0.47478387,0.00020764532,0.00021867352,remotely,6109,close,46485,1.2915341,12.507649,0.27966192
NEGmir~remotely_close,218,0.43579635,2.127896,0.93562233,211.7746734619141,NEGMIR,remotely_close,291735,233,583470,116.5,101.5,0.46559632,0.00069583696,0.0007472535,remotely,1963,close,4972,1.149422,6.8744473,0.27213058
NEGany~remotely_interested,330,0.40413284,1.965496,0.9041096,275.3616012,NEGATED,remotely_interested,3173681,365,6347362,182.5,147.5,0.4469697,9.2952e-05,0.0001039802,remotely,6109,interested,34247,0.9689835,8.119608,0.25725108
NEGany~remotely_funny,137,0.45805228,1.9534622,0.95804197,148.4451204,NEGATED,remotely_funny,3173681,143,6347362,71.5,65.5,0.47810218,4.127699e-05,4.316754e-05,remotely,6109,funny,15183,1.3254073,5.5960426,0.28241453
NEGany~remotely_comparable,118,0.44400874,1.624529,0.944,119.3346154,NEGATED,remotely_comparable,3173681,125,6347362,62.5,55.5,0.47033897,3.497516e-05,3.71808e-05,remotely,6109,comparable,2443,1.1986723,5.109189,0.276002
NEGany~remotely_ready,58,0.5000046,1.4866811,1.0,80.4056029,NEGATED,remotely_ready,3173681,58,6347362,29.0,29.0,0.5,1.8275308e-05,1.8275308e-05,remotely,6109,ready,29641,2.068194,3.8078866,0.30103
NEGany~remotely_surprising,75,0.47403172,1.4713031,0.97402596,88.1952762,NEGATED,remotely_surprising,3173681,77,6347362,38.5,36.5,0.48666668,2.3001681e-05,2.3631865e-05,remotely,6109,surprising,18886,1.480017,4.214657,0.28960052
NEGany~remotely_similar,152,0.4047726,1.4441805,0.9047619,127.2309871,NEGATED,remotely_similar,3173681,168,6347362,84.0,68.0,0.4473684,4.2852447e-05,4.789391e-05,remotely,6109,similar,11228,0.9658045,5.515528,0.2575643
NEGmir~remotely_true,61,0.4839224,1.4310464,0.983871,75.71836853027344,NEGMIR,remotely_true,291735,62,583470,31.0,30.0,0.4918033,0.0002056661,0.00020909387,remotely,1963,true,2870,1.6128732,3.8411064,0.29396814
NEGany~remotely_possible,164,0.38173163,1.2969542,0.8817204,122.6382217,NEGATED,remotely_possible,3173681,186,6347362,93.0,71.0,0.43292683,4.4742996e-05,5.167501e-05,remotely,6109,possible,30222,0.8640028,5.5441685,0.2463609
