           l1  l2                              f   E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple       f1    f2         N  
         here  comes                           5  0.00             48458                162           44        46030                   1               57371             105.97                5.64        1.0000         0.003               1.0000                0.003     1800     5  71961373  
        alone  around-the-world                9  0.00             32093                142           45        36314                   1               43969             187.65                5.81        1.0000         0.004               1.0000                0.004     2140     9  71961373  
       yearly  cost-of-living                  7  0.00             38876                163           46        45544                   1               56763             143.91                5.64        1.0000         0.003               1.0000                0.003     2474     7  71961373  
      loosely  confederated                    6  0.00             43436                173           47        49501                   1               62484             123.34                5.58        1.0000         0.002               1.0000                0.002     2477     6  71961373  
        early  warning                        23  0.00             16740                106           48        25173                   1               29168             463.26                6.05        1.0000         0.008               1.0000                0.008     3055    23  71961373  
    regularly  interspaced                     7  0.00             39647                185           49        52720                   1               67175             140.03                5.52        1.0000         0.002               1.0000                0.002     3263     7  71961373  
     secretly  auto-start                      8  0.00             36294                178           50        51226                   1               65146             158.76                5.54        1.0000         0.002               1.0000                0.002     3534     8  71961373  
      happily  ever-after                     27  0.00             15169                111           51        26011                   1               30297             532.45                6.02        0.9999         0.007               1.0000                0.007     3771    27  71961373  
    specially  notewothy                      24  0.00             16484                115           52        28150                   1               33107             472.97                5.97        0.9999         0.006               1.0000                0.006     3794    24  71961373  
    specially  madehouse                       5  0.00             51064                238           53        66981                   1               88549              98.51                5.32        0.9999         0.001               1.0000                0.001     3794     5  71961373  
    specially  maderesidential                 5  0.00             51064                238           53        66981                   1               88549              98.51                5.32        0.9999         0.001               1.0000                0.001     3794     5  71961373  
       double  scull                          14  0.00             24524                157           55        41926                   1               51632             272.57                5.69        0.9999         0.003               1.0000                0.003     4267    14  71961373  
       double  minor-game                      9  0.00             33799                188           56        53157                   1               67885             175.21                5.51        0.9999         0.002               1.0000                0.002     4267     9  71961373  
       double  bogey-bogey                     7  0.00             40442                213           57        60330                   1               78325             136.27                5.40        0.9999         0.002               1.0000                0.002     4267     7  71961373  
       double  minor-misconduct-game           6  0.00             45159                231           58        64923                   1               85493             116.80                5.34        0.9999         0.001               1.0000                0.001     4267     6  71961373  
       double  take                            5  0.00             51505                258           59        70790                   1               94535              97.34                5.27        0.9999         0.001               1.0000                0.001     4267     5  71961373  
       double  roughing                        5  0.00             51505                258           59        70790                   1               94535              97.34                5.27        0.9999         0.001               1.0000                0.001     4267     5  71961373  
     hitherto  unpbd                           7  0.00             40613                219           61        62113                   1               81135             135.40                5.38        0.9999         0.002               1.0000                0.002     4541     7  71961373  
          out  leg-before-wicket              15  0.00             23506                158           62        42257                   1               52057             289.58                5.68        0.9999         0.003               1.0000                0.003     4632    15  71961373  
   preferably  salt-packed                     6  0.00             45533                250           63        68523                   1               91178             115.44                5.29        0.9999         0.001               1.0000                0.001     4782     6  71961373  
   preferably  flat-leaf                       5  0.00             51937                281           64        74540                   1              100581              96.20                5.22        0.9999         0.001               1.0000                0.001     4782     5  71961373  
 individually  quick-frozen                    7  0.00             40861                230           65        64474                   1               84725             134.33                5.34        0.9999         0.001               1.0000                0.001     4901     7  71961373  
       gently  sustaineth                      8  0.00             37213                214           66        61026                   1               79411             153.20                5.39        0.9999         0.002               1.0000                0.002     5000     8  71961373  
 continuously  unfurlable                      8  0.00             37347                221           67        62492                   1               81754             152.40                5.37        0.9999         0.002               1.0000                0.002     5256     8  71961373  
 continuously  self-sharpen                    5  0.00             52321                296           68        77670                   1              105697              95.25                5.18        0.9999         0.001               1.0000                0.001     5256     5  71961373  
       either  ridi                           11  0.00             29787                193           69        54622                   1               69901             208.57                5.48        0.9999         0.002               1.0000                0.002     5498    11  71961373  
approximately  1630bst                         5  0.00             52658                312           70        80735                   1              110671              94.35                5.14        0.9999         0.001               1.0000                0.001     5748     5  71961373  
 additionally  approxi                         5  0.00             53058                329           71        84268                   1              116433              93.35                5.10        0.9999         0.001               1.0000                0.001     6355     5  71961373  
  religiously  indifferentist                 12  0.00             28338                204           72        56912                   1               73307             223.50                5.44        0.9999         0.002               1.0000                0.002     6504    12  71961373  
     properly  date-marked                     7  0.00             42462                320           73        80985                   1              111103             127.29                5.12        0.9999         0.001               1.0000                0.001     8105     7  71961373  
 artificially  inseminated                    10  0.00             33002                263           74        70414                   1               94036             181.04                5.25        0.9999         0.001               1.0000                0.001     8434    10  71961373  
 artificially  inseminate                      5  0.00             54230                371           75        94577                   1              132946              90.52                4.97        0.9999         0.001               1.0000                0.001     8434     5  71961373  
        right  analog-stick                   13  0.00             27720                254           76        68073                   1               90358             230.40                5.28        0.9999         0.001               1.0000                0.001    10208    13  71961373  
       longer  wheelbase                       8  0.00             39611                348           77        87889                   1              122329             140.21                5.04        0.9998         0.001               1.0000                0.001    11259     8  71961373  
     racially  profiling                       5  0.00             56372                461           78       112987                   1              163498              85.80                4.77        0.9998         0.000               1.0000                0.000    13513     5  71961373  
   officially  tapeout                         9  0.00             37089                363           79        91276                   1              127720             153.94                4.99        0.9998         0.001               1.0000                0.001    13903     9  71961373  
        first  period-1                       11  0.00             32205                343           80        86316                   1              119856             186.75                5.05        0.9998         0.001               1.0000                0.001    14812    11  71961373  
        first  baseman-designated              6  0.00             49834                447           81       109359                   1              157442             101.86                4.80        0.9998         0.000               1.0000                0.000    14812     6  71961373  
     remotely  synchronizable                  8  0.00             40660                402           82        99522                   1              141382             135.20                4.90        0.9998         0.001               1.0000                0.001    15394     8  71961373  
     famously  pinstripe-suited                5  0.00             57155                499           83       119699                   1              175221              84.15                4.70        0.9998         0.000               1.0000                0.000    15943     5  71961373  
    allegedly  swindling                       6  0.00             50237                468           84       113019                   1              163553             100.77                4.76        0.9998         0.000               1.0000                0.000    16230     6  71961373  
          non  grata                          69  0.02              8569                145           85        36833                   1               44725            1153.91                5.78        0.9998         0.004               1.0000                0.004    16848    69  71961373  
    medically  non-redeployable                5  0.00             57769                536           86       124793                   1              183288              82.92                4.64        0.9997         0.000               1.0000                0.000    18029     5  71961373  
     formerly  junta-run                       5  0.00             57992                554           87       126789                   1              186293              82.44                4.62        0.9997         0.000               1.0000                0.000    18918     5  71961373  
     strongly  noncosingular                   5  0.00             58040                558           88       127135                   1              186953              82.35                4.62        0.9997         0.000               1.0000                0.000    19078     5  71961373  
      roughly  150-mile                        5  0.00             58467                589           89       130782                   1              193154              81.47                4.58        0.9997         0.000               1.0000                0.000    20839     5  71961373  
         over  100-kilogram                    7  0.00             46302                509           90       120388                   1              176120             112.89                4.68        0.9997         0.000               1.0000                0.000    22661     7  71961373  
         over  105-kilogram                    7  0.00             46302                509           90       120388                   1              176120             112.89                4.68        0.9997         0.000               1.0000                0.000    22661     7  71961373  
         over  78-kilogram                     6  0.00             51729                562           92       126698                   1              186187              96.76                4.62        0.9997         0.000               1.0000                0.000    22661     6  71961373  
         over  80-kilogram                     6  0.00             51729                562           92       126698                   1              186187              96.76                4.62        0.9997         0.000               1.0000                0.000    22661     6  71961373  
         half  human-half                      5  0.00             59759                663           94       141105                   1              210546              78.90                4.47        0.9996         0.000               1.0000                0.000    26943     5  71961373  
    basically  abdicating                      7  0.00             47088                578           95       128319                   1              188954             110.18                4.59        0.9996         0.000               1.0000                0.000    27505     7  71961373  
      closely  undifference                    8  0.00             42962                544           96       124544                   1              182953             125.25                4.63        0.9996         0.000               1.0000                0.000    28671     8  71961373  
        newly  animal-tested                  11  0.00             34275                471           97       112059                   1              161879             171.94                4.76        0.9996         0.000               1.0000                0.000    29035    11  71961373  
        newly  weds                            8  0.00             43013                551           98       125068                   1              183653             125.05                4.62        0.9996         0.000               1.0000                0.000    29035     8  71961373  
 commercially  availabable                     5  0.00             60284                701           99       145290                   1              217932              77.86                4.42        0.9996         0.000               1.0000                0.000    29898     5  71961373  
     normally  ocean-cooled                    5  0.00             60520                715          100       146868                   1              220521              77.47                4.41        0.9996         0.000               1.0000                0.000    31081     5  71961373  
      legally  domiciled                       5  0.00             60702                726          101       148235                   1              222585              77.14                4.39        0.9996         0.000               1.0000                0.000    32126     5  71961373  
    primarily  para-professional              26  0.01             18758                347          102        86181                   1              119677             396.87                5.04        0.9995         0.001               1.0000                0.001    34889    26  71961373  
     strictly  coach-mode                      5  0.00             61364                768          103       152985                   1              230917              75.97                4.34        0.9995         0.000               1.0000                0.000    36109     5  71961373  
   thoroughly  cum-dumped                     46  0.02             12497                265          104        69517                   1               92670             694.89                5.25        0.9995         0.001               1.0000                0.001    37762    46  71961373  
       mainly  mud-and-thatch                  5  0.00             61851                796          105       156447                   1              236257              75.09                4.30        0.9995         0.000               1.0000                0.000    39432     5  71961373  
       wholly  inadviseable                    7  0.00             48743                691          106       143046                   1              213680             105.07                4.44        0.9994         0.000               1.0000                0.000    39615     7  71961373  
      heavily  sold-off                        7  0.00             49116                718          107       146379                   1              219733             103.92                4.40        0.9994         0.000               1.0000                0.000    43002     7  71961373  
      heavily  state-influenced                6  0.00             54896                772          108       152649                   1              230331              89.07                4.34        0.9994         0.000               1.0000                0.000    43002     6  71961373  
     directly  propotional                     5  0.00             63054                888          109       164553                   1              250374              72.99                4.21        0.9993         0.000               1.0000                0.000    48680     5  71961373  
    naturally  nutralent                       5  0.00             63093                892          110       164810                   1              250672              72.93                4.21        0.9993         0.000               1.0000                0.000    48957     5  71961373  
         best  middle-distance                 7  0.00             49981                784          111       153502                   1              231482             101.48                4.32        0.9993         0.000               1.0000                0.000    51182     7  71961373  
         best  recipe                          6  0.00             55818                836          112       159530                   1              241703              86.98                4.26        0.9993         0.000               1.0000                0.000    51182     6  71961373  
    obviously  co-existential                 20  0.01             23514                472          113       111392                   1              160861             289.38                4.75        0.9993         0.000               1.0000                0.000    51914    20  71961373  
   apparently  never-inspected                 6  0.00             55927                847          114       160337                   1              243308              86.74                4.25        0.9993         0.000               1.0000                0.000    52212     6  71961373  
      exactly  late-career                    35  0.03             15818                379          115        92670                   1              130106             500.98                4.96        0.9992         0.001               1.0000                0.001    56109    35  71961373  
         then  hutu-extremist                  6  0.00             56556                899          116       164534                   1              250190              85.40                4.20        0.9992         0.000               1.0000                0.000    58399     6  71961373  
         then  co-prime                        6  0.00             56556                899          116       164534                   1              250190              85.40                4.20        0.9992         0.000               1.0000                0.000    58399     6  71961373  
    genuinely  plan-led                        5  0.00             64294                994          118       171619                   1              261921              71.06                4.13        0.9992         0.000               1.0000                0.000    59030     5  71961373  
         long  pauses                          7  0.01             51374                897          119       164055                   1              249539              97.65                4.20        0.9991         0.000               1.0000                0.000    67288     7  71961373  
        about  untravel                       10  0.01             39876                770          120       151221                   1              227593             138.91                4.34        0.9990         0.000               1.0000                0.000    69284    10  71961373  
        about  30km                            7  0.01             51533                913          121       165192                   1              251442              97.24                4.19        0.9990         0.000               1.0000                0.000    69284     7  71961373  
        about  bobosbest                       7  0.01             51533                913          121       165192                   1              251442              97.24                4.19        0.9990         0.000               1.0000                0.000    69284     7  71961373  
        about  50km                            6  0.01             57546                991          123       170855                   1              260575              83.35                4.13        0.9990         0.000               1.0000                0.000    69284     6  71961373  
        about  8pm                             5  0.00             65371               1097          124       177242                   1              270294              69.46                4.06        0.9990         0.000               1.0000                0.000    69284     5  71961373  
        about  johndiestler                    5  0.00             65371               1097          124       177242                   1              270294              69.46                4.06        0.9990         0.000               1.0000                0.000    69284     5  71961373  
   previously  unscoreable                     6  0.01             58181               1062          126       174624                   1              266501              82.07                4.08        0.9989         0.000               1.0000                0.000    77056     6  71961373  
   previously  mentio                          5  0.01             66061               1165          127       180787                   1              275794              68.39                4.01        0.9989         0.000               1.0000                0.000    77056     5  71961373  
   previously  undisplayed                     5  0.01             66061               1165          127       180787                   1              275794              68.39                4.01        0.9989         0.000               1.0000                0.000    77056     5  71961373  
