         l1  l2                    f      E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1     f2        N  
-----------  ----------------  -----  -------  ----------------  -----------------  -----------  -----------  ------------------  ------------------  -----------------  ------------------  ------------  ------------  -------------------  -------------------  ------  -----  -------  
      smack  dab                   7     0.00              4364                  3            1            1                   1                   1             206.05                8.28        1.0000         1.000               1.0000                1.000       7      7  6347362  
       ipso  facto                 7     0.00              4364                  3            1            1                   1                   1             206.05                8.28        1.0000         1.000               1.0000                1.000       7      7  6347362  
         de  rigueur               9     0.00              3705                  5            3           55                   1                  56             253.89                7.91        1.0000         0.900               1.0000                0.900      10      9  6347362  
         ex  cathedra              5     0.00              6467                 10            4          714                   1                 726             125.52                6.53        1.0000         0.200               1.0000                0.200      25      5  6347362  
        hip  flexor                5     0.00              6491                 12            5          745                   1                 763             125.08                6.51        1.0000         0.192               1.0000                0.192      26      5  6347362  
     triple  lutz-double           5     0.00              6666                 15            6         1059                   1                1076             120.95                6.32        1.0000         0.132               1.0000                0.132      38      5  6347362  
       deep  throated              5     0.00              7078                 20            7         2040                   1                2143             112.15                5.92        1.0000         0.057               1.0000                0.057      88      5  6347362  
        out  batsmen              22     0.00              2401                 22            8         2037                   1                2141             428.30                5.89        0.9999         0.057               1.0000                0.057     387     22  6347362  
      right  brained               8     0.00              5634                 37            9         5057                   1                5737             149.92                5.30        0.9999         0.015               1.0000                0.015     545      8  6347362  
        non  grata                 5     0.00              8507                 58           10         8899                   1               10802              88.94                4.91        0.9999         0.006               1.0000                0.006     873      5  6347362  
   properly  date-marked           7     0.00              6654                 55           11         8380                   1               10052             121.28                4.94        0.9998         0.006               1.0000                0.006    1101      7  6347362  
  massively  multiplayer           7     0.00              6714                 59           12         8829                   1               10707             120.00                4.90        0.9998         0.006               1.0000                0.006    1206      7  6347362  
  massively  multi-player          6     0.00              7599                 63           13         9622                   1               11794             102.85                4.84        0.9998         0.005               1.0000                0.005    1206      6  6347362  
      again  off-again            11     0.00              4745                 46           14         7200                   1                8449             186.44                5.04        0.9998         0.008               1.0000                0.008    1330     11  6347362  
       over  unmoistened           7     0.00              7023                 85           15        11283                   1               14298             113.63                4.70        0.9997         0.004               1.0000                0.004    1899      7  6347362  
       best  buy                  10     0.00              5535                 88           16        11663                   1               14849             153.93                4.67        0.9995         0.003               1.0000                0.003    2890     10  6347362  
       once  were                  5     0.00             10088                160           17        19900                   1               27431              71.72                4.16        0.9992         0.001               1.0000                0.001    4877      5  6347362  
     wholly  inadviseable          7     0.01              7876                149           18        18611                   1               25258              98.18                4.22        0.9991         0.001               1.0000                0.001    5719      7  6347362  
  perfectly  cromulent             6     0.01              9626                228           19        24675                   1               35229              76.41                3.88        0.9983         0.001               1.0000                0.001   10900      6  6347362  
  currently  breedable             6     0.01              9745                252           20        25532                   1               36406              75.11                3.83        0.9981         0.000               1.0000                0.000   12145      6  6347362  
     nearly  century-old           9     0.02              7335                236           21        24657                   1               35178             107.36                3.87        0.9974         0.001               1.0000                0.001   16305      9  6347362  
     nearly  30-year               6     0.02             10109                303           22        27812                   1               40090              71.57                3.70        0.9974         0.000               1.0000                0.000   16305      6  6347362  
     nearly  weeklong              6     0.02             10109                303           22        27812                   1               40090              71.57                3.70        0.9974         0.000               1.0000                0.000   16305      6  6347362  
     nearly  three-month           5     0.01             11675                334           24        29210                   1               42382              59.64                3.63        0.9974         0.000               1.0000                0.000   16305      5  6347362  
     nearly  two-decade            5     0.01             11675                334           24        29210                   1               42382              59.64                3.63        0.9974         0.000               1.0000                0.000   16305      5  6347362  
     nearly  two-month             5     0.01             11675                334           24        29210                   1               42382              59.64                3.63        0.9974         0.000               1.0000                0.000   16305      5  6347362  
     nearly  full-term             5     0.01             11675                334           24        29210                   1               42382              59.64                3.63        0.9974         0.000               1.0000                0.000   16305      5  6347362  
     nearly  monthlong             5     0.01             11675                334           24        29210                   1               42382              59.64                3.63        0.9974         0.000               1.0000                0.000   16305      5  6347362  
        now  lettest               5     0.02             12049                384           29        31010                   1               45694              57.32                3.53        0.9968         0.000               1.0000                0.000   20566      5  6347362  
        far  fetched               6     0.02             10469                352           30        29714                   1               43704              68.57                3.59        0.9967         0.000               1.0000                0.000   20945      6  6347362  
      super  duper                42     0.14              2184                119           31        15458                   1               20290             476.70                4.39        0.9966         0.002               1.0000                0.002   21797     42  6347362  
      truly  madly                 6     0.02             10751                388           32        31187                   1               46082              66.33                3.51        0.9960         0.000               1.0000                0.000   25234      6  6347362  
      fully  multi-coated          8     0.03              8605                344           33        29190                   1               42332              87.95                3.62        0.9959         0.000               1.0000                0.000   26031      8  6347362  
    exactly  late-career          35     0.24              2855                192           34        21861                   1               30701             347.44                4.00        0.9930         0.001               1.0000                0.001   44378     35  6347362  
        yet  begun                 7     0.06             10700                549           35        35256                   1               53194              66.79                3.24        0.9915         0.000               1.0000                0.000   53779      7  6347362  
       less  postoperative         5     0.05             14210                763           36        38465                   1               58872              45.74                3.02        0.9897         0.000               1.0000                0.000   65456      5  6347362  
     pretty  sharpish              5     0.06             14414                804           37        38984                   1               59877              44.85                2.98        0.9887         0.000               1.0000                0.000   71559      5  6347362  
       just  whistlin             12     0.15              7476                514           38        34328                   1               51435             105.01                3.29        0.9874         0.000               1.0000                0.000   79880     12  6347362  
       even  unhappier             7     0.13             12392                929           39        40145                   1               61824              55.29                2.88        0.9807         0.000               1.0000                0.000  122338      7  6347362  
       even  non-fans              5     0.10             15852               1142           40        41790                   1               64531              39.49                2.75        0.9807         0.000               1.0000                0.000  122338      5  6347362  
       only  web-development      10     0.20              9489                781           41        38342                   1               58686              78.01                3.01        0.9798         0.000               1.0000                0.000  128409     10  6347362  
        far  away                 44     0.15              2122                208           42        14867                  69               19481             493.33                3.95        0.9745         0.002               0.9778                0.002   20945     45  6347362  
       slam  dunk                 38     0.00              1174                  8           43           89                  70                  89             938.16                7.28        0.9744         0.826               0.9744                0.826      46     39  6347362  
       fait  accompli             35     0.00              1205                  1           44            4                  71                   1             908.43                8.48        0.9722         1.000               0.9722                1.000      35     36  6347362  
     really  rape                 11     0.32              9488                919           45        39836                   1               61429              78.02                2.89        0.9712         0.000               1.0000                0.000  182968     11  6347362  
     really  beef                  6     0.17             15001               1315           46        42792                   1               66327              42.56                2.64        0.9712         0.000               1.0000                0.000  182968      6  6347362  
      nerve  wracking             27     0.00              1520                  2           47            3                  72                   1             713.23                8.37        0.9643         1.000               0.9643                1.000      27     28  6347362  
       bone  marrow               54     0.00               888                  9           48          100                  76                 101            1276.20                6.83        0.9474         0.794               0.9474                0.794      68     57  6347362  
       most  trending              9     0.49             12900               1593           49        43686                   1               67802              52.32                2.52        0.9453         0.000               1.0000                0.000  346992      9  6347362  
       most  deadliest             7     0.38             15498               1887           50        44583                   1               69111              40.69                2.41        0.9453         0.000               1.0000                0.000  346992      7  6347362  
       most  cofy                  6     0.33             17223               2099           51        45083                   1               70080              34.88                2.35        0.9453         0.000               1.0000                0.000  346992      6  6347362  
       most  cervical              6     0.33             17223               2099           51        45083                   1               70080              34.88                2.35        0.9453         0.000               1.0000                0.000  346992      6  6347362  
       most  unlikeliest           6     0.33             17223               2099           51        45083                   1               70080              34.88                2.35        0.9453         0.000               1.0000                0.000  346992      6  6347362  
