key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,first_char
highly~successful,highly,successful,1137,178.360642,2350.67032,0.83000803,0.030623471,0.026791122,0.03614113,0.03159562,35986,31460,6347362,1137.0,34849.0,30323.0,6281053.0,35986.0,6311376.0,31460.0,6315902.0,35807.639358209,31281.639358209,6280094.360641791,28.42988,0.033715863,0.8044614,0.026791122,0.030623471,0.030623471,0.028707296,958.639358,0.84313047,2.4771097,2.4640844,2.482912,2.4968913,2.592839,2.5158694,33.71943060017473,189.6997627831938,177.36967046256808,h
very~effective,very,effective,5015,3807.190865,391.41249,0.13537246,0.030314429,0.002214266,0.12507482,0.008320972,602694,40096,6347362,5015.0,597679.0,35081.0,5709587.0,602694.0,5744668.0,40096.0,6307266.0,598886.809134882,36288.809134882,5708379.190865118,17.055437,0.015603852,0.119666286,0.002214266,0.030314429,0.030314429,0.016264347,1207.809135,0.2408393,0.32825878,0.32195002,0.33107245,0.33785972,0.38476986,0.3470932,70.81666470542086,776.3336911406074,200.23985617254124,v
most~active,most,active,1376,885.826207,248.1428,0.20607838,0.030099707,0.001505015,0.08427758,0.003995609,344378,16327,6347362,1376.0,343002.0,14951.0,5988033.0,344378.0,6002984.0,16327.0,6331035.0,343492.173792829,15441.173792829,5987542.826207171,13.2142,0.007629503,0.1912699,0.001505015,0.030099707,0.030099707,0.015802361,490.17379300000005,0.35623094,0.45889387,0.44684854,0.4642613,0.477197,0.56614685,0.49476805,37.094473981982816,586.8372857956454,127.77714975691076,m
very~important,very,important,17228,13209.136822,1274.72807,0.1327411,0.029536335,0.007367747,0.123840876,0.028584987,602694,139114,6347362,17228.0,585466.0,121886.0,5622782.0,602694.0,5744668.0,139114.0,6208248.0,589484.86317812,125904.86317812,5618763.13682188,30.618633,0.046448678,0.115360424,0.007367747,0.029536335,0.029536335,0.01845204,4018.8631779999996,0.23327509,0.36667866,0.36331028,0.36818147,0.37180805,0.39692777,0.37674493,131.25547607623844,776.3336911406074,372.9798922194064,v
that~good,that,good,10941,5284.485893,4982.24673,0.3446971,0.02902808,0.034852374,0.05436684,0.06564233,166676,201244,6347362,10941.0,155735.0,190303.0,5990383.0,166676.0,6180686.0,201244.0,6146118.0,161391.514107436,195959.514107436,5984726.485892564,54.07797,0.059474885,0.31605428,0.02902808,0.034852374,0.034852374,0.03194023,5656.514107,0.51700157,1.0154707,1.0113823,1.0172944,1.0216947,1.0521398,1.0276827,104.59923517884822,408.2597212559672,448.60227373476386,t
too~familiar,too,familiar,1906,1338.509698,230.95856,0.16789965,0.028991658,0.001407465,0.09707156,0.00440493,432697,19635,6347362,1906.0,430791.0,17729.0,5896936.0,432697.0,5914665.0,19635.0,6327727.0,431358.490301798,18296.490301798,5896368.509698202,12.998612,0.008427438,0.15350138,0.001407465,0.028991658,0.028991658,0.015199562,567.4903019999999,0.29773888,0.3652861,0.3550572,0.36984545,0.380837,0.456546,0.39577475,43.657759905886145,657.7970811732141,140.12494424619766,t
particularly~concerned,particularly,concerned,1118,328.46064,1191.37755,0.5496089,0.0289676,0.010492478,0.040841676,0.014679236,76162,27374,6347362,1118.0,75044.0,26256.0,6244944.0,76162.0,6271200.0,27374.0,6319988.0,75833.539359501,27045.539359501,6244154.460640499,23.613092,0.021596354,0.53195846,0.010492478,0.0289676,0.0289676,0.019730039,789.53936,0.7062069,1.5670751,1.5539064,1.5729413,1.5870742,1.684075,1.6062608,33.436506994600975,275.9746365157494,165.4508990607183,p
as~cold,as,cold,1266,990.795697,79.24518,0.12093274,0.0287554,0.000467796,0.13208137,0.001929516,656123,9585,6347362,1266.0,654857.0,8319.0,5682920.0,656123.0,5691239.0,9585.0,6337777.0,655132.2043033,8594.2043033,5682644.7956967,7.734609,0.003803469,0.1064496,0.000467796,0.0287554,0.0287554,0.014611598,275.204303,0.21738097,0.1619246,0.14905109,0.16766144,0.1814884,0.2766046,0.20027222,35.58089374931439,810.0141974064405,97.90301323248433,a
highly~effective,highly,effective,1368,227.321942,2698.98572,0.80635685,0.028629526,0.03187856,0.034118116,0.038014784,35986,40096,6347362,1368.0,34618.0,38728.0,6272648.0,35986.0,6311376.0,40096.0,6307266.0,35758.678058066,39868.678058066,6271507.321941935,30.840403,0.0359612,0.77944475,0.028629526,0.03187856,0.03187856,0.030254044,1140.678058,0.833829,2.4129467,2.4011383,2.418208,2.4308856,2.5179884,2.4481018,36.98648401781386,189.6997627831938,200.23985617254124,h
even~possible,even,possible,1440,587.070161,908.93557,0.405512,0.028149536,0.007105854,0.047296852,0.011765475,122392,30446,6347362,1440.0,120952.0,29006.0,6195964.0,122392.0,6224970.0,30446.0,6316916.0,121804.929838884,29858.929838884,6195111.070161115,22.476675,0.018843481,0.3896725,0.007105854,0.028149536,0.028149536,0.017627694,852.929839,0.5923124,1.1223742,1.1108106,1.1275266,1.1399434,1.225295,1.1568079,37.94733192202055,349.8456802648848,174.48782192462602,e
always~clear,always,clear,4012,1684.297962,2419.63583,0.39772686,0.028007707,0.018712817,0.047633182,0.03160822,126929,84227,6347362,4012.0,122917.0,80215.0,6140218.0,126929.0,6220433.0,84227.0,6263135.0,125244.702037634,82542.702037634,6137890.297962366,36.74912,0.03800034,0.376942,0.018712817,0.028007707,0.028007707,0.023360262,2327.702038,0.58018494,1.1665099,1.1597081,1.1695427,1.1768569,1.2273418,1.1868033,63.340350488452465,356.2709642954362,290.21888291425836,a
most~serious,most,serious,1798,1188.787776,288.62004,0.19356982,0.027900256,0.001870507,0.08205924,0.005221007,344378,21911,6347362,1798.0,342580.0,20113.0,5982871.0,344378.0,6002984.0,21911.0,6325451.0,343189.212223598,20722.212223598,5982261.787776402,14.367254,0.009817385,0.17968535,0.001870507,0.027900256,0.027900256,0.014885382,609.2122240000001,0.3388277,0.44563887,0.43517163,0.4503041,0.46154994,0.53897476,0.47683123,42.40283009422838,586.8372857956454,148.02364675956338,m
