colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
as_good,2313,960,3273,70.26485,82.83004,85.85296,0.70669,0.29331,0.7995,2.52667,2314,961
too_early,2790,142,2932,84.78351,12.20848,76.89437,0.95157,0.04843,1.07654,0.4172,2791,143
very_good,2218,598,2816,67.3733,51.57698,73.84687,0.78764,0.21236,0.89108,1.82933,2219,599
too_late,2303,319,2622,69.96048,27.48967,68.7502,0.87834,0.12166,0.99369,1.04805,2304,320
very_important,2413,30,2443,73.3086,2.53902,64.0476,0.98772,0.01228,1.11744,0.10578,2414,31
immediately_available,61,2335,2396,1.71974,201.53989,62.81284,0.02546,0.97454,0.0288,8.39504,62,2336
very_difficult,2166,13,2179,65.79055,1.07134,57.11192,0.99403,0.00597,1.12458,0.05139,2167,14
too_much,1797,98,1895,54.55914,8.40976,49.65081,0.94828,0.05172,1.07282,0.44549,1798,99
too_high,1729,46,1775,52.48939,3.92037,46.49822,0.97408,0.02592,1.10201,0.22325,1730,47
very_happy,1336,85,1421,40.52748,7.28741,37.19811,0.94018,0.05982,1.06366,0.51529,1337,86
so_good,1080,224,1304,32.73549,19.2879,34.12434,0.82822,0.17178,0.93699,1.47977,1081,225
very_hard,1264,17,1281,38.33598,1.41667,33.52009,0.98673,0.01327,1.11632,0.11432,1265,18
so_bad,710,522,1232,21.47364,45.01556,32.23279,0.5763,0.4237,0.65198,3.64991,711,523
as_high,998,232,1230,30.23962,19.97858,32.18025,0.81138,0.18862,0.91794,1.62482,999,233
too_busy,1182,28,1210,35.84011,2.36635,31.65482,0.97686,0.02314,1.10515,0.19934,1183,29
pretty_good,1203,3,1206,36.4793,0.20799,31.54973,0.99751,0.00249,1.12852,0.02143,1204,4
so_sure,126,1045,1171,3.69818,90.16847,30.63023,0.1076,0.8924,0.12173,7.68745,127,1046
too_small,1059,54,1113,32.09631,4.61105,29.10648,0.95148,0.04852,1.07644,0.41795,1060,55
no_different,1098,0,1098,33.28337,-0.05101,28.71241,1.0,0.0,1.13133,0.0,1099,1
as_bad,482,613,1095,14.53391,52.87199,28.63359,0.44018,0.55982,0.49799,4.82246,483,614
as_important,812,257,1069,24.57826,22.13694,27.95053,0.75959,0.24041,0.85935,2.07099,813,258
as_strong,465,579,1044,14.01647,49.93662,27.29374,0.4454,0.5546,0.5039,4.7775,466,580
very_pleased,1013,13,1026,30.69618,1.07134,26.82086,0.98733,0.01267,1.117,0.10915,1014,14
as_much,864,139,1003,26.16101,11.94947,26.21661,0.86142,0.13858,0.97455,1.19381,865,140
still_alive,979,6,985,29.66131,0.46699,25.74373,0.99391,0.00609,1.12444,0.05247,980,7
as_likely,931,52,983,28.20032,4.43838,25.69118,0.9471,0.0529,1.07148,0.45569,932,53
very_strong,888,44,932,26.89151,3.7477,24.35133,0.95279,0.04721,1.07792,0.40669,889,45
very_different,874,54,928,26.46538,4.61105,24.24625,0.94181,0.05819,1.0655,0.50127,875,55
too_expensive,878,29,907,26.58713,2.45269,23.69455,0.96803,0.03197,1.09516,0.27543,879,30
too_bad,730,162,892,22.08239,13.93517,23.30047,0.81839,0.18161,0.92586,1.56449,731,163
so_great,740,107,847,22.38676,9.18677,22.11826,0.87367,0.12633,0.98841,1.08824,741,108
all_right,841,4,845,25.46095,0.29433,22.06571,0.99527,0.00473,1.12598,0.04078,842,5
well_aware,838,0,838,25.36963,-0.05101,21.88181,1.0,0.0,1.13133,0.0,839,1
very_close,795,26,821,24.06082,2.19368,21.4352,0.96833,0.03167,1.0955,0.27281,796,27
too_low,816,3,819,24.70001,0.20799,21.38265,0.99634,0.00366,1.12719,0.03155,817,4
so_strong,780,34,814,23.60426,2.88436,21.2513,0.95823,0.04177,1.08408,0.35981,781,35
so_important,720,94,814,21.77802,8.06442,21.2513,0.88452,0.11548,1.00069,0.99478,721,95
