colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
as_prolonged,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
as_stealthy,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
as_stoic,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
as_tiring,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
as_upsetting,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
bit_angry,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
classically_handsome,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
darn_busy,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
easily_discernible,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
easily_pigeon-holed,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
economically_powerful,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
entirely_bleak,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
entirely_comparable,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
entirely_discouraged,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
entirely_forthcoming,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
entirely_joking,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
entirely_rosy,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
entirely_unhappy,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
entirely_unusual,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
especially_competent,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
even_competitive,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
even_important,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
even_interesting,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
even_jewish,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
even_much,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
even_official,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_certain,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_comfortable,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_earth-shaking,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_earthshaking,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_ecstatic,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_fair,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_free,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_friendly,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_inspired,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_radical,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_ready,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_reassuring,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_sanguine,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_subtle,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_sunny,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
exactly_user-friendly,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
far_fetched,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
fully_fit,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
fully_honest,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
fully_printable,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
fully_productive,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
inherently_deceptive,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
just_acceptable,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
legally_obscene,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
literally_real,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
mentally_stable,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
merely_physical,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
morally_suitable,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
much_relative,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
nearly_long,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
necessarily_final,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
necessarily_happy,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
necessarily_incompatible,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
necessarily_permanent,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
necessarily_satisfied,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
necessarily_surprising,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
necessarily_valid,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
only_permissible,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
only_risky,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
only_unpersuasive,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
only_useless,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
overly_pleased,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
particularly_forthcoming,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
particularly_practical,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
particularly_pretty,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
particularly_wise,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
politically_skewed,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
quite_cheeky,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
quite_ripe,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
real_fond,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
really_certain,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
really_fishermen,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
really_homeless,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
really_settled,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
really_trained,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
simply_black,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
slam_dunks,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
so_encumbered,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
so_obliging,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
so_results-oriented,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
spectacularly_troubled,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
strictly_comparable,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
stubbornly_cryptic,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
terribly_confident,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
terribly_helpful,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
terribly_original,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
terribly_productive,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
terribly_specific,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
terribly_strong,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
terribly_useful,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_afraid,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_bleak,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_certain,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_convincing,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_costly,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_crucial,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_disappointing,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_emotional,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_enjoyable,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_enormous,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_exotic,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_horrendous,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_knowledgeable,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_plentiful,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_relevant,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_scared,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_strict,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_terrible,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_valuable,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
that_wonderful,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
too_encouraging,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
totally_pleased,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
totally_satisfying,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
very_mixable,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
yet_accustomed,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
yet_committed,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
yet_conclusive,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
yet_confident,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
yet_developed,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
yet_proficient,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
yet_sophisticated,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
yet_underway,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
yet_worried,0,3,3,-0.13694,0.20799,-0.0549,0.0,1.0,0.0,8.61435,1,4
about_asian-americans,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
about_mel,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
absolutely_representative,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
academically_ready,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
actually_sure,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
adequately_prepared,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
all_cold-blooded,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
all_harsh,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
all_romantic,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
all_squooshy,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
alone_sufficient,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
already_factionalized,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
altogether_bleak,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
altogether_convinced,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
altogether_convincing,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
altogether_inapt,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
altogether_salutary,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
altogether_smooth,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
altogether_sound,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
altogether_true,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
altogether_unexpected,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
altogether_unhappy,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
always_economical,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
always_exact,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
always_favorable,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
always_light,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
always_painless,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
always_palatable,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
always_sexy,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
always_stable,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
always_steady,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
always_sympathetic,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
always_synchronous,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
always_unexpected,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_all-encompassing,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_bone-dry,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_burdensome,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_categorical,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_comely,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_conclusive,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_contemplative,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_creamy,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_cutting-edge,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_emphatic,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_fail-safe,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_foolhardy,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_freaky,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
