    l1  l2                             f     E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1   f2       N  
------  ---------------------------  ---  ------  ----------------  -----------------  -----------  -----------  ------------------  ------------------  -----------------  ------------------  ------------  ------------  -------------------  -------------------  ------  ---  ------  
NEGMIR  ever_easy                    368  184.00                59                  1            1           94                   1                 151             510.39               2.868     0.5003156      0.001261                 1.00             0.001261  291735  368  583470  
NEGMIR  entirely_sure                364  182.00                61                  2            2           96                   1                 153             504.84               2.863     0.5003121      0.001248                 1.00             0.001248  291735  364  583470  
POSMIR  even_impossible              273  136.50                86                  3            3          131                   1                 219             378.59               2.738     0.5002341      0.000936                 1.00             0.000936  291735  273  583470  
NEGMIR  particularly_wrong           212  106.00               106                  4            4          170                   1                 302             293.97               2.629     0.5001817      0.000727                 1.00             0.000727  291735  212  583470  
NEGMIR  necessarily_wrong            211  105.50               108                  5            5          175                   1                 307             292.58               2.627     0.5001809      0.000723                 1.00             0.000723  291735  211  583470  
NEGMIR  ever_simple                  206  103.00               111                  6            6          180                   1                 314             285.65               2.616     0.5001766      0.000706                 1.00             0.000706  291735  206  583470  
NEGMIR  ever_perfect                 206  103.00               111                  6            6          180                   1                 314             285.65               2.616     0.5001766      0.000706                 1.00             0.000706  291735  206  583470  
NEGMIR  too_surprising               205  102.50               114                  8            8          184                   1                 318             284.26               2.614     0.5001757      0.000703                 1.00             0.000703  291735  205  583470  
POSMIR  even_higher                  194   97.00               121                  9            9          197                   1                 337             269.01               2.590     0.5001663      0.000665                 1.00             0.000665  291735  194  583470  
NEGMIR  truly_alone                  187   93.50               128                 10           10          207                   1                 355             259.30               2.574     0.5001603      0.000641                 1.00             0.000641  291735  187  583470  
NEGMIR  before_available             176   88.00               139                 11           11          223                   1                 375             244.04               2.548     0.5001509      0.000603                 1.00             0.000603  291735  176  583470  
NEGMIR  exactly_sure                 148   74.00               162                 13           12          269                   1                 454             205.21               2.473     0.5001269      0.000507                 1.00             0.000507  291735  148  583470  
NEGMIR  ever_enough                  147   73.50               167                 14           13          271                   1                 457             203.82               2.470     0.5001260      0.000504                 1.00             0.000504  291735  147  583470  
NEGMIR  not_funny                    146   73.00               169                 15           14          276                   1                 459             202.44               2.467     0.5001251      0.000500                 1.00             0.000500  291735  146  583470  
NEGMIR  ever_certain                 143   71.50               172                 16           15          281                   1                 468             198.28               2.458     0.5001226      0.000490                 1.00             0.000490  291735  143  583470  
NEGMIR  too_impressed                131   65.50               192                 17           16          314                   1                 520             181.63               2.420     0.5001123      0.000449                 1.00             0.000449  291735  131  583470  
POSMIR  pretty_close                 123   61.50               205                 18           17          337                   1                 551             170.54               2.393     0.5001054      0.000422                 1.00             0.000422  291735  123  583470  
POSMIR  even_lower                   122   61.00               207                 19           18          341                   1                 554             169.15               2.389     0.5001046      0.000418                 1.00             0.000418  291735  122  583470  
POSMIR  far_greater                  122   61.00               207                 19           18          341                   1                 554             169.15               2.389     0.5001046      0.000418                 1.00             0.000418  291735  122  583470  
POSMIR  even_greater                 117   58.50               217                 21           20          355                   1                 577             162.22               2.371     0.5001003      0.000401                 1.00             0.000401  291735  117  583470  
NEGMIR  too_spectacular              112   56.00               225                 23           21          370                   1                 606             155.29               2.352     0.5000960      0.000384                 1.00             0.000384  291735  112  583470  
NEGMIR  particularly_remarkable      108   54.00               238                 24           22          383                   1                 629             149.74               2.337     0.5000926      0.000370                 1.00             0.000370  291735  108  583470  
NEGMIR  too_drastic                  105   52.50               247                 25           23          394                   1                 652             145.58               2.324     0.5000900      0.000360                 1.00             0.000360  291735  105  583470  
NEGMIR  less_true                    102   51.00               254                 26           24          412                   1                 677             141.42               2.312     0.5000874      0.000350                 1.00             0.000350  291735  102  583470  
NEGMIR  ever_wrong                   102   51.00               254                 26           24          412                   1                 677             141.42               2.312     0.5000874      0.000350                 1.00             0.000350  291735  102  583470  
POSMIR  already_familiar             101   50.50               260                 28           26          414                   1                 685             140.03               2.308     0.5000866      0.000346                 1.00             0.000346  291735  101  583470  
POSMIR  pretty_excited                95   47.50               271                 31           27          434                   1                 729             131.71               2.281     0.5000814      0.000326                 1.00             0.000326  291735   95  583470  
POSMIR  too_true                      95   47.50               271                 31           27          434                   1                 729             131.71               2.281     0.5000814      0.000326                 1.00             0.000326  291735   95  583470  
POSMIR  even_younger                  90   45.00               292                 33           29          459                   1                 790             124.78               2.258     0.5000771      0.000308                 1.00             0.000308  291735   90  583470  
POSMIR  completely_unrelated          90   45.00               292                 33           29          459                   1                 790             124.78               2.258     0.5000771      0.000308                 1.00             0.000308  291735   90  583470  
NEGMIR  any_worse                     87   43.50               308                 35           31          474                   1                 824             120.62               2.243     0.5000746      0.000298                 1.00             0.000298  291735   87  583470  
POSMIR  extremely_innovative          85   42.50               313                 36           32          492                   1                 843             117.85               2.233     0.5000729      0.000291                 1.00             0.000291  291735   85  583470  
NEGMIR  not_enough                    80   40.00               333                 37           33          516                   1                 897             110.91               2.207     0.5000686      0.000274                 1.00             0.000274  291735   80  583470  
NEGMIR  even_light                    79   39.50               336                 38           34          526                   1                 907             109.53               2.202     0.5000677      0.000271                 1.00             0.000271  291735   79  583470  
POSMIR  now_live                      77   38.50               341                 39           35          536                   1                 933             106.75               2.190     0.5000660      0.000264                 1.00             0.000264  291735   77  583470  
