hit_id,colloc,sent_text,neg_form,adv_form,adj_form,hit_text,text_window,sent_id,match_id,colloc_id,token_str,lemma_str,context_prev_id,context_prev_sent,context_next_id,context_next_sent,neg_lemma,adv_lemma,adj_lemma,neg_index,adv_index,adj_index,dep_neg,dep_mod,json_source,utt_len,category
target_46:3-4-5,really_good,But you ain't really good,ain't,really,good,ain't really good,But you ain't really good,target_46,3-4-5,target_46:4-5,But you ain't really good,but you ain't really good,target_45,"""It ain't that bad."" she called up to us.",target_47,That ain't too bad.,ain't,really,good,2,3,4,"{'node': 'neg', 'contiguous': False, 'relation': 'aux', 'head': {'lemma': 'good', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': ""ain't"", 'ix': 2, 'xpos': 'VBP'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'good', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'really', 'ix': 3, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,5,RBcontig
target_45:4-5-6,that_bad,"""It ain't that bad."" she called up to us.",n't,that,bad,n't that bad,""" It ai n't that bad . "" she",target_45,4-5-6,target_45:5-6,""" It ai n't that bad . "" she called up to us .",""" it be not that bad . "" she call up to we .",target_44,He ain't that tough but staying away from him does help.,target_46,But you ain't really good,not,that,bad,3,4,5,"{'node': 'neg', 'contiguous': False, 'relation': 'advmod', 'head': {'lemma': 'bad', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 3, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'bad', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': 'that', 'ix': 4, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,14,RBcontig
target_44:3-4-5,that_tough,He ain't that tough but staying away from him does help.,n't,that,tough,n't that tough,He ai n't that tough but staying away,target_44,3-4-5,target_44:4-5,He ai n't that tough but staying away from him does help .,he be not that tough but stay away from he do help .,target_43,Usually diets ain't that healthy after all but this one makes a difference.,target_45,"""It ain't that bad."" she called up to us.",not,that,tough,2,3,4,"{'node': 'neg', 'contiguous': False, 'relation': 'advmod', 'head': {'lemma': 'tough', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 2, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'tough', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'that', 'ix': 3, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,13,RBcontig
target_42:19-20-21,so_great,"The problem is that the pay and benefits are lousy, and in many cases the working conditions ain't so great either.",ain't,so,great,ain't so great,the working conditions ain't so great either .,target_42,19-20-21,target_42:20-21,"The problem is that the pay and benefits are lousy , and in many cases the working conditions ain't so great either .","the problem be that the pay and benefit be lousy , and in many case the working condition ain't so great either .",target_41,Their line up of special guests ain't too shabby either.,target_43,Usually diets ain't that healthy after all but this one makes a difference.,ain't,so,great,18,19,20,"{'node': 'neg', 'contiguous': False, 'relation': 'cop', 'head': {'lemma': 'great', 'ix': 20, 'xpos': 'JJ'}, 'target': {'lemma': ""ain't"", 'ix': 18, 'xpos': 'VBP'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'great', 'ix': 20, 'xpos': 'JJ'}, 'target': {'lemma': 'so', 'ix': 19, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,23,RBcontig
target_41:7-8-9,too_shabby,Their line up of special guests ain't too shabby either.,ain't,too,shabby,ain't too shabby,of special guests ain't too shabby either .,target_41,7-8-9,target_41:8-9,Their line up of special guests ain't too shabby either .,they line up of special guest ain't too shabby either .,target_40,That shit ain't even funny!,target_42,"The problem is that the pay and benefits are lousy, and in many cases the working conditions ain't so great either.",ain't,too,shabby,6,7,8,"{'node': 'neg', 'contiguous': False, 'relation': 'cop', 'head': {'lemma': 'shabby', 'ix': 8, 'xpos': 'JJ'}, 'target': {'lemma': ""ain't"", 'ix': 6, 'xpos': 'VBP'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'shabby', 'ix': 8, 'xpos': 'JJ'}, 'target': {'lemma': 'too', 'ix': 7, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,11,RBcontig
target_40:4-5-6,even_funny,That shit ain't even funny!,n't,even,funny,n't even funny,That shit ai n't even funny !,target_40,4-5-6,target_40:5-6,That shit ai n't even funny !,that shit be not even funny !,target_39,"Cause-and-effect ain't so simple when you believe in something like that.""",target_41,Their line up of special guests ain't too shabby either.,not,even,funny,3,4,5,"{'node': 'neg', 'contiguous': False, 'relation': 'advmod', 'head': {'lemma': 'funny', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 3, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'funny', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': 'even', 'ix': 4, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,7,RBcontig
target_39:5-6-7,so_simple,"Cause-and-effect ain't so simple when you believe in something like that.""",n't,so,simple,n't so simple,and- effect ai n't so simple when you believe,target_39,5-6-7,target_39:6-7,"Cause- and- effect ai n't so simple when you believe in something like that . ""","Cause- and- effect be not so simple when you believe in something like that . """,target_38,"And thanks for being a being Bengal fan -- it ain't always easy, but it's always fun.",target_40,That shit ain't even funny!,not,so,simple,4,5,6,"{'node': 'neg', 'contiguous': False, 'relation': 'advmod', 'head': {'lemma': 'simple', 'ix': 6, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 4, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'simple', 'ix': 6, 'xpos': 'JJ'}, 'target': {'lemma': 'so', 'ix': 5, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,16,RBcontig
target_38:11-12-13,always_easy,"And thanks for being a being Bengal fan -- it ain't always easy, but it's always fun.",ain't,always,easy,ain't always easy,"fan -- it ain't always easy , but it",target_38,11-12-13,target_38:12-13,"And thanks for being a being Bengal fan -- it ain't always easy , but it 's always fun .","and thanks for be a be Bengal fan -- it ain't always easy , but it be always fun .",target_37,What you want ain't always good for you.,target_39,"Cause-and-effect ain't so simple when you believe in something like that.""",ain't,always,easy,10,11,12,"{'node': 'neg', 'contiguous': False, 'relation': 'cop', 'head': {'lemma': 'easy', 'ix': 12, 'xpos': 'JJ'}, 'target': {'lemma': ""ain't"", 'ix': 10, 'xpos': 'VBZ'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'easy', 'ix': 12, 'xpos': 'JJ'}, 'target': {'lemma': 'always', 'ix': 11, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,20,RBcontig
target_37:4-5-6,always_good,What you want ain't always good for you.,ain't,always,good,ain't always good,What you want ain't always good for you .,target_37,4-5-6,target_37:5-6,What you want ain't always good for you .,what you want ain't always good for you .,target_36,"But it's rare for any movie to rebound like that and especially one that's been out this long, and $11 million in your fifth week ain't too shabby either.",target_38,"And thanks for being a being Bengal fan -- it ain't always easy, but it's always fun.",ain't,always,good,3,4,5,"{'node': 'neg', 'contiguous': False, 'relation': 'cop', 'head': {'lemma': 'good', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': ""ain't"", 'ix': 3, 'xpos': 'VBZ'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'good', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': 'always', 'ix': 4, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,9,RBcontig
target_11:2-3-4,too_proud,Ain't too proud to beg,n't,too,proud,n't too proud,ai n't too proud to beg,target_11,2-3-4,target_11:3-4,ai n't too proud to beg,aus not too proud to beg,target_10,"As Long Bill says at its conclusion,  -LBQ-  Rangering is a rare sport, but it ain't quite safe.  -RDQ-",target_12,-LBQ-  But it ain't so funny to us.  -RDQ-,not,too,proud,1,2,3,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'proud', 'ix': 3, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 1, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'proud', 'ix': 3, 'xpos': 'JJ'}, 'target': {'lemma': 'too', 'ix': 2, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,6,RBcontig
target_06:3-4-5,so_bad,"It ain't so bad, really.",n't,so,bad,n't so bad,"It ai n't so bad , really .",target_06,3-4-5,target_06:4-5,"It ai n't so bad , really .","it be not so bad , really .",target_05,"It ain't that easy.""",target_07,good thing because some of the news lately out of the homeland ain't so charming.,not,so,bad,2,3,4,"{'node': 'neg', 'contiguous': False, 'relation': 'advmod', 'head': {'lemma': 'bad', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 2, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'bad', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'so', 'ix': 3, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,8,RBcontig
target_05:3-4-5,that_easy,"It ain't that easy.""",n't,that,easy,n't that easy,"It ai n't that easy . """,target_05,3-4-5,target_05:4-5,"It ai n't that easy . ""","it be not that easy . """,target_04,I know it ain't always smart to just be emulating someone else's style but until I figure out something that would keep me from getting burned out and bored with a single style or until I ended up with a style I can call my own (which ever comes first) then emulating's how it's gonna be.,target_06,"It ain't so bad, really.",not,that,easy,2,3,4,"{'node': 'neg', 'contiguous': False, 'relation': 'advmod', 'head': {'lemma': 'easy', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 2, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'easy', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'that', 'ix': 3, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,7,RBcontig
target_04:4-5-6,always_smart,I know it ain't always smart to just be emulating someone else's style but until I figure out something that would keep me from getting burned out and bored with a single style or until I ended up with a style I can call my own (which ever comes first) then emulating's how it's gonna be.,ain't,always,smart,ain't always smart,I know it ain't always smart to just be,target_04,4-5-6,target_04:5-6,I know it ain't always smart to just be emulating someone else 's style but until I figure out something that would keep me from getting burned out and bored with a single style or until I ended up with a style I can call my own ( which ever comes first ) then emulating 's how it 's gonna be .,I know it ain't always smart to just be emulate someone else 's style but until I figure out something that would keep I from get burn out and bored with a single style or until I end up with a style I can call my own ( which ever come first ) then emulate be how it be gonna be .,target_03,That ain't too bad.,target_05,"It ain't that easy.""",ain't,always,smart,3,4,5,"{'node': 'neg', 'contiguous': False, 'relation': 'cop', 'head': {'lemma': 'smart', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': ""ain't"", 'ix': 3, 'xpos': 'VBZ'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'smart', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': 'always', 'ix': 4, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,62,RBcontig
target_03:2-3-4,too_bad,That ain't too bad.,ain't,too,bad,ain't too bad,That ain't too bad .,target_03,2-3-4,target_03:3-4,That ain't too bad .,that ain't too bad .,target_02,"There is one neat twist near the end of the story, but almost every character along the way is bland and forgettable; no one seems particularly real, let alone worth your interest.",target_04,I know it ain't always smart to just be emulating someone else's style but until I figure out something that would keep me from getting burned out and bored with a single style or until I ended up with a style I can call my own (which ever comes first) then emulating's how it's gonna be.,ain't,too,bad,1,2,3,"{'node': 'neg', 'contiguous': False, 'relation': 'cop', 'head': {'lemma': 'bad', 'ix': 3, 'xpos': 'JJ'}, 'target': {'lemma': ""ain't"", 'ix': 1, 'xpos': 'VBZ'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'bad', 'ix': 3, 'xpos': 'JJ'}, 'target': {'lemma': 'too', 'ix': 2, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,5,RBcontig
