hit_id,colloc,sent_text,neg_form,adv_form,adj_form,hit_text,text_window,sent_id,match_id,colloc_id,token_str,lemma_str,context_prev_id,context_prev_sent,context_next_id,context_next_sent,neg_lemma,adv_lemma,adj_lemma,neg_index,adv_index,adj_index,dep_neg,dep_mod,json_source,utt_len,category
target_56:3-4-5,exactly_healthy,It ain't exactly healthy.,n't,exactly,healthy,n't exactly healthy,It ai n't exactly healthy .,target_56,3-4-5,target_56:4-5,It ai n't exactly healthy .,it be not exactly healthy .,target_55,"Cause life aint so bad at the bottom, At the bottom of your face.",target_57,Ain't that typical....,not,exactly,healthy,2,3,4,"{'node': 'neg', 'contiguous': False, 'relation': 'advmod', 'head': {'lemma': 'healthy', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 2, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'healthy', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'exactly', 'ix': 3, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,6,RBcontig
target_55:3-4-5,so_bad,"Cause life aint so bad at the bottom, At the bottom of your face.",aint,so,bad,aint so bad,Cause life aint so bad at the bottom,target_55,3-4-5,target_55:4-5,"Cause life aint so bad at the bottom , At the bottom of your face .","cause life aint so bad at the bottom , at the bottom of you face .",target_54,The new album aint half bad too.,target_56,It ain't exactly healthy.,aint,so,bad,2,3,4,"{'node': 'neg', 'contiguous': False, 'relation': 'cop', 'head': {'lemma': 'bad', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'aint', 'ix': 2, 'xpos': 'VBZ'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'bad', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'so', 'ix': 3, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,16,RBcontig
target_54:4-5-6,half_bad,The new album aint half bad too.,aint,half,bad,aint half bad,The new album aint half bad too .,target_54,4-5-6,target_54:5-6,The new album aint half bad too .,the new album aint half bad too .,target_53,Or you may think it aint too much.,target_55,"Cause life aint so bad at the bottom, At the bottom of your face.",aint,half,bad,3,4,5,"{'node': 'neg', 'contiguous': False, 'relation': 'cop', 'head': {'lemma': 'bad', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': 'aint', 'ix': 3, 'xpos': 'VBZ'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'bad', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': 'half', 'ix': 4, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,8,RBcontig
target_52:12-13-14,too_bad,"my imaginary friend distills about once a week, the smell aint too bad, and its in a garage, the fuckwads CANNOT come in, at all, without a warrant, which it would bee impossible for them to get based on a smell that is not as identifiable as cannabis",aint,too,bad,aint too bad,", the smell aint too bad , and its",target_52,12-13-14,target_52:13-14,"my imaginary friend distills about once a week , the smell aint too bad , and its in a garage , the fuckwads CANNOT come in , at all , without a warrant , which it would bee impossible for them to get based on a smell that is not as identifiable as cannabis","my imaginary friend distill about once a week , the smell aint too bad , and its in a garage , the fuckwad cannot come in , at all , without a warrant , which it would bee impossible for they to get base on a smell that be not as identifiable as cannabi",target_51,"As Buffalo Springfield sang, ""There's something happening here; what it is ain't exactly clear.""",target_53,Or you may think it aint too much.,aint,too,bad,11,12,13,"{'node': 'neg', 'contiguous': False, 'relation': 'cop', 'head': {'lemma': 'bad', 'ix': 13, 'xpos': 'JJ'}, 'target': {'lemma': 'aint', 'ix': 11, 'xpos': 'VBZ'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'bad', 'ix': 13, 'xpos': 'JJ'}, 'target': {'lemma': 'too', 'ix': 12, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,54,RBcontig
target_52:50-51-52,as_identifiable,"my imaginary friend distills about once a week, the smell aint too bad, and its in a garage, the fuckwads CANNOT come in, at all, without a warrant, which it would bee impossible for them to get based on a smell that is not as identifiable as cannabis",not,as,identifiable,not as identifiable,smell that is not as identifiable as cannabis,target_52,50-51-52,target_52:51-52,"my imaginary friend distills about once a week , the smell aint too bad , and its in a garage , the fuckwads CANNOT come in , at all , without a warrant , which it would bee impossible for them to get based on a smell that is not as identifiable as cannabis","my imaginary friend distill about once a week , the smell aint too bad , and its in a garage , the fuckwad cannot come in , at all , without a warrant , which it would bee impossible for they to get base on a smell that be not as identifiable as cannabi",target_51,"As Buffalo Springfield sang, ""There's something happening here; what it is ain't exactly clear.""",target_53,Or you may think it aint too much.,not,as,identifiable,49,50,51,"{'node': 'neg', 'contiguous': False, 'relation': 'advmod', 'head': {'lemma': 'identifiable', 'ix': 51, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 49, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'identifiable', 'ix': 51, 'xpos': 'JJ'}, 'target': {'lemma': 'as', 'ix': 50, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,54,RBcontig
target_51:16-17-18,exactly_clear,"As Buffalo Springfield sang, ""There's something happening here; what it is ain't exactly clear.""",ain't,exactly,clear,ain't exactly clear,"what it is ain't exactly clear . """,target_51,16-17-18,target_51:17-18,"As Buffalo Springfield sang , "" There 's something happening here ; what it is ain't exactly clear . ""","as Buffalo Springfield sing , "" there be something happen here ; what it be ain't exactly clear . """,target_50,"'Course, injecting dyes into humans in order to receive interpretable signals ain't exactly new, but hydrogel is what makes this approach unique.",target_52,"my imaginary friend distills about once a week, the smell aint too bad, and its in a garage, the fuckwads CANNOT come in, at all, without a warrant, which it would bee impossible for them to get based on a smell that is not as identifiable as cannabis",ain't,exactly,clear,15,16,17,"{'node': 'neg', 'contiguous': False, 'relation': 'advmod', 'head': {'lemma': 'clear', 'ix': 17, 'xpos': 'JJ'}, 'target': {'lemma': ""ain't"", 'ix': 15, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'clear', 'ix': 17, 'xpos': 'JJ'}, 'target': {'lemma': 'exactly', 'ix': 16, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,20,RBcontig
target_50:15-16-17,exactly_new,"'Course, injecting dyes into humans in order to receive interpretable signals ain't exactly new, but hydrogel is what makes this approach unique.",n't,exactly,new,n't exactly new,"interpretable signals ai n't exactly new , but hydrogel",target_50,15-16-17,target_50:16-17,"' Course , injecting dyes into humans in order to receive interpretable signals ai n't exactly new , but hydrogel is what makes this approach unique .","' course , inject dye into human in order to receive interpretable signal be not exactly new , but hydrogel be what make this approach unique .",target_49,"During her housewife role play with Dean, Rory finds that the housewife thing ain't so bad.",target_51,"As Buffalo Springfield sang, ""There's something happening here; what it is ain't exactly clear.""",not,exactly,new,14,15,16,"{'node': 'neg', 'contiguous': False, 'relation': 'advmod', 'head': {'lemma': 'new', 'ix': 16, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 14, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'new', 'ix': 16, 'xpos': 'JJ'}, 'target': {'lemma': 'exactly', 'ix': 15, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,27,RBcontig
target_49:15-16-17,so_bad,"During her housewife role play with Dean, Rory finds that the housewife thing ain't so bad.",ain't,so,bad,ain't so bad,the housewife thing ain't so bad .,target_49,15-16-17,target_49:16-17,"During her housewife role play with Dean , Rory finds that the housewife thing ain't so bad .","during she housewife role play with Dean , Rory find that the housewife thing ain't so bad .",target_48,"And let me tell ya, Gramps, those Capitol Hill types ain't exactly eager to slip you a coupla extra clams in the old Social Security.",target_50,"'Course, injecting dyes into humans in order to receive interpretable signals ain't exactly new, but hydrogel is what makes this approach unique.",ain't,so,bad,14,15,16,"{'node': 'neg', 'contiguous': False, 'relation': 'cop', 'head': {'lemma': 'bad', 'ix': 16, 'xpos': 'JJ'}, 'target': {'lemma': ""ain't"", 'ix': 14, 'xpos': 'VBZ'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'bad', 'ix': 16, 'xpos': 'JJ'}, 'target': {'lemma': 'so', 'ix': 15, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,18,RBcontig
target_48:13-14-15,exactly_eager,"And let me tell ya, Gramps, those Capitol Hill types ain't exactly eager to slip you a coupla extra clams in the old Social Security.",ain't,exactly,eager,ain't exactly eager,Capitol Hill types ain't exactly eager to slip you,target_48,13-14-15,target_48:14-15,"And let me tell ya , Gramps , those Capitol Hill types ain't exactly eager to slip you a coupla extra clams in the old Social Security .","and let I tell ya , Gramps , that Capitol Hill type ain't exactly eager to slip you a coupla extra clam in the old Social Security .",target_47,That ain't too bad.,target_49,"During her housewife role play with Dean, Rory finds that the housewife thing ain't so bad.",ain't,exactly,eager,12,13,14,"{'node': 'neg', 'contiguous': False, 'relation': 'cop', 'head': {'lemma': 'eager', 'ix': 14, 'xpos': 'JJ'}, 'target': {'lemma': ""ain't"", 'ix': 12, 'xpos': 'VBP'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'eager', 'ix': 14, 'xpos': 'JJ'}, 'target': {'lemma': 'exactly', 'ix': 13, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,28,RBcontig
target_47:2-3-4,too_bad,That ain't too bad.,ain't,too,bad,ain't too bad,That ain't too bad .,target_47,2-3-4,target_47:3-4,That ain't too bad .,that ain't too bad .,target_46,But you ain't really good,target_48,"And let me tell ya, Gramps, those Capitol Hill types ain't exactly eager to slip you a coupla extra clams in the old Social Security.",ain't,too,bad,1,2,3,"{'node': 'neg', 'contiguous': False, 'relation': 'cop', 'head': {'lemma': 'bad', 'ix': 3, 'xpos': 'JJ'}, 'target': {'lemma': ""ain't"", 'ix': 1, 'xpos': 'VBZ'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'bad', 'ix': 3, 'xpos': 'JJ'}, 'target': {'lemma': 'too', 'ix': 2, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/RBcontig/debug.rb-direct/target_sentences.json,5,RBcontig
