space_key,l2,polarity,space,dP1,LRC,P1,G2,f1,f2,N,f,exp_f,unexp_f,f_sqrt,f2_sqrt,unexp_r,polar_l2,space_l2,approx_meth,dataset,pos_sample,exp_f_sqrt,tpm_f,tpm_f1,tpm_f2,tpm_exp_f,tpm_unexp_f,tpm_f_sqrt,tpm_f1_sqrt,tpm_f2_sqrt,tpm_exp_f_sqrt,tpm_unexp_f_sqrt,N_sqrt,unexp_f_sqrt,dP1m,P1m,LRCm,f_sqrt_m,tpm_f_sqrt_m,tpm_f_m,f2_sqrt_m,tpm_f2_sqrt_m,tpm_f2_m,unexp_f_sqrt_m,tpm_unexp_f_sqrt_m,tpm_unexp_f_m,unexp_r_m
ALL+sup:NEG~exactly,exactly,neg,ALL+sup,0.73732745966,6.186784598425778,0.78085512128,216169.978748,3173681,56109,71961373,43813,2474.55072,41338.44928,209.3155512617254,236.8733838995002,0.9435201716385548,neg~exactly,ALL+sup:exactly,absent(-),super,ALL,49.7448562164974,608.8405233874568,44102.563190407716,779.7099702502896,34.38720827352752,574.4533151278256,24.67469398771658,210.00610274562908,27.923287239332865,5.8640607324214775,18.8106332552951,8483.004951077182,159.570695045228,0.5717959292225,0.87495846031,4.688351692212336,118.91435306024596,41.76965998075806,2347.1318128562266,127.25081850658094,43.68588250587597,2465.5258526718467,60.70360367587839,16.147844491948515,1253.2962013042884,0.6717011783627114
ALL+mir:NEG~exactly,exactly,neg,ALL+mir,0.61534591,3.5777930724601004,0.7885548012,1868.3390708,291735,1031,1680633,813,178.967559,634.0324410000001,28.513154858766505,32.109188716004645,0.7798677011070112,neg~exactly,ALL+mir:exactly,present(+),mirror,ALL,13.377875728231295,483.74630332737723,173586.3808463835,613.4593340723407,106.4881862964728,377.2581176259184,21.99423341076877,416.63698929209767,24.768111233445733,10.319311328595179,11.674922082173593,1296.3923017358595,15.13527913053521,0.5717959292225,0.87495846031,4.688351692212336,118.91435306024596,41.76965998075806,2347.1318128562266,127.25081850658094,43.68588250587597,2465.5258526718467,60.70360367587839,16.147844491948515,1253.2962013042884,0.6717011783627114
NEQ+sup:NEG~exactly,exactly,neg,NEQ+sup,0.49069922233,5.953618719792866,0.98726846636,55763.993254,3173681,44378,6347362,43813,22189.0,21624.0,209.3155512617254,210.6608648990125,0.4935521420582932,neg~exactly,NEQ+sup:exactly,absent(-),super,NEQ,148.95972610071487,6902.552588146068,500000.00000015757,6991.565945191089,3495.782972674317,3406.7696156292964,83.08160198350816,707.106781186659,83.61558434401502,59.125146703194886,23.95645528031328,2519.3971501134947,60.35582516101053,0.5717959292225,0.87495846031,4.688351692212336,118.91435306024596,41.76965998075806,2347.1318128562266,127.25081850658094,43.68588250587597,2465.5258526718467,60.70360367587839,16.147844491948515,1253.2962013042884,0.6717011783627114
NEQ+mir:NEG~exactly,exactly,neg,NEQ+mir,0.4438111249,3.0352103781706004,0.9431554524,819.8186938,291735,862,583470,813,431.0,382.0,28.513154858766505,29.359836511806396,0.4698646986469865,neg~exactly,NEQ+mir:exactly,present(+),mirror,NEQ,20.760539492026695,1393.387836564005,500000.00000171387,1477.3681611736679,738.6840814437761,654.7037568341132,37.328110541038704,707.1067811877595,38.43654720671028,27.178743191026623,10.149367350012081,763.8520799212371,7.7526153667398106,0.5717959292225,0.87495846031,4.688351692212336,118.91435306024596,41.76965998075806,2347.1318128562266,127.25081850658094,43.68588250587597,2465.5258526718467,60.70360367587839,16.147844491948515,1253.2962013042884,0.6717011783627114
NEQ+mir:POS~exactly,exactly,pos,NEQ+mir,-0.4438111249,-3.035210378179781,0.0568445476,-819.8186938,291735,862,583470,49,431.0,-382.0,7.0,29.359836511806396,-1.0,pos~exactly,NEQ+mir:exactly,present(+),mirror,NEQ,20.760539492026695,83.98032632354705,500000.00000171387,1477.3681611736679,738.6840814437761,-654.7037534063447,9.164078040018376,707.1067811877595,38.43654720671028,27.178743191026623,-18.014665151008245,763.8520799212371,-13.760539492026695,-0.5717959292225,0.12504153969,-4.6883516922080535,39.105470478318935,10.7649085050271,118.39404043570515,127.25081850658094,43.68588250587597,2465.5258526718467,-68.51977590914129,-23.265218930085418,-1253.2962000641182,-1.0
NEQ+sup:POS~exactly,exactly,pos,NEQ+sup,-0.49069922233,-5.953618719770622,0.01273153364,-55763.993254,3173681,44378,6347362,565,22189.0,-21624.0,23.769728648009426,210.6608648990125,-1.0,pos~exactly,NEQ+sup:exactly,absent(-),super,NEQ,148.95972610071487,89.013357202567,500000.00000015757,6991.565945191089,3495.782972674317,-3406.7696153142047,9.434689035817078,707.106781186659,83.61558434401502,59.125146703194886,-49.69045766737781,2519.3971501134947,-125.18999745270546,-0.5717959292225,0.12504153969,-4.6883516922080535,39.105470478318935,10.7649085050271,118.39404043570515,127.25081850658094,43.68588250587597,2465.5258526718467,-68.51977590914129,-23.265218930085418,-1253.2962000641182,-1.0
ALL+mir:POS~exactly,exactly,pos,ALL+mir,-0.61534591,-3.577793072476525,0.2114451988,-1868.3390708,1388898,1031,1680633,218,852.032441,-634.032441,14.7648230602334,32.109188716004645,-1.0,pos~exactly,ALL+mir:exactly,present(+),mirror,ALL,29.189594738536538,129.71303133997728,826413.6191548066,613.4593340723407,506.9711483708816,-377.2581164358905,11.389162890220566,909.0729449031065,24.768111233445733,22.516019816363674,-11.126856926143107,1296.3923017358595,-14.424771678303138,-0.5717959292225,0.12504153969,-4.6883516922080535,39.105470478318935,10.7649085050271,118.39404043570515,127.25081850658094,43.68588250587597,2465.5258526718467,-68.51977590914129,-23.265218930085418,-1253.2962000641182,-1.0
ALL+sup:POS~exactly,exactly,pos,ALL+sup,-0.73732745966,-6.186784598405287,0.21914487872,-216169.978748,68787692,56109,71961373,12296,53634.44928,-41338.44928,110.8873302050329,236.8733838995002,-1.0,pos~exactly,ALL+sup:exactly,absent(-),super,ALL,231.59112521856272,170.86944687672928,955897.43680962,779.7099702502896,745.3227619906585,-574.4533151000329,13.071704054052375,977.7000750790704,27.923287239332865,27.300600029864885,-14.22889597581251,8483.004951077182,-120.70379501352983,-0.5717959292225,0.12504153969,-4.6883516922080535,39.105470478318935,10.7649085050271,118.39404043570515,127.25081850658094,43.68588250587597,2465.5258526718467,-68.51977590914129,-23.265218930085418,-1253.2962000641182,-1.0
