        l1  l2                       f         E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff        f1       f2         N  
----------  -----------------  -------  ----------  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  -----------------  --------------------  ------------------  -------  ----------  ------------  ------------  -------------------  -------------------  -------------------  -------------------  --------------  --------  -------  --------  
   NEGATED  shabby                5538      301.35                10                   19                 12     204         19            1           56                3891                 209                   1                  33             56           26673.12              26673.12               1.765   0.0035       70.37         0.658       0.00173                0.695              0.00176                0.658              0.00166         5236.65   3151804     7963  83284343  
   NEGATED  farfetched             569       66.98               151                  301                110    1414        107            2          459                3895                1415                   2                 170            459            1595.87               1595.87               1.081   0.0004       21.05         0.284       0.00017                0.321              0.00018                0.284              0.00016          502.02   3151804     1770  83284343  
   NEGATED  clear-cut             1368      166.02                81                  161                116     734         70            3          227                3896                 737                   3                 101            227            3747.09               3747.09               1.062   0.0009       32.50         0.274       0.00040                0.312              0.00043                0.274              0.00038         1201.98   3151804     4387  83284343  
   NEGATED  rosy                  2076      252.23                54                  107                118     523         55            4          160                3897                 526                   4                  74            160            5681.70               5681.70               1.061   0.0013       40.03         0.274       0.00060                0.311              0.00066                0.274              0.00058         1823.77   3151804     6665  83284343  
   NEGATED  far-fetched           1969      258.44                61                  121                136     543         56            5          171                3899                 548                   5                  79            171            5066.42               5066.42               1.013   0.0012       38.55         0.251       0.00056                0.288              0.00062                0.250              0.00054         1710.56   3151804     6829  83284343  
   NEGATED  dissimilar            2524      332.08                47                   93                137     430         47            6          141                3900                 437                   6                  67            141            6482.12               6482.12               1.012   0.0016       43.63         0.250       0.00072                0.288              0.00080                0.250              0.00070         2191.92   3151804     8775  83284343  
   NEGATED  cut                    385       58.58               234                  467                186    1838        148            7          610                3901                1838                   7                 216            610             874.39                874.39               0.926   0.0002       16.64         0.211       0.00011                0.249              0.00012                0.211              0.00010          326.42   3151804     1548  83284343  
   NEGATED  binding                683      106.23               164                  327                194    1245        103            8          414                3902                1245                   8                 157            414            1521.59               1521.59               0.913   0.0004       22.07         0.205       0.00019                0.243              0.00022                0.205              0.00018          576.77   3151804     2807  83284343  
   NEGATED  hasty                  589       94.72               187                  373                208    1373        115            9          464                3903                1377                   9                 171            464            1273.48               1273.48               0.894   0.0004       20.37         0.197       0.00016                0.235              0.00019                0.197              0.00016          494.28   3151804     2503  83284343  
   NEGATED  flashy                1611      262.52                86                  171                213     642         65           10          210                3904                 645                  10                  96            210            3442.13               3442.13               0.886   0.0010       33.60         0.194       0.00044                0.232              0.00051                0.194              0.00043         1348.48   3151804     6937  83284343  
   NEGATED  distant               8181     1453.62                18                   35                246     134         17           11           45                3905                 137                  11                  30             45           16136.23              16136.23               0.839   0.0051       74.38         0.175       0.00222                0.213              0.00260                0.175              0.00213         6727.38   3151804    38411  83284343  
