     l1  l2                      f       E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple       f1      f2         N  
NEGATED  rice                   15      1.28              1818                175           43         4263               41650                9848              54.73               1.365         0.473       0.00000                0.517              0.00000  3173681      29  71961373  
NEGATED  sure               128062  11326.29                 1                182           44            1               41653                   2          459578.54               1.351         0.456       0.03848                0.499              0.04035  3173681  256817  71961373  
NEGATED  news                   16      1.46              1803                215           45         4140               41654                9587              55.70               1.310         0.441       0.00000                0.485              0.00001  3173681      33  71961373  
NEGATED  toilet-trained          9      0.84              2579                232           46         5446               41657               12216              30.80               1.292         0.430       0.00000                0.474              0.00000  3173681      19  71961373  
NEGATED  beer-related            7      0.66              2947                246           47         6153               41658               13475              23.69               1.282         0.423       0.00000                0.467              0.00000  3173681      15  71961373  
NEGATED  registrable             6      0.57              3220                252           48         6605               41660               14264              20.14               1.274         0.417       0.00000                0.462              0.00000  3173681      13  71961373  
NEGATED  kid-appropriate         5      0.49              3596                260           49         7171               41661               15300              16.60               1.263         0.410       0.00000                0.455              0.00000  3173681      11  71961373  
NEGATED  jews                    5      0.49              3596                260           49         7171               41661               15300              16.60               1.263         0.410       0.00000                0.455              0.00000  3173681      11  71961373  
NEGATED  stress-tested           5      0.49              3596                260           49         7171               41661               15300              16.60               1.263         0.410       0.00000                0.455              0.00000  3173681      11  71961373  
NEGATED  pin-sharp               5      0.49              3596                260           49         7171               41661               15300              16.60               1.263         0.410       0.00000                0.455              0.00000  3173681      11  71961373  
NEGATED  categorizable          12      1.19              2243                289           53         4786               41669               10810              39.17               1.243         0.400       0.00000                0.444              0.00000  3173681      27  71961373  
NEGATED  movie-related           7      0.71              3024                303           54         6172               41670               13475              22.58               1.233         0.393       0.00000                0.438              0.00000  3173681      16  71961373  
NEGATED  hunky-dory              7      0.71              3024                303           54         6172               41670               13475              22.58               1.233         0.393       0.00000                0.438              0.00000  3173681      16  71961373  
NEGATED  farfetched            564     57.16               156                313           56          485               41672                1409            1812.08               1.223         0.391       0.00017                0.435              0.00018  3173681    1296  71961373  
NEGATED  fish                   10      1.01              2524                312           57         5202               41673               11690              32.11               1.227         0.391       0.00000                0.435              0.00000  3173681      23  71961373  
NEGATED  reconcilable           46      4.67               940                315           58         2454               41674                6058             147.47               1.222         0.390       0.00001                0.434              0.00001  3173681     106  71961373  
