key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_direct_] terribly~awry,180,0.25930858,8.019408,0.2601156,1770.9698,terribly,awry,58964,692,72839571,0.56017749,179.43982251,0.9968879,2.639533,13.374655,2.5069468,0.0030456753,0.00305271,0.25930858,0.13117713,direct
[_mirror_] terribly~amiss,53,0.08901704,3.9863634,0.0916955,275.774185,terribly,amiss,4610,578,1701929,1.5656235218048096,51.43437576293945,0.97045994,1.5786836,7.065055,1.5295886,0.011187435,0.011496746,0.08901704,0.050102238,mirror
[_mirror_] terribly~wrong,1726,0.08094724,4.858707,0.082662836,9304.941693,terribly,wrong,4610,20880,1701929,56.557472229003906,1669.4425048828125,0.96723205,1.71966,40.183807,1.4845508,0.36311862,0.37440348,0.36311862,0.22203293,mirror
[_direct_] terribly~amiss,64,0.07046085,5.371727,0.07126949,451.25089,terribly,amiss,58964,898,72839571,0.72693553,63.27306447,0.9886416,1.980025,7.909133,1.944684,0.0010739489,0.001085408,0.07046085,0.0357674,direct
[_direct_] terribly~wrong,6349,0.04186862,5.6733556,0.042592444,38814.136,terribly,wrong,58964,149064,72839571,120.66806,6228.33194,0.98099416,1.7883179,78.166214,1.721113,0.10571498,0.10767587,0.10571498,0.0737918,direct
[_direct_] terribly~misguided,101,0.024391439,4.0873966,0.025199601,501.56555,terribly,misguided,58964,4008,72839571,3.2444962,97.7555038,0.96787626,1.5067134,9.727036,1.4931741,0.0016592277,0.0017129096,0.024391439,0.013025333,direct
[_mirror_] terribly~surprising,67,0.02249554,2.1988132,0.025169047,181.265999,terribly,surprising,4610,2662,1701929,7.210536003112793,59.78946304321289,0.89238006,0.9867913,7.3044457,0.9681073,0.013004741,0.014533622,0.02249554,0.01775014,mirror
[_direct_] terribly~inefficient,198,0.019513302,4.0499663,0.020320198,900.41371,terribly,inefficient,58964,9744,72839571,7.8878171,190.1121829,0.9601625,1.4107453,13.510685,1.3997084,0.00322682,0.003357981,0.019513302,0.011370061,direct
[_direct_] terribly~sorry,1262,0.019375583,4.429067,0.020168444,5741.828,terribly,sorry,58964,62573,72839571,50.653159,1211.346841,0.95986277,1.4141445,34.098778,1.3964528,0.02056048,0.02140289,0.02056048,0.019968033,direct
[_direct_] terribly~inconvenient,129,0.01574125,3.5852003,0.01654907,535.3756,terribly,inconvenient,58964,7795,72839571,6.3100918,122.6899082,0.95108455,1.3200032,10.802244,1.310554,0.0020824454,0.0021877757,0.01574125,0.008911847,direct
