key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,deltaP_max,deltaP_mean,odds_r_disc,t,MI,dataset
[_mirror_] exactly~alike,83,0.20286717,7.6946626,0.20343137,822.853188,exactly,alike,1031,408,1680633,0.2502914071083069,82.74971008300781,0.9969844,0.080310866,0.080504365,0.20286717,0.14158902,2.6572206,9.08296012878418,2.5206323,mirror
[_direct_] exactly~alike,776,0.087372735,6.6366644,0.088141754,5879.1402,exactly,alike,56109,8804,71961373,6.8645666,769.1354334,0.9911539,0.013718576,0.013830223,0.087372735,0.050545655,2.099231,27.610352975,2.0532486,direct
[_direct_] exactly~opposite,467,0.054421112,5.8212385,0.055194423,3087.0813,exactly,opposite,56109,8461,71961373,6.5971261,460.4028739,0.9858734,0.008211912,0.0083230855,0.054421112,0.03131651,1.878296,21.304904198,1.8499621,direct
[_direct_] exactly~right,6269,0.043695573,5.7890825,0.044389527,39335.771,exactly,right,56109,141227,71961373,110.1161,6158.8839,0.9824348,0.10985207,0.11172896,0.10985207,0.07677382,1.8253951,77.786258484,1.7553475,direct
[_direct_] exactly~perpendicular,50,0.039937586,4.405994,0.04071661,299.49161,exactly,perpendicular,56109,1228,71961373,0.95748384,49.04251616,0.98085034,0.00087473996,0.0008911226,0.039937586,0.020406162,1.7400662,6.935659148,1.7178385,direct
[_direct_] exactly~sure,8840,0.03376218,5.4246225,0.034421396,51388.703,exactly,sure,56109,256817,71961373,200.24278,8639.75722,0.9773481,0.15410182,0.15755048,0.15410182,0.093931995,1.7327439,91.891513906,1.6448954,direct
[_direct_] exactly~analogous,102,0.03295183,4.5770116,0.03373016,572.72945,exactly,analogous,56109,3024,71961373,2.3578429,99.6421571,0.9768839,0.0017772533,0.0018178902,0.03295183,0.017364543,1.6534662,9.866043698,1.6360853,direct
[_direct_] exactly~zero,306,0.031976234,4.9387555,0.03275179,1701.3539,exactly,zero,56109,9343,71961373,7.2848303,298.7151697,0.97619337,0.005327991,0.0054536704,0.031976234,0.018652113,1.6404269,17.076409657,1.623302,direct
[_direct_] exactly~stellar,172,0.031378165,4.7311115,0.032155544,949.65003,exactly,stellar,56109,5349,71961373,4.1706686,167.8293314,0.97575194,0.0029934645,0.0030654618,0.031378165,0.017185815,1.6316954,12.796866547,1.6153227,direct
[_direct_] exactly~parallel,204,0.031078147,4.7769265,0.03185509,1122.6404,exactly,parallel,56109,6404,71961373,4.9932626,199.0067374,0.97552323,0.0035495558,0.0036357804,0.031078147,0.017313851,1.6275353,13.933258545,1.6112458,direct
