space_key,key,space,l1,l2,dP1,LRC,P1,G2,f,f1,f2,N,exp_f,unexp_f,unexp_r
ALL+sup:NEGany~necessarily,NEGany~necessarily,ALL+sup,NEGATED,necessarily,0.8321615,7.1468835,0.87570155,230465.5925,42595,3173681,48641,71961373,2145.1928,40449.8072,0.9496375
ALL+sup:NEGany~that,NEGany~that,ALL+sup,NEGATED,that,0.75481325,6.3657193,0.7967466,831669.7162,164768,3173681,206801,71961373,9120.4542,155647.5458,0.9446467
ALL+sup:NEGany~exactly,NEGany~exactly,ALL+sup,NEGATED,exactly,0.73732746,6.1908407,0.7808551,216169.9787,43813,3173681,56109,71961373,2474.5507,41338.4493,0.9435202
ALL+sup:NEGany~immediately,NEGany~immediately,ALL+sup,NEGATED,immediately,0.5680816,5.0386724,0.6114599,231721.9818,56099,3173681,91746,71961373,4046.2338,52052.7662,0.9278733
ALL+sup:NEGany~yet,NEGany~yet,ALL+sup,NEGATED,yet,0.50394106,4.660629,0.5473801,197895.375,51867,3173681,94755,71961373,4178.9384,47688.0616,0.9194297
ALL+sup:NEGany~any,NEGany~any,ALL+sup,NEGATED,any,0.43443492,4.224596,0.47834334,53087.8239,15384,3173681,32161,71961373,1418.3825,13965.6175,0.90780145
ALL+sup:NEGany~remotely,NEGany~remotely,ALL+sup,NEGATED,remotely,0.32370737,3.5233786,0.3677407,15974.2753,5661,3173681,15394,71961373,678.9149,4982.0851,0.8800716
ALL+sup:NEGany~terribly,NEGany~terribly,ALL+sup,NEGATED,terribly,0.26277965,3.19,0.3066685,43629.2923,17949,3173681,58529,71961373,2581.2789,15367.7211,0.8561882
ALL+sup:NEGany~only,NEGany~only,ALL+sup,NEGATED,only,0.21958193,2.9192493,0.26236442,242355.4075,113502,3173681,432612,71961373,19079.2981,94422.7019,0.8319034
ALL+sup:NEGany~altogether,NEGany~altogether,ALL+sup,NEGATED,altogether,0.21230558,2.7647452,0.25635558,9430.1882,4568,3173681,17819,71961373,785.8636,3782.1364,0.8279633
ALL+sup:NEGany~overly,NEGany~overly,ALL+sup,NEGATED,overly,0.20250568,2.766355,0.24632706,49011.0092,24613,3173681,99920,71961373,4406.7281,20206.2719,0.8209593
ALL+sup:NEGany~entirely,NEGany~entirely,ALL+sup,NEGATED,entirely,0.19213541,2.7033153,0.23552012,121185.8749,63321,3173681,268856,71961373,11857.2387,51463.7613,0.81274396
ALL+sup:NEGany~merely,NEGany~merely,ALL+sup,NEGATED,merely,0.15724735,2.3335922,0.20128568,9539.2329,5918,3173681,29401,71961373,1296.6595,4621.3405,0.78089565
ALL+sup:NEGany~outright,NEGany~outright,ALL+sup,NEGATED,outright,0.14438446,2.0781486,0.18847376,1862.9183,1246,3173681,6611,71961373,291.562,954.438,0.7660016
ALL+sup:NEGany~overtly,NEGany~overtly,ALL+sup,NEGATED,overtly,0.129063,1.9924284,0.17314318,2918.433,2161,3173681,12481,71961373,550.4441,1610.5558999999998,0.7452827
ALL+sup:NEGany~always,NEGany~always,ALL+sup,NEGATED,always,0.128944,2.143353,0.17196411,141064.6494,103883,3173681,604097,71961373,26642.2261,77240.7739,0.74353623
ALL+sup:NEGany~as,NEGany~as,ALL+sup,NEGATED,as,0.12609936,2.0819209,0.16453905,727572.779,531731,3173681,3231640,71961373,142523.6073,389207.39269999997,0.731963
ALL+sup:NEGany~directly,NEGany~directly,ALL+sup,NEGATED,directly,0.12436694,2.0373478,0.16838537,10698.6708,8197,3173681,48680,71961373,2146.9128,6050.0872,0.73808557
ALL+sup:NEGany~sufficiently,NEGany~sufficiently,ALL+sup,NEGATED,sufficiently,0.111943655,1.8860447,0.1559904,6605.4869,5596,3173681,35874,71961373,1582.1354,4013.8646,0.7172739
ALL+sup:NEGany~statistically,NEGany~statistically,ALL+sup,NEGATED,statistically,0.107522905,1.8023895,0.15159282,3758.0241,3312,3173681,21848,71961373,963.5528,2348.4472,0.70907223
ALL+sup:COM~increasingly,COM~increasingly,ALL+sup,COMPLEMENT,increasingly,0.044136345,7.0385256,0.9998046,32850.4109,373560,68787692,373633,71961373,357154.827,16405.17300000001,0.043915763
ALL+sup:COM~albeit,COM~albeit,ALL+sup,COMPLEMENT,albeit,0.04392063,4.812902,0.9998085,1374.4686,15663,68787692,15666,71961373,14975.0892,687.9107999999997,0.043919478
ALL+sup:COM~relatively,COM~relatively,ALL+sup,COMPLEMENT,relatively,0.04391191,5.9760814,0.99945396,49292.091,582065,68787692,582383,71961373,556698.4169,25366.583100000047,0.043580327
ALL+sup:COM~pretty,COM~pretty,ALL+sup,COMPLEMENT,pretty,0.04372155,4.9751244,0.9987028,119539.2186,1505944,68787692,1507900,71961373,1441397.745,64546.25499999989,0.042860992
ALL+sup:COM~almost,COM~almost,ALL+sup,COMPLEMENT,almost,0.04344879,5.2725663,0.9990844,35325.4841,433210,68787692,433607,71961373,414483.8199,18726.180099999998,0.043226566
ALL+sup:COM~supposedly,COM~supposedly,ALL+sup,COMPLEMENT,supposedly,0.043314308,4.404039,0.9991953,2244.5607,27317,68787692,27339,71961373,26133.28,1183.7200000000012,0.043332722
ALL+sup:COM~mostly,COM~mostly,ALL+sup,COMPLEMENT,mostly,0.043306243,5.100979,0.9990835,16237.0676,199493,68787692,199676,71961373,190869.7766,8623.223399999988,0.043225694
ALL+sup:COM~seemingly,COM~seemingly,ALL+sup,COMPLEMENT,seemingly,0.043281045,5.0390043,0.99908215,13017.9691,160011,68787692,160158,71961373,153094.6217,6916.378300000011,0.043224394
ALL+sup:COM~partly,COM~partly,ALL+sup,COMPLEMENT,partly,0.043248497,4.8204226,0.9990986,6408.48,78695,68787692,78766,71961373,75292.2175,3402.782500000001,0.043240137
ALL+sup:COM~fairly,COM~fairly,ALL+sup,COMPLEMENT,fairly,0.043201756,4.985735,0.9988764,29631.1904,370708,68787692,371125,71961373,354757.4362,15950.563800000004,0.0430273
ALL+sup:COM~largely,COM~largely,ALL+sup,COMPLEMENT,largely,0.043137733,4.881976,0.9989314,13872.5929,172937,68787692,173122,71961373,165486.8761,7450.123900000006,0.043079987
ALL+sup:COM~rather,COM~rather,ALL+sup,COMPLEMENT,rather,0.042968273,4.7475266,0.9986495,28312.3486,361601,68787692,362090,71961373,346120.9029,15480.097100000014,0.042809885
ALL+sup:COM~also,COM~also,ALL+sup,COMPLEMENT,also,0.04288997,4.4648952,0.998153,80113.1501,1062460,68787692,1064426,71961373,1017482.0851,44977.914899999974,0.04233375
ALL+sup:COM~sometimes,COM~sometimes,ALL+sup,COMPLEMENT,sometimes,0.042857222,4.571363,0.99867004,11113.3484,141919,68787692,142108,71961373,135840.673,6078.32699999999,0.04282955
ALL+sup:COM~virtually,COM~virtually,ALL+sup,COMPLEMENT,virtually,0.042706672,4.3309193,0.9985532,6629.6887,85585,68787692,85709,71961373,81929.0134,3655.986600000004,0.04271761
ALL+mir:NEGmir~before,NEGmir~before,ALL+mir,NEGMIR,before,0.82310736,6.1887116,0.99655175,999.40555,289,291735,290,1680633,50.34005,238.65994,0.825813
