space_key,key,space,l1,l2,dP1,LRC,P1,G2,f,f1,f2,N,exp_f,unexp_f,unexp_r
ALL+mir:NEGmir~ever,NEGmir~ever,ALL+mir,NEGMIR,ever,0.7626564,5.673309,0.9339548,14226.70572,4709,291735,5042,1680633,875.22253,3833.7776,0.81413835
ALL+mir:NEGmir~any,NEGmir~any,ALL+mir,NEGMIR,any,0.73881805,4.911645,0.9118905,3078.61677,1066,291735,1169,1680633,202.92248,863.0775,0.8096412
ALL+mir:NEGmir~longer,NEGmir~longer,ALL+mir,NEGMIR,longer,0.7290062,4.6896043,0.9021978,2328.22326,821,291735,910,1680633,157.96361,663.0364,0.8075961
ALL+mir:NEGmir~necessarily,NEGmir~necessarily,ALL+mir,NEGMIR,necessarily,0.70874226,4.498947,0.8818681,2631.05599,963,291735,1092,1680633,189.55633,773.44366,0.8031606
ALL+mir:NEGmir~remotely,NEGmir~remotely,ALL+mir,NEGMIR,remotely,0.6224305,3.8393872,0.7951599,4286.74488,1840,291735,2314,1680633,401.67889,1438.3212,0.78169626
ALL+mir:NEGmir~that,NEGmir~that,ALL+mir,NEGMIR,that,0.6167081,3.9092743,0.7882891,9933.3703,4308,291735,5465,1680633,948.64957,3359.3503,0.7797935
ALL+mir:NEGmir~exactly,NEGmir~exactly,ALL+mir,NEGMIR,exactly,0.6153459,3.6084902,0.7885548,1868.33907,813,291735,1031,1680633,178.96756,634.0324,0.7798677
ALL+mir:NEGmir~particularly,NEGmir~particularly,ALL+mir,NEGMIR,particularly,0.5445742,3.4297493,0.7139657,18490.39701,9243,291735,12946,1680633,2247.24929,6995.7505,0.75687015
ALL+mir:NEGmir~inherently,NEGmir~inherently,ALL+mir,NEGMIR,inherently,0.3891632,2.4025118,0.5615686,3906.56083,2864,291735,5100,1680633,885.29054,1978.7095,0.6908902
ALL+mir:NEGmir~overtly,NEGmir~overtly,ALL+mir,NEGMIR,overtly,0.35352388,1.8673003,0.5269542,477.00005,391,291735,742,1680633,128.80109,262.1989,0.67058545
ALL+mir:NEGmir~again,NEGmir~again,ALL+mir,NEGMIR,again,0.3391613,1.5395799,0.51267606,211.51523,182,291735,355,1680633,61.62317,120.37683,0.66141117
ALL+mir:NEGmir~intrinsically,NEGmir~intrinsically,ALL+mir,NEGMIR,intrinsically,0.31200522,1.6735814,0.485426,455.96555,433,291735,892,1680633,154.83905,278.16095,0.642404
ALL+mir:NEGmir~especially,NEGmir~especially,ALL+mir,NEGMIR,especially,0.22873767,1.4369081,0.4017926,1127.11066,1569,291735,3905,1680633,677.85482,891.1452,0.56797016
ALL+mir:NEGmir~yet,NEGmir~yet,ALL+mir,NEGMIR,yet,0.22158214,1.1008989,0.39506173,220.71865,320,291735,810,1680633,140.60497,179.39503,0.56060946
ALL+mir:NEGmir~statistically,NEGmir~statistically,ALL+mir,NEGMIR,statistically,0.19385868,0.63983124,0.36740333,77.05705,133,291735,362,1680633,62.83827,70.16173,0.5275318
ALL+mir:NEGmir~fully,NEGmir~fully,ALL+mir,NEGMIR,fully,0.19200675,1.2261984,0.3650724,951.647,1664,291735,4558,1680633,791.20672,872.7933,0.5245152
ALL+mir:NEGmir~specifically,NEGmir~specifically,ALL+mir,NEGMIR,specifically,0.19125415,0.6557449,0.36479592,81.37662,143,291735,392,1680633,68.04586,74.95414,0.52415484
ALL+mir:POS~sorely,POS~sorely,ALL+mir,POSMIR,sorely,0.17360198,0.9737395,1.0,57.58213,151,1388898,151,1680633,124.78846,26.21154,0.17358635
ALL+mir:POS~insufficiently,POS~insufficiently,ALL+mir,POSMIR,insufficiently,0.17360157,0.9329784,1.0,56.05671,147,1388898,147,1680633,121.4828,25.5172,0.1735864
ALL+mir:POS~pretty,POS~pretty,ALL+mir,POSMIR,pretty,0.1709421,4.7321463,0.9948483,8277.41961,24525,1388898,24652,1680633,20372.74854,4152.2515,0.16930689
ALL+mir:POS~plain,POS~plain,ALL+mir,POSMIR,plain,0.1707269,4.4510794,0.99662834,1751.24802,5025,1388898,5042,1680633,4166.77747,858.22253,0.17079055
ALL+mir:POS~rather,POS~rather,ALL+mir,POSMIR,rather,0.17062744,4.6340446,0.99618864,2889.54318,8364,1388898,8396,1680633,6938.56875,1425.4313,0.17042458
ALL+mir:POS~somewhat,POS~somewhat,ALL+mir,POSMIR,somewhat,0.17047925,4.3319764,0.9964373,1552.52898,4475,1388898,4491,1680633,3711.42356,763.5764,0.1706316
ALL+mir:POS~maybe,POS~maybe,ALL+mir,POSMIR,maybe,0.17047685,3.9961035,0.99662036,924.00597,2654,1388898,2663,1680633,2200.73947,453.26053,0.17078392
ALL+mir:POS~fairly,POS~fairly,ALL+mir,POSMIR,fairly,0.16993959,4.3316355,0.9957784,1936.21782,5661,1388898,5685,1680633,4698.16142,962.83856,0.17008278
ALL+mir:POS~otherwise,POS~otherwise,ALL+mir,POSMIR,otherwise,0.16798222,4.04039,0.9937267,2179.49358,6653,1388898,6695,1680633,5532.83918,1120.1608,0.16836928
ALL+mir:POS~downright,POS~downright,ALL+mir,POSMIR,downright,0.1679139,3.888796,0.99385595,1539.75684,4691,1388898,4720,1680633,3900.67228,790.3277,0.16847745
ALL+mir:POS~already,POS~already,ALL+mir,POSMIR,already,0.1676813,3.807018,0.9936694,1385.50993,4238,1388898,4265,1680633,3524.65409,713.3459,0.16832136
ALL+mir:POS~relatively,POS~relatively,ALL+mir,POSMIR,relatively,0.1669793,3.8059406,0.99286383,1701.02153,5287,1388898,5325,1680633,4400.65252,886.3475,0.16764659
ALL+mir:POS~almost,POS~almost,ALL+mir,POSMIR,almost,0.16638458,3.7254372,0.9922729,1674.00697,5265,1388898,5306,1680633,4384.95066,880.0493,0.16715087
ALL+mir:POS~equally,POS~equally,ALL+mir,POSMIR,equally,0.16425565,3.5803187,0.98995876,2188.88052,7197,1388898,7270,1680633,6008.02701,1188.973,0.16520397
NEQ+sup:COM~increasingly,COM~increasingly,NEQ+sup,COMPLEMENT,increasingly,0.49710676,7.0696483,0.9957588,22963.6346,17139,3173681,17212,6347362,8606.0,8533.0,0.49787036
NEQ+sup:NEGany~necessarily,NEGany~necessarily,NEQ+sup,NEGATED,necessarily,0.49587297,6.6502004,0.9925203,55995.1343,42595,3173681,42916,6347362,21458.0,21137.0,0.49623194
NEQ+sup:NEGany~that,NEGany~that,NEQ+sup,NEGATED,that,0.5017035,6.260318,0.9885289,214471.8335,164768,3173681,166680,6347362,83340.0,81428.0,0.4941979
NEQ+sup:COM~relatively,COM~relatively,NEQ+sup,COMPLEMENT,relatively,0.49028048,5.983229,0.98819906,34010.2008,26629,3173681,26947,6347362,13473.5,13155.5,0.49402907
NEQ+sup:NEGany~exactly,NEGany~exactly,NEQ+sup,NEGATED,exactly,0.49069923,5.9702587,0.98726845,55763.9933,43813,3173681,44378,6347362,22189.0,21624.0,0.49355215
NEQ+sup:COM~almost,COM~almost,NEQ+sup,COMPLEMENT,almost,0.48229137,5.3039603,0.9807263,24695.0667,20201,3173681,20598,6347362,10299.0,9902.0,0.49017376
NEQ+sup:COM~mostly,COM~mostly,NEQ+sup,COMPLEMENT,mostly,0.48116475,5.1193314,0.980455,11190.0232,9180,3173681,9363,6347362,4681.5,4498.5,0.49003267
NEQ+sup:COM~seemingly,COM~seemingly,NEQ+sup,COMPLEMENT,seemingly,0.48115245,5.070894,0.98057866,9051.317,7422,3173681,7569,6347362,3784.5,3637.5,0.49009702
NEQ+sup:COM~fairly,COM~fairly,NEQ+sup,COMPLEMENT,fairly,0.47774473,5.013982,0.976414,20605.3484,17263,3173681,17680,6347362,8840.0,8423.0,0.48792213
NEQ+sup:COM~pretty,COM~pretty,NEQ+sup,COMPLEMENT,pretty,0.47805542,4.9847217,0.9726659,81991.2638,69603,3173681,71559,6347362,35779.5,33823.5,0.4859489
NEQ+sup:NEGany~immediately,NEGany~immediately,NEQ+sup,NEGATED,immediately,0.47607777,4.9198565,0.9717478,65652.7941,56099,3173681,57730,6347362,28865.0,27234.0,0.4854632
NEQ+sup:COM~largely,COM~largely,NEQ+sup,COMPLEMENT,largely,0.47804812,4.9090624,0.97743076,9604.594,8012,3173681,8197,6347362,4098.5,3913.5,0.48845482
NEQ+sup:COM~partly,COM~partly,NEQ+sup,COMPLEMENT,partly,0.48114377,4.855416,0.98086256,4442.7592,3639,3173681,3710,6347362,1855.0,1784.0,0.49024457
NEQ+sup:COM~rather,COM~rather,NEQ+sup,COMPLEMENT,rather,0.47279382,4.760038,0.9715151,19395.8835,16678,3173681,17167,6347362,8583.5,8094.5,0.48533997
NEQ+sup:COM~sometimes,COM~sometimes,NEQ+sup,COMPLEMENT,sometimes,0.47276223,4.607191,0.9722549,7722.2447,6623,3173681,6812,6347362,3406.0,3217.0,0.48573154
NEQ+sup:NEGany~yet,NEGany~yet,NEQ+sup,NEGATED,yet,0.46841583,4.590548,0.9644471,58435.1734,51867,3173681,53779,6347362,26889.5,24977.5,0.48156825
NEQ+sup:COM~supposedly,COM~supposedly,NEQ+sup,COMPLEMENT,supposedly,0.4832151,4.4735546,0.9831159,1583.3841,1281,3173681,1303,6347362,651.5,629.5,0.49141297
NEQ+sup:COM~also,COM~also,NEQ+sup,COMPLEMENT,also,0.4652288,4.4727993,0.96148723,54459.2379,49082,3173681,51048,6347362,25524.0,23558.0,0.4799723
NEQ+sup:COM~virtually,COM~virtually,NEQ+sup,COMPLEMENT,virtually,0.47009695,4.3643174,0.96979296,4580.9471,3981,3173681,4105,6347362,2052.5,1928.5,0.48442602
NEQ+sup:COM~little,COM~little,NEQ+sup,COMPLEMENT,little,0.47705153,4.306011,0.97692776,1922.0458,1609,3173681,1647,6347362,823.5,785.5,0.48819143
NEQ+sup:COM~comparatively,COM~comparatively,NEQ+sup,COMPLEMENT,comparatively,0.47732905,4.2835555,0.97721356,1795.7792,1501,3173681,1536,6347362,768.0,733.0,0.4883411
NEQ+sup:COM~notoriously,COM~notoriously,NEQ+sup,COMPLEMENT,notoriously,0.47270048,4.1913476,0.9725594,2151.0175,1843,3173681,1895,6347362,947.5,895.5,0.48589256
NEQ+sup:COM~newly,COM~newly,NEQ+sup,COMPLEMENT,newly,0.47475177,4.093639,0.9746544,1497.4797,1269,3173681,1302,6347362,651.0,618.0,0.48699763
NEQ+mir:NEGmir~ever,NEGmir~ever,NEQ+mir,NEGMIR,ever,0.48998228,5.3248653,0.9859715,5953.389,4709,291735,4776,583470,2388.0,2321.0,0.49288598
NEQ+mir:POS~pretty,POS~pretty,NEQ+mir,POSMIR,pretty,0.4801297,4.7288933,0.9758095,6124.974,5123,291735,5250,583470,2625.0,2498.0,0.48760492
NEQ+mir:POS~rather,POS~rather,NEQ+mir,POSMIR,rather,0.48377872,4.6567974,0.98228127,2187.3145,1774,291735,1806,583470,903.0,871.0,0.49098083
NEQ+mir:NEGmir~any,NEGmir~any,NEQ+mir,NEGMIR,any,0.48520347,4.4751205,0.9843029,1328.2692,1066,291735,1083,583470,541.5,524.5,0.49202627
NEQ+mir:POS~plain,POS~plain,NEQ+mir,POSMIR,plain,0.4849701,4.4543843,0.9840824,1307.899,1051,291735,1068,583470,534.0,517.0,0.49191245
NEQ+mir:POS~fairly,POS~fairly,NEQ+mir,POSMIR,fairly,0.48114586,4.3333964,0.9801489,1442.6887,1185,291735,1209,583470,604.5,580.5,0.4898734
NEQ+mir:POS~somewhat,POS~somewhat,NEQ+mir,POSMIR,somewhat,0.48356646,4.2993355,0.9827957,1128.9119,914,291735,930,583470,465.0,449.0,0.49124727
NEQ+mir:NEGmir~before,NEGmir~before,NEQ+mir,NEGMIR,before,0.5002478,4.2515826,1.0,400.7823,289,291735,289,583470,144.5,144.5,0.5
NEQ+mir:POS~otherwise,POS~otherwise,NEQ+mir,POSMIR,otherwise,0.472415,4.0636716,0.9712329,1646.3871,1418,291735,1460,583470,730.0,688.0,0.48519042
NEQ+mir:POS~maybe,POS~maybe,NEQ+mir,POSMIR,maybe,0.4842444,3.971267,0.9837838,677.84344,546,291735,555,583470,277.5,268.5,0.49175823
NEQ+mir:NEGmir~longer,NEGmir~longer,NEQ+mir,NEGMIR,longer,0.47690618,3.9553082,0.97621876,977.89984,821,291735,841,583470,420.5,400.5,0.48781973
NEQ+mir:POS~downright,POS~downright,NEQ+mir,POSMIR,downright,0.47210434,3.8829932,0.97128713,1138.6302,981,291735,1010,583470,505.0,476.0,0.48521915
NEQ+mir:POS~relatively,POS~relatively,NEQ+mir,POSMIR,relatively,0.4687446,3.846072,0.9677966,1302.0457,1142,291735,1180,583470,590.0,552.0,0.48336253
NEQ+mir:NEGmir~necessarily,NEGmir~necessarily,NEQ+mir,NEGMIR,necessarily,0.4705894,3.8239157,0.9697885,1109.0283,963,291735,993,583470,496.5,466.5,0.48442367
NEQ+mir:POS~already,POS~already,NEQ+mir,POSMIR,already,0.47113115,3.798017,0.97039473,1022.3021,885,291735,912,583470,456.0,429.0,0.48474577
NEQ+mir:NEGmir~that,NEGmir~that,NEQ+mir,NEGMIR,that,0.45283887,3.7635875,0.94931686,4499.794,4308,291735,4538,583470,2269.0,2039.0,0.47330546
NEQ+mir:POS~almost,POS~almost,NEQ+mir,POSMIR,almost,0.4639115,3.6720738,0.96302974,1188.3397,1068,291735,1109,583470,554.5,513.5,0.48080525
NEQ+mir:POS~equally,POS~equally,NEQ+mir,POSMIR,equally,0.45517972,3.5764575,0.9539432,1608.8796,1512,291735,1585,583470,792.5,719.5,0.4758598
NEQ+mir:POS~perhaps,POS~perhaps,NEQ+mir,POSMIR,perhaps,0.4663215,3.573639,0.9656925,856.7637,760,291735,787,583470,393.5,366.5,0.48223683
NEQ+mir:NEGmir~particularly,NEGmir~particularly,NEQ+mir,NEGMIR,particularly,0.42983672,3.3113592,0.9224551,8550.113,9243,291735,10020,583470,5010.0,4233.0,0.4579682
NEQ+mir:POS~surprisingly,POS~surprisingly,NEQ+mir,POSMIR,surprisingly,0.46533057,2.9571395,0.96507937,341.4157,304,291735,315,583470,157.5,146.5,0.4819079
NEQ+mir:POS~strangely,POS~strangely,NEQ+mir,POSMIR,strangely,0.46398744,2.3850484,0.96385545,178.54231,160,291735,166,583470,83.0,77.0,0.48125
NEQ+mir:POS~unbelievably,POS~unbelievably,NEQ+mir,POSMIR,unbelievably,0.4653091,2.039908,0.9652174,124.71515,111,291735,115,583470,57.5,53.5,0.481982
