key,f,exp_f,unexp_f,dP1,LRC,G2,t,MI,odds_r_disc,N,f1,f2,l1,l2,adv,adj,adj_total
NEG~remotely_close,219,43.25363540649414,175.74636840820312,0.58786696,3.0169065,524.60915,11.875838,0.70442146,1.2077285,2032082,293963,299,NEGMIR,remotely_close,remotely,close,15958.0
NEG~that_big,113,20.252538681030273,92.7474594116211,0.6625275,2.9896266,308.116945,8.724947,0.74659896,1.3876096,2032082,293963,140,NEGMIR,that_big,that,big,9564.0
NEG~any_different,910,123.80807,786.19193,0.23731425,2.9809842,2270.2386,26.062008,0.8662924,0.9894774,86330752,3226213,3313,NEGATED,any_different,any,different,909864.0
NEG~immediately_evident,428,54.784977,373.215023,0.25458482,2.9585452,1122.0759,18.04003,0.8927823,1.0265281,86330752,3226213,1466,NEGATED,immediately_evident,immediately,evident,60888.0
NEG~remotely_close,696,95.593432,600.406568,0.23472415,2.9190304,1722.7647,22.758352,0.8621812,0.98384047,86330752,3226213,2558,NEGATED,remotely_close,remotely,close,480288.0
NEG~remotely_interested,333,46.787716,286.212284,0.22860737,2.721024,808.73838,15.684337,0.8523124,0.9705158,86330752,3226213,1252,NEGATED,remotely_interested,remotely,interested,364497.0
NEG~that_good,449,105.891845703125,343.108154296875,0.46889588,2.6490061,848.27633,16.192274,0.6273838,0.972556,2032082,293963,732,NEGMIR,that_good,that,good,38252.0
NEG~ever_perfect,207,30.089487075805664,176.91050720214844,0.85061836,2.5849464,788.178734,12.296131,0.8375556,2.9130187,2032082,293963,208,NEGMIR,ever_perfect,ever,perfect,4239.0
NEG~any_worse,1693,317.16241,1375.83759,0.16212712,2.469417,3165.8777,33.437878,0.72737527,0.8077518,86330752,3226213,8487,NEGATED,any_worse,any,worse,214166.0
NEG~any_younger,256,41.892196,214.107804,0.19099963,2.3726544,544.16721,13.381738,0.7861068,0.88278186,86330752,3226213,1121,NEGATED,any_younger,any,younger,29805.0
NEG~any_bigger,357,64.837609,292.162391,0.1683967,2.2728572,688.05949,15.462873,0.7408412,0.8248418,86330752,3226213,1735,NEGATED,any_bigger,any,bigger,130470.0
NEG~exactly_sure,148,21.554487228393555,126.44551086425781,0.84868985,2.0935638,560.650176,10.393757,0.836724,2.7676399,2032082,293963,149,NEGMIR,exactly_sure,exactly,sure,11297.0
NEG~ever_likely,103,24.447708129882812,78.55229187011719,0.46484512,1.999221,192.805976,7.7399874,0.6245991,0.96404064,2032082,293963,169,NEGMIR,ever_likely,ever,likely,15433.0
NEG~that_great,288,83.18006896972656,204.81993103027344,0.35630938,1.9306397,406.357805,12.06913,0.5393732,0.77364814,2032082,293963,575,NEGMIR,that_great,that,great,6821.0
NEG~immediately_available,164,43.9769401550293,120.02305603027344,0.39487177,1.9115089,258.41542,9.372227,0.5716188,0.8404832,2032082,293963,304,NEGMIR,immediately_available,immediately,available,14919.0
NEG~that_important,115,34.429317474365234,80.57068634033203,0.33857194,1.4740936,153.469359,7.513255,0.52376944,0.74284047,2032082,293963,238,NEGMIR,that_important,that,important,48905.0
POS~as_many,1689,1498.5418701171875,190.4581298828125,0.10880279,1.1989305,228.90204,4.634306,0.051960766,0.6535516,2032082,1738105,1752,POSMIR,as_many,as,many,4087.0
NEG~that_bad,206,79.85286712646484,126.14713287353516,0.2285895,1.1422979,175.402246,8.789087,0.4115767,0.547221,2032082,293963,552,NEGMIR,that_bad,that,bad,12841.0
