adv,G2_MIR,G2_SET,LRC_MIR,LRC_SET,MI_MIR,MI_SET,N_MIR,N_SET,dP1_MIR,dP1_SET,exp_f_MIR,exp_f_SET,f1_MIR,f1_SET,f2_MIR,f2_SET,f_MIR,f_SET,key_MIR,key_SET,l1_MIR,l1_SET,odds_r_disc_MIR,odds_r_disc_SET,t_MIR,t_SET,unexp_f_MIR,unexp_f_SET,mean_G2,mean_LRC,mean_MI,mean_N,mean_dP1,mean_expF,mean_f1,mean_f2,mean_f,mean_oddsRDisc,mean_t,mean_unexpF
exactly,1939.46773,214404.2002,3.5101511,5.9020505,0.7028539,1.2777338,2032082.0,86330752.0,0.58546245,0.67148066,161.15235,2301.978,293963.0,3226213.0,1114.0,61599.0,813.0,43635.0,NEG~exactly,NEG~exactly,NEGMIR,NEGATED,1.203984,1.8021766,22.861296,197.86987,651.8476499999999,41333.022,108171.833965,4.706101,0.99029386,44181417.0,0.62847155,1231.565175,1760088.0,31356.5,604556.1666666666,1.5030804,110.365585,20992.434825
necessarily,1688.91266,219003.4572,2.6590717,6.225702,0.60130006,1.3044447,2032082.0,86330752.0,0.43332982,0.7164073,243.17513,2118.676,293963.0,3226213.0,1681.0,56694.0,971.0,42708.0,NEG~necessarily,NEG~necessarily,NEGMIR,NEGATED,0.9089244,1.9014513,23.357012,196.4071,727.82487,40589.324,110346.18493,4.4423866,0.9528724,44181417.0,0.57486856,1180.925565,1760088.0,29187.5,603705.0,1.4051878,109.88206,20658.574435
before,1080.52021,1062.12881,5.107179,3.648369,0.8336992,1.0463313,2032082.0,86330752.0,0.84185535,0.3784083,42.53033,27.953,293963.0,3226213.0,294.0,748.0,290.0,311.0,NEG~before,NEG~before,NEGMIR,NEGATED,2.5821476,1.2634512,14.5319195,16.050121,247.46967,283.047,1071.32451,4.3777742,0.94001526,44181417.0,0.61013186,35.241665,1760088.0,521.0,586969.8333333334,1.9227993,15.29102,265.258335
that,7632.2144,781016.1075,2.864114,5.616967,0.60350126,1.2474164,2032082.0,86330752.0,0.4375152,0.62505066,1080.90694,9357.244,293963.0,3226213.0,7472.0,250392.0,4338.0,165411.0,NEG~that,NEG~that,NEGMIR,NEGATED,0.91863036,1.7225864,49.452175,383.7002,3257.09306,156053.756,394324.16095000005,4.2405405,0.9254588,44181417.0,0.5312829,5219.075470000001,1760088.0,128932.0,657964.8333333334,1.3206084,216.57619,79655.42453
remotely,4009.83635,13354.3259,3.3508883,3.0334048,0.6717906,0.83550876,2032082.0,86330752.0,0.5354808,0.21856578,393.04392,829.398,293963.0,3226213.0,2717.0,22194.0,1846.0,5679.0,NEG~remotely,NEG~remotely,NEGMIR,NEGATED,1.1003863,0.94802886,33.817123,64.3532,1452.95608,4849.602,8682.081125,3.1921465,0.7536497,44181417.0,0.37702328,611.22096,1760088.0,12455.5,592102.0,1.0242076,49.085163,3151.27904
yet,242.23256,209055.7797,1.1821852,4.7369256,0.38623464,1.1406614,2032082.0,86330752.0,0.20746702,0.47983587,131.49684,3800.829,293963.0,3226213.0,909.0,101707.0,320.0,52546.0,NEG~yet,NEG~yet,NEGMIR,NEGATED,0.50745624,1.446725,10.537647,212.64822,188.50316,48745.171,104649.00613000001,2.9595554,0.763448,44181417.0,0.34365144,1966.16292,1760088.0,51308.0,612609.6666666666,0.9770906,111.59293,24466.83708
ever,15340.33822,353.5848,5.5669656,0.27585444,0.7991606,0.10773837,2032082.0,86330752.0,0.7682837,0.010537148,749.19928,4656.05,293963.0,3226213.0,5179.0,124592.0,4718.0,5967.0,NEG~ever,NEG~ever,NEGMIR,NEGATED,1.7883301,0.11272964,57.780373,16.971022,3968.80072,1310.9499999999998,7846.96151,2.92141,0.4534495,44181417.0,0.38941044,2702.62464,1760088.0,64885.5,610105.3333333334,0.9505299,37.375698,2639.87536
immediately,181.20493,239462.5751,0.79490274,4.9627695,0.29027772,1.1721882,2032082.0,86330752.0,0.13768359,0.5187901,208.60115,3855.764,293963.0,3226213.0,1442.0,103177.0,407.0,57319.0,NEG~immediately,NEG~immediately,NEGMIR,NEGATED,0.36710674,1.5153598,9.834266,223.30885,198.39885,53463.236,119821.890015,2.8788362,0.73123294,44181417.0,0.32823685,2032.182575,1760088.0,52309.5,613753.5,0.9412333,116.571556,26830.817424999997
any,2511.25678,23683.004,3.4775622,2.2781208,0.69374996,0.6437504,2032082.0,86330752.0,0.5704271,0.1273109,219.01674,3518.496,293963.0,3226213.0,1514.0,94152.0,1082.0,15492.0,NEG~any,NEG~any,NEGMIR,NEGATED,1.1717216,0.70697564,26.235464,96.198326,862.98326,11973.504,13097.13039,2.8778415,0.66875017,44181417.0,0.34886903,1868.75637,1760088.0,47833.0,605402.6666666666,0.9393486,61.216896,6418.243630000001
particularly,17999.06937,40303.4169,3.1518903,1.4337329,0.63234556,0.41370657,2032082.0,86330752.0,0.47930217,0.0599093,2163.26049,21523.844,293963.0,3226213.0,14954.0,575960.0,9278.0,55799.0,NEG~particularly,NEG~particularly,NEGMIR,NEGATED,0.99769086,0.44627395,73.86383,145.09961,7114.739509999999,34275.156,29151.243134999997,2.2928116,0.52302605,44181417.0,0.26960573,11843.552245,1760088.0,295457.0,696027.8333333334,0.7219824,109.48172,20694.947755
