l1,l2,f,E11,r_log_likelihood,r_Poisson_Stirling,r_odds_ratio,r_Dice,r_dPEX,r_dPXE,am_log_likelihood,am_Poisson_Stirling,am_odds_ratio,am_Dice,am_dPEX,am_dPXE,f1,f2,N
de,rigueur,1499,2.6947367e-02,472,432,1,1,1,8,3.5502094e+04,6.4621752e+03,1.0000000e+07,9.8911250e-01,9.9999961e-01,9.7845953e-01,1532,1499,85220496
bona,fide,484,2.8917926e-03,1369,1226,2,3,6,3,1.2439072e+04,2.3180617e+03,8.6911075e+00,9.7482377e-01,9.5841579e-01,9.9180303e-01,488,505,85220496
nerve,wracking,946,1.0814288e-02,769,683,3,2,4,5,2.3184681e+04,4.2641884e+03,8.6163956e+00,9.8541667e-01,9.8439111e-01,9.8644404e-01,959,961,85220496
bone,marrow,1147,1.9519800e-02,668,603,4,4,5,41,2.6404776e+04,4.9720082e+03,7.2067683e+00,8.8503086e-01,9.8117726e-01,8.0604331e-01,1423,1169,85220496
scantily,clad,5365,4.5096592e-01,160,136,5,5,35,2,1.0613694e+05,1.9534671e+04,6.8377523e+00,8.5730265e-01,7.5425233e-01,9.9294636e-01,5403,7113,85220496
chock,full,2339,3.0286925e+00,550,512,6,697,23796,1,3.1140025e+04,5.7386910e+03,6.2657369e+00,4.1529802e-02,2.1205406e-02,9.9830575e-01,2340,110302,85220496
thinly,veiled,1560,4.2520335e-02,504,436,7,6,36,23,3.3640657e+04,6.4431642e+03,6.1393819e+00,8.1654017e-01,7.5253036e-01,8.9244249e-01,1748,2073,85220496
tone,deaf,525,3.7980159e-02,1652,1430,8,99,5858,4,9.9968272e+03,1.9458117e+03,6.0605776e+00,1.5870617e-01,8.6291831e-02,9.8677687e-01,532,6084,85220496
above,reproach,696,3.2511193e-02,1244,1055,9,29,7,531,1.3800110e+04,2.7118122e+03,5.7270134e+00,3.0816914e-01,9.5078342e-01,1.8388333e-01,3785,732,85220496
eagerly,awaited,481,9.6047786e-03,1639,1348,10,10,153,119,1.0087665e+04,2.0516397e+03,5.3603294e+00,5.3119823e-01,5.5414204e-01,5.1006969e-01,943,868,85220496
middle,aged,2206,2.8683274e-01,424,353,11,24,1718,12,3.9336509e+04,7.6144112e+03,5.3419918e+00,3.4204202e-01,2.0828886e-01,9.5570750e-01,2308,10591,85220496
old,fashioned,456,9.8872107e-03,1727,1443,12,12,101,187,9.4681877e+03,1.9286960e+03,5.3095770e+00,4.8356310e-01,6.2722696e-01,3.9343944e-01,1159,727,85220496
super,duper,721,2.6538980e+00,1965,1849,13,12474,2,55764,8.0703451e+03,1.4418245e+03,5.2919897e+00,4.5927662e-03,9.9494763e-01,2.3016642e-03,313250,722,85220496
golden,brown,2351,3.5788260e-01,402,336,14,28,1993,13,4.1045911e+04,7.9539445e+03,5.1903163e+00,3.1826181e-01,1.9124553e-01,9.4748511e-01,2481,12293,85220496
finely,chopped,914,5.5252483e-02,1010,835,15,25,16,439,1.7318172e+04,3.4588501e+03,5.1079025e+00,3.3845584e-01,8.3619073e-01,2.1216132e-01,4308,1093,85220496
hotly,disputed,296,7.5656096e-03,2564,2149,16,22,558,206,5.9195813e+03,1.2308134e+03,4.9919213e+00,3.6861768e-01,3.6497565e-01,3.7232100e-01,795,811,85220496
upwardly,mobile,2098,5.7675346e-01,496,423,17,87,5318,11,3.4013994e+04,6.5594406e+03,4.9710764e+00,1.7046516e-01,9.3563540e-02,9.5687828e-01,2192,22423,85220496
tightly,wound,346,1.8316298e-02,2354,1991,18,84,29,1123,6.5487292e+03,1.3293126e+03,4.9675218e+00,1.7567911e-01,7.7401230e-01,9.9082434e-02,3492,447,85220496
sparsely,populated,1006,5.6775262e-02,941,762,19,13,683,76,1.8872417e+04,3.8370292e+03,4.8457498e+00,4.3739130e-01,3.3848530e-01,6.1791305e-01,1628,2972,85220496
medium,bodied,632,2.7803030e-02,1414,1148,20,16,221,246,1.2045983e+04,2.4789129e+03,4.8363986e+00,4.0267601e-01,5.0038129e-01,3.3687959e-01,1876,1263,85220496
tech,savvy,685,1.4564278e-01,1499,1279,21,293,12672,20,1.1295576e+04,2.2181034e+03,4.7528239e+00,7.9195329e-02,4.1391466e-02,9.1314718e-01,750,16549,85220496
extensively,drug-resistant,246,9.2623493e-03,3160,2599,22,38,376,539,4.6898435e+03,9.8152019e+02,4.7482043e+00,2.5452664e-01,4.1978230e-01,1.8262407e-01,1347,586,85220496
ritually,unclean,194,7.4976330e-03,3842,3161,23,45,1981,279,3.6611490e+03,7.7184512e+02,4.6646422e+00,2.3615338e-01,1.9188408e-01,3.0695244e-01,632,1011,85220496
variably,intermittent,229,9.4841973e-03,3390,2789,24,40,1803,263,4.2967553e+03,9.0421576e+02,4.6489418e+00,2.4810401e-01,2.0229113e-01,3.2071770e-01,714,1132,85220496
slow,paced,272,1.5400943e-02,2981,2477,25,86,4861,105,4.9957937e+03,1.0370618e+03,4.6462611e+00,1.7144658e-01,1.0133874e-01,5.5620892e-01,489,2684,85220496
tightly,knit,1080,8.0026242e-02,911,735,26,18,155,274,1.9511064e+04,3.9915686e+03,4.6405540e+00,3.9669421e-01,5.5296709e-01,3.0926811e-01,3492,1953,85220496
mid,20th,131,5.0973653e-03,5202,4255,27,70,2519,382,2.4556480e+03,5.2080767e+02,4.6074858e+00,1.9508563e-01,1.6374517e-01,2.4124445e-01,543,800,85220496
ritually,impure,159,6.4890493e-03,4498,3690,28,62,2152,360,2.9705647e+03,6.2883253e+02,4.6021601e+00,2.1101526e-01,1.8170874e-01,2.5157388e-01,632,875,85220496
dimly,lit,787,5.1529059e-02,1212,969,29,21,385,245,1.4278661e+04,2.9509573e+03,4.5973137e+00,3.7360551e-01,4.1594394e-01,3.3906502e-01,2321,1892,85220496
full,bodied,368,1.8599575e-02,2272,1875,30,31,968,298,6.7848702e+03,1.4212345e+03,4.5966343e+00,2.9229547e-01,2.9135935e-01,2.9321659e-01,1255,1263,85220496
electrically,conductive,1061,7.9251451e-02,928,752,31,15,497,160,1.9062392e+04,3.9176509e+03,4.5850415e+00,4.0721551e-01,3.7999839e-01,4.3859068e-01,2419,2792,85220496
sparsely,furnished,289,1.5397329e-02,2845,2344,32,42,590,555,5.2830306e+03,1.1095167e+03,4.5511598e+00,2.3746919e-01,3.5854508e-01,1.7751236e-01,1628,806,85220496
contractually,obligated,158,8.4696292e-03,4605,3791,33,108,5115,222,2.8720694e+03,6.0616672e+02,4.5070810e+00,1.5228916e-01,9.6751107e-02,3.5744876e-01,442,1633,85220496
thickly,wooded,104,4.8985399e-03,6396,5232,34,113,4331,391,1.9027554e+03,4.0483791e+02,4.4934215e+00,1.5050651e-01,1.1110710e-01,2.3317409e-01,446,936,85220496
religiously,unaffiliated,1048,1.3137642e-01,984,807,35,44,66,733,1.7878033e+04,3.6339917e+03,4.4722938e+00,2.3659555e-01,6.8623929e-01,1.4292946e-01,7332,1527,85220496
inversely,proportional,1528,1.9103137e-01,678,554,36,26,1478,74,2.6051827e+04,5.3002106e+03,4.4443142e+00,3.3512447e-01,2.2862918e-01,6.2719731e-01,2436,6683,85220496
far,away,1283,6.7252742e+00,1283,1209,37,9428,3,47099,1.3388668e+04,2.3687031e+03,4.4365280e+00,5.7676919e-03,9.8784371e-01,2.8921391e-03,443600,1292,85220496
farther,afield,333,2.2594576e-02,2565,2128,38,56,2509,231,5.9179073e+03,1.2434705e+03,4.4339683e+00,2.2364003e-01,1.6411303e-01,3.5087578e-01,949,2029,85220496
morbidly,obese,3018,5.1559132e-01,331,263,39,14,895,62,5.0190901e+04,1.0059354e+04,4.4290211e+00,4.1905026e-01,3.0124168e-01,6.8801635e-01,4386,10018,85220496
densely,populated,949,8.8406197e-02,1063,848,40,23,782,204,1.6469916e+04,3.4130681e+03,4.4014880e+00,3.4465226e-01,3.1929498e-01,3.7433524e-01,2535,2972,85220496
squeaky,clean,1002,1.1007386e+00,1282,1134,41,1673,40840,10,1.3396186e+04,2.5299388e+03,4.3590467e+00,2.2047175e-02,1.1151178e-02,9.5872751e-01,1044,89852,85220496
carefully,orchestrated,428,3.9266141e-02,2120,1737,42,74,312,872,7.3864897e+03,1.5421401e+03,4.3530993e+00,1.9162749e-01,4.4954361e-01,1.2175772e-01,3515,952,85220496
