    l1  l2                     f      E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple       f1     f2        N  
------  ------------------  ----  -------  ----------------  -----------------  -----------  -----------  ------------------  ------------------  -----------------  ------------------  ------------  ------------  -------------------  -------------------  -------  -----  -------  
NEGMIR  not                 1404   243.72                11                  1            1           25                   1                  48            4922.63               4.128         0.827       0.00481                1.000              0.00481   291735   1404  1680633  
NEGMIR  n't                  245    42.53                46                  2            2           80                   1                 136             858.20               3.369         0.827       0.00084                1.000              0.00084   291735    245  1680633  
NEGMIR  never                153    26.56                54                  3            3          103                   1                 194             535.90               3.165         0.826       0.00052                1.000              0.00052   291735    153  1680633  
NEGMIR  no                    76    13.19                72                  5            4          172                   1                 327             266.18               2.862         0.826       0.00026                1.000              0.00026   291735     76  1680633  
NEGMIR  slam                  34     5.90               131                  6            5          280                   1                 518             119.08               2.517         0.826       0.00012                1.000              0.00012   291735     34  1680633  
NEGMIR  hardly                24     4.17               155                  7            6          331                   1                 627              84.05               2.368         0.826       0.00008                1.000              0.00008   291735     24  1680633  
NEGMIR  doubt                 21     3.65               177                  8            7          355                   1                 673              73.55               2.311         0.826       0.00007                1.000              0.00007   291735     21  1680633  
NEGMIR  barely                17     2.95               201                  9            8          393                   1                 749              59.54               2.222         0.826       0.00006                1.000              0.00006   291735     17  1680633  
NEGMIR  rarely                16     2.78               212                 10            9          404                   1                 769              56.04               2.196         0.826       0.00005                1.000              0.00005   291735     16  1680633  
NEGMIR  the-less               6     1.04               366                 15           10          676                   1                1281              21.01               1.792         0.826       0.00002                1.000              0.00002   291735      6  1680633  
NEGMIR  se                     5     0.87               393                 25           11          737                   1                1396              17.51               1.719         0.826       0.00002                1.000              0.00002   291735      5  1680633  
NEGMIR  strings                5     0.87               393                 25           11          737                   1                1396              17.51               1.719         0.826       0.00002                1.000              0.00002   291735      5  1680633  
NEGMIR  before               289    50.34                43                  4           13           70                 530                 124             999.41               2.964         0.823       0.00099                0.997              0.00099   291735    290  1680633  
NEGMIR  whatsoever            48     8.51               108                 11           14          221                 638                 427             158.73               2.187         0.806       0.00016                0.980              0.00016   291735     49  1680633  
NEGMIR  ever                4709   875.22                 5                 12           15            9                 989                  21           14226.71               1.835         0.763       0.01590                0.934              0.01614   291735   5042  1680633  
NEGMIR  wise                  53     9.89               109                 20           16          211                1016                 393             158.18               1.753         0.756       0.00018                0.930              0.00018   291735     57  1680633  
NEGMIR  anywhere              38     7.12               135                 24           17          264                1037                 485             112.77               1.719         0.753       0.00013                0.927              0.00013   291735     41  1680633  
