key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~remotely_surprising,75,0.85951287,5.127421,0.90361446,416.2757,NEGATED,remotely_surprising,3173681,83,71961373,3.6605127,71.3394873,0.95119315,remotely,15394,surprising,69947,2.2844856,8.237575,1.3115194
NEGmir~remotely_believable,21,0.82642394,1.9376607,1.0,73.5466079711914,NEGMIR,remotely_believable,291735,21,1680633,3.645314,17.354686737060547,0.82641363,remotely,2314,believable,594,2.3111808,3.787103,0.76048434
NEGmir~remotely_surprising,17,0.826422,1.4753664,1.0,59.53753662109375,NEGMIR,remotely_surprising,291735,17,1680633,2.9509685,14.049031257629396,0.82641363,remotely,2314,surprising,2648,2.2217746,3.4073906,0.76048434
NEGmir~remotely_comparable,44,0.76260513,2.7016456,0.9361702,132.93080139160156,NEGMIR,remotely_comparable,291735,47,1680633,8.1585599,35.84143829345703,0.8145782,remotely,2314,comparable,281,1.7820377,5.4033003,0.7318392
NEGany~remotely_ready,58,0.76145375,4.254498,0.8055556,292.39253,NEGATED,remotely_ready,3173681,72,71961373,3.1753845,54.8246155,0.945252,remotely,15394,ready,140804,1.9417431,7.198825,1.2616316
NEGmir~remotely_true,61,0.7506855,3.0223675,0.92424244,180.13510131835938,NEGMIR,remotely_true,291735,66,1680633,11.4567011,49.54330062866211,0.8121852,remotely,2314,true,6098,1.726283,6.3433695,0.72627026
NEGmir~remotely_close,218,0.66176546,3.392734,0.83524907,546.4147338867188,NEGMIR,remotely_close,291735,261,1680633,45.3060454,172.69395446777344,0.7921741,remotely,2314,close,13768,1.3789546,11.69631,0.6823003
NEGany~remotely_true,250,0.64842147,4.6838365,0.6925208,1125.1263,NEGATED,remotely_true,3173681,361,71961373,15.921025,234.078975,0.9363159,remotely,15394,true,227128,1.6875138,14.804454,1.195969
NEGmir~remotely_funny,41,0.6464329,1.910489,0.82,99.88541412353516,NEGMIR,remotely_funny,291735,50,1680633,8.679319,32.320682525634766,0.7883093,remotely,2314,funny,5362,1.318064,5.047642,0.6742982
NEGany~remotely_funny,137,0.6209478,4.225201,0.66504854,598.74537,NEGATED,remotely_funny,3173681,206,71961373,9.085128,127.914872,0.9336852,remotely,15394,funny,122146,1.6322836,10.928505,1.1783895
NEGany~remotely_qualified,57,0.6110706,3.5193589,0.6551724,246.43995,NEGATED,remotely_qualified,3173681,87,71961373,3.836923,53.163077,0.93268555,remotely,15394,qualified,73191,1.611323,7.0416217,1.1718918
NEGmir~remotely_possible,38,0.5864311,1.531228,0.76,82.55348205566406,NEGMIR,remotely_possible,291735,50,1680633,8.679319,29.320680618286133,0.77159685,remotely,2314,possible,3028,1.1662848,4.7564425,0.64129794
NEGmir~remotely_interesting,56,0.5537117,1.7809241,0.72727275,113.89950561523438,NEGMIR,remotely_interesting,291735,77,1680633,13.3661513,42.63385009765625,0.76131874,remotely,2314,interesting,12368,1.097368,5.697188,0.62218165
NEGmir~remotely_similar,71,0.5026355,1.7395211,0.6761905,129.3911590576172,NEGMIR,remotely_similar,291735,105,1680633,18.22657,52.77342987060547,0.74328774,remotely,2314,similar,6966,0.99426323,6.263054,0.5905534
NEGany~remotely_comparable,118,0.47802284,3.439577,0.5221239,433.49857,NEGATED,remotely_comparable,3173681,226,71961373,9.9671793,108.0328207,0.91553235,remotely,15394,comparable,12202,1.3742515,9.945228,1.0733098
NEGany~remotely_close,694,0.45339727,3.9754236,0.49749103,2461.8006,NEGATED,remotely_close,3173681,1395,71961373,61.523076,632.476924,0.91135,remotely,15394,close,407539,1.3316826,24.008495,1.0523214
NEGany~remotely_accurate,50,0.35589805,2.2219129,0.4,150.63717,NEGATED,remotely_accurate,3173681,125,71961373,5.5128204,44.4871796,0.88974357,remotely,15394,accurate,151014,1.1612982,6.291437,0.9575962
NEGany~remotely_interested,330,0.28458667,2.8321276,0.32868525,849.29142,NEGATED,remotely_interested,3173681,1004,71961373,44.278973,285.721027,0.8658213,remotely,15394,interested,259727,1.0261778,15.728425,0.8723164
NEGany~remotely_similar,152,0.27059904,2.4602313,0.3146998,377.08703,NEGATED,remotely_similar,3173681,483,71961373,21.301538,130.698462,0.8598583,remotely,15394,similar,202564,0.9987524,10.601045,0.85343266
