,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,log_ratio,conservative_log_ratio,unexpected_count,unexpected_ratio,joint_probability
0,far,away,1284,6.811,13385.0,4.51,0.989,0.003,15.078,12.675,1277.189,0.995,0.003
1,bone,marrow,1147,0.019,26482.133,7.267,0.982,0.827,21.645,20.079,1146.981,1.0,0.812
2,well,intentioned,1786,4.236,20799.309,3.705,0.914,0.01,12.297,11.645,1781.764,0.998,0.009
3,most,wanted,3371,310.443,15699.7,2.87,0.896,0.0,9.55,8.429,3060.557,0.908,0.0
4,legally,binding,2438,1.245,35625.137,4.202,0.868,0.066,13.862,13.407,2436.755,0.999,0.057
5,very,own,95941,11637.796,391490.3,2.593,0.863,0.01,8.6,8.405,84303.2,0.879,0.008
6,finely,chopped,1109,0.066,21167.307,5.199,0.858,0.26,16.842,16.201,1108.934,1.0,0.223
7,previously,unreleased,4830,4.965,63646.44,3.86,0.856,0.066,12.726,12.413,4825.035,0.999,0.056
8,partly,cloudy,54413,61.312,752182.75,4.249,0.837,0.692,12.415,12.326,54351.688,0.999,0.58
9,seemingly,never-ending,1865,4.332,21337.52,3.431,0.837,0.011,11.381,10.911,1860.668,0.998,0.01
10,not,inconsiderable,927,55.3,4730.032,2.153,0.836,0.0,7.157,6.377,871.7,0.94,0.0
11,very,first,150034,18777.047,580983.6,2.165,0.834,0.015,7.169,7.072,131256.95,0.875,0.013
12,long,overdue,20079,21.275,266763.44,3.892,0.833,0.273,12.468,12.324,20057.725,0.999,0.227
13,very,earliest,2091,261.75,8067.051,2.154,0.832,0.0,7.163,6.391,1829.25,0.875,0.0
14,now,defunct,7932,50.02,74862.266,2.986,0.829,0.018,9.893,9.664,7881.98,0.994,0.015
15,highly,regarded,3562,39.324,29564.781,2.729,0.823,0.005,9.06,8.724,3522.676,0.989,0.004
16,most,populous,29436,2945.303,121988.2,1.997,0.818,0.004,6.63,6.47,26490.697,0.9,0.003
17,too,late,136383,6941.132,724075.56,2.085,0.798,0.038,6.871,6.814,129441.87,0.949,0.03
18,not,returnable,1351,85.469,6537.13,1.965,0.785,0.0,6.531,5.982,1265.531,0.937,0.0
19,most,distinguishing,769,80.155,3034.824,1.831,0.781,0.0,6.089,5.289,688.845,0.896,0.0
20,scantily,clad,5367,0.453,106353.47,6.916,0.768,0.994,15.644,15.408,5366.547,1.0,0.764
21,very,latest,6986,938.323,24382.217,1.761,0.767,0.001,5.849,5.557,6047.677,0.866,0.001
22,just,sayin,838,8.504,6956.346,2.622,0.759,0.001,8.711,8.126,829.496,0.99,0.001
23,thinly,veiled,1560,0.042,33818.242,6.255,0.759,0.915,17.229,16.804,1559.958,1.0,0.694
24,very,same,49174,6674.434,169454.11,1.724,0.758,0.005,5.721,5.614,42499.566,0.864,0.004
25,highly,touted,1278,15.373,10166.307,2.542,0.754,0.002,8.444,7.97,1262.627,0.988,0.001
26,most,storied,1053,113.781,3992.164,1.723,0.75,0.0,5.726,5.102,939.219,0.892,0.0
27,desperately,needed,914,0.191,14708.193,4.31,0.748,0.07,14.214,13.672,913.809,1.0,0.053
28,potentially,libelous,897,2.96,9424.442,3.082,0.746,0.004,10.233,9.685,894.04,0.997,0.003
29,still,unaccounted,1699,22.485,13152.475,2.482,0.743,0.002,8.243,7.84,1676.515,0.987,0.002
30,most,ardent,7357,801.827,27636.973,1.701,0.743,0.001,5.65,5.413,6555.173,0.891,0.001
31,more,leeway,837,110.015,2874.768,1.657,0.74,0.0,5.508,4.789,726.985,0.869,0.0
32,seemingly,unending,1007,2.664,10999.8,3.158,0.735,0.006,10.484,9.978,1004.336,0.997,0.005
33,most,die-hard,884,99.604,3203.926,1.62,0.716,0.0,5.382,4.761,784.396,0.887,0.0
34,more,streamlined,4660,631.776,15419.952,1.575,0.714,0.0,5.23,4.941,4028.224,0.864,0.0
35,previously,undisclosed,1889,2.348,23410.855,3.452,0.708,0.026,11.43,11.075,1886.652,0.999,0.018
36,most,prestigious,35273,4043.214,125687.38,1.585,0.702,0.005,5.259,5.161,31229.785,0.885,0.003
37,most,beloved,18447,2118.302,65573.16,1.58,0.701,0.002,5.246,5.112,16328.698,0.885,0.002
