key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~not,NEGMIR,not,1404,702.0,1949.7439,3.4506469,0.50120604,0.0048125866,1.0,0.0048125866,291735,1404,583470,1404.0,290331.0,0.0,291735.0,291735.0,291735.0,1404.0,582066.0,291033.0,702.0,291033.0,18.734995,0.009579073,0.30103,0.0048125866,0.50120604,0.50120604,0.25300932,702.0,0.5,6.561446,6.4115667,6.6310654,6.806829,7.869339,6.7139,37.469987990390386,540.1249855357554,37.469987990390386
NEG~before,NEGMIR,before,289,144.5,400.7823,2.763109,0.5002478,0.0009906251,1.0,0.0009906251,291735,289,583470,289.0,291446.0,0.0,291735.0,291735.0,291735.0,289.0,583181.0,291590.5,144.5,291590.5,8.5,0.001979289,0.30103,0.0009906251,0.5002478,0.5002478,0.2506192,144.5,0.5,4.2515826,4.098478,4.3225894,4.5015726,5.5770364,4.40699,17.0,540.1249855357554,17.0
NEG~n't,NEGMIR,n't,245,122.5,339.74503,2.6914463,0.50021005,0.0008398032,1.0,0.0008398032,291735,245,583470,245.0,291490.0,0.0,291735.0,291735.0,291735.0,245.0,583225.0,291612.5,122.5,291612.5,7.826238,0.001678197,0.30103,0.0008398032,0.50021005,0.50021005,0.2505249,122.5,0.5,4.0066047,3.8527646,4.0779276,4.2576447,5.336053,4.1626854,15.652475842498529,540.1249855357554,15.652475842498529
NEG~never,NEGMIR,never,153,76.5,212.14317,2.4873662,0.50013113,0.0005244486,1.0,0.0005244486,291735,153,583470,153.0,291582.0,0.0,291735.0,291735.0,291735.0,153.0,583317.0,291658.5,76.5,291658.5,6.1846585,0.001048347,0.30103,0.0005244486,0.50013113,0.50013113,0.2503278,76.5,0.5,3.3008325,3.1440644,3.3734143,3.5560474,4.646139,3.4595914,12.36931687685298,540.1249855357554,12.36931687685298
NEG~no,NEGMIR,no,76,38.0,105.36827,2.1848047,0.50006515,0.0002605104,1.0,0.0002605104,291735,76,583470,76.0,291659.0,0.0,291735.0,291735.0,291735.0,76.0,583394.0,291697.0,38.0,291697.0,4.358899,0.000520885,0.30103,0.0002605104,0.50006515,0.50006515,0.2501628,38.0,0.5,2.2190244,2.0541754,2.295074,2.48573,3.6077778,2.3851578,8.717797887081348,540.1249855357554,8.717797887081348
NEG~wise,NEGMIR,wise,53,26.5,73.47842,2.0294626,0.5000454,0.0001816717,1.0,0.0001816717,291735,53,583470,53.0,291682.0,0.0,291735.0,291735.0,291735.0,53.0,583417.0,291708.5,26.5,291708.5,3.640055,0.000363277,0.30103,0.0001816717,0.5000454,0.5000454,0.25011355,26.5,0.5,1.6357087,1.4636801,1.7148329,1.9125875,3.062698,1.8083762,7.280109889280518,540.1249855357554,7.280109889280518
NEG~whatsoever,NEGMIR,whatsoever,48,24.0,66.54608,1.9868432,0.5000411,0.0001645329,1.0,0.0001645329,291735,48,583470,48.0,291687.0,0.0,291735.0,291735.0,291735.0,48.0,583422.0,291711.0,24.0,291711.0,3.4641016,0.000329012,0.30103,0.0001645329,0.5000411,0.5000411,0.25010285,24.0,0.5,1.4707621,1.2962171,1.5509627,1.7511994,2.9110773,1.6457161,6.928203230275509,540.1249855357554,6.928203230275509
NEG~slam,NEGMIR,slam,34,17.0,47.13599,1.8388997,0.50002915,0.0001165441,1.0,0.0001165441,291735,34,583470,34.0,291701.0,0.0,291735.0,291735.0,291735.0,34.0,583436.0,291718.0,17.0,291718.0,2.9154758,0.000233061,0.30103,0.0001165441,0.50002915,0.50002915,0.25007284,17.0,0.5,0.87610674,0.6903089,0.96111286,1.1724129,2.3755724,1.0612633,5.830951894845301,540.1249855357554,5.830951894845301
POS~inexplicably,POSMIR,inexplicably,33,16.5,45.74958,1.826124,0.50002825,0.0001131164,1.0,0.0001131164,291735,33,583470,33.0,291702.0,0.0,291735.0,291735.0,291735.0,33.0,583437.0,291718.5,16.5,291718.5,2.8722813,0.000226207,0.30103,0.0001131164,0.50002825,0.50002825,0.2500707,16.5,0.5,0.82283384,0.63584185,0.9083493,1.12082,2.328537,1.0090711,5.744562646538029,540.1249855357554,5.744562646538029
POS~admittedly,POSMIR,admittedly,31,15.5,42.976772,1.7993867,0.5000266,0.0001062608,1.0,0.0001062608,291735,31,583470,31.0,291704.0,0.0,291735.0,291735.0,291735.0,31.0,583439.0,291719.5,15.5,291719.5,2.7838821,0.000212499,0.30103,0.0001062608,0.5000266,0.5000266,0.2500664,15.5,0.5,0.7101803,0.5205525,0.79681945,1.0118726,2.2296257,0.8988019,5.5677643628300215,540.1249855357554,5.5677643628300215
