key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,first_char
POS~emotionally,POSMIR,emotionally,1105,1005.8873,66.73849,0.3200726,0.08169969,0.000409994,0.9102142,0.000783592,1410172,1214,1701929,1105.0,1409067.0,109.0,291648.0,1410172.0,291757.0,1214.0,1700715.0,1409166.112675676,208.112675676,291548.887324324,2.981591,0.001565837,0.040812943,0.000409994,0.08169969,0.08169969,0.04105484,99.11270000000002,0.08969475,0.37560162,0.33774078,0.39265388,0.43424368,0.6687895,0.49782866,33.24154027718932,1187.5066315604304,34.84250278036869,e
POS~much,POSMIR,much,21811,19894.8604,1270.13539,0.31539643,0.08094455,0.007926386,0.9083753,0.015466908,1410172,24011,1701929,21811.0,1388361.0,2200.0,289557.0,1410172.0,291757.0,24011.0,1677918.0,1390277.139584554,4116.139584554,287640.860415446,12.974462,0.030415922,0.03993468,0.007926386,0.08094455,0.08094455,0.044435468,1916.1395999999986,0.08785199,0.8753955,0.86604327,0.8795919,0.8897855,0.9461783,0.90525717,147.68547660484427,1187.5066315604304,154.9548321285916,m
POS~completely,POSMIR,completely,24506,22360.6929,1417.65186,0.31422144,0.08077492,0.00887437,0.90806687,0.017378023,1410172,26987,1701929,24506.0,1385666.0,2481.0,289276.0,1410172.0,291757.0,26987.0,1674942.0,1387811.307066276,4626.307066276,287130.692933724,13.704186,0.034103394,0.03978717,0.00887437,0.08077492,0.08077492,0.044824645,2145.307100000002,0.08754212,0.87931424,0.87049,0.8832735,0.89289016,0.9460722,0.9074841,156.5439235486322,1187.5066315604304,164.2772047485591,c
POS~wildly,POSMIR,wildly,1045,953.6872,59.41015,0.30788836,0.0793871,0.000377728,0.9079062,0.000741044,1410172,1151,1701929,1045.0,1409127.0,106.0,291651.0,1410172.0,291757.0,1151.0,1700778.0,1409218.312759228,197.312759228,291559.687240772,2.8247066,0.00148088,0.039710317,0.000377728,0.0793871,0.0793871,0.039882414,91.31280000000004,0.08738067,0.32497042,0.28656775,0.34226713,0.38445416,0.6224022,0.44895545,32.32645975048923,1187.5066315604304,33.926390907374746,w
POS~absolutely,POSMIR,absolutely,5237,4790.8077,281.57981,0.2988829,0.07743227,0.001845738,0.90574193,0.003713731,1410172,5782,1701929,5237.0,1404935.0,545.0,291212.0,1410172.0,291757.0,5782.0,1696147.0,1405381.19233176,991.19233176,290765.80766824,6.1656775,0.007397133,0.038673837,0.001845738,0.07743227,0.07743227,0.039639004,446.1922999999997,0.08519998,0.6712637,0.6530098,0.679464,0.6994087,0.8103988,0.7297487,72.3671196055225,1187.5066315604304,76.03946343840151,a
POS~uniquely,POSMIR,uniquely,1014,933.8015,45.9116,0.26715013,0.07120821,0.000331753,0.8997338,0.000719061,1410172,1127,1701929,1014.0,1409158.0,113.0,291644.0,1410172.0,291757.0,1127.0,1700802.0,1409238.198505343,193.198505343,291563.801494657,2.518531,0.001436974,0.03578339,0.000331753,0.07120821,0.07120821,0.03576998,80.19849999999997,0.07909122,0.20638523,0.16877773,0.22331953,0.26461178,0.4972223,0.32771492,31.843366656181317,1187.5066315604304,33.57082066318904,u
POS~readily,POSMIR,readily,1781,1643.0598,76.94581,0.26035863,0.06964253,0.00057061,0.8981341,0.001262967,1410172,1983,1701929,1781.0,1408391.0,202.0,291555.0,1410172.0,291757.0,1983.0,1699946.0,1408528.940227236,339.940227236,291417.059772764,3.268579,0.002522386,0.035010558,0.00057061,0.06964253,0.06964253,0.03510657,137.9402,0.07745098,0.3468462,0.31780285,0.35991037,0.39172962,0.5699871,0.44025558,42.20189569201838,1187.5066315604304,44.53088815642464,r
NEG~actually,NEGMIR,actually,1071,781.4698,119.16574,0.17217036,0.06367796,0.001197764,0.23491994,0.003671178,291732,4559,1701929,1071.0,290661.0,3488.0,1406709.0,291732.0,1410197.0,4559.0,1697370.0,290950.530157251,3777.530157251,1406419.469842749,8.847062,0.007229379,0.13687725,0.001197764,0.06367796,0.06367796,0.03243786,289.53020000000004,0.27033633,0.31016764,0.29457802,0.31714353,0.33403972,0.42627433,0.35955203,32.72613634390714,540.122208393619,67.52036729757918,a
NEG~entirely,NEGMIR,entirely,2415,1782.1763,251.35132,0.16630816,0.0612401,0.002617944,0.23227854,0.008278146,291732,10397,1701929,2415.0,289317.0,7982.0,1402215.0,291732.0,1410197.0,10397.0,1691532.0,289949.823655393,8614.823655393,1401582.176344606,12.87728,0.015986549,0.13196646,0.002617944,0.0612401,0.0612401,0.031929024,632.8236999999999,0.2620388,0.3769974,0.36675268,0.381584,0.39269915,0.45352447,0.40949854,49.14264950122246,540.122208393619,101.96568050084302,e
POS~seriously,POSMIR,seriously,3385,3159.3479,104.78662,0.21382795,0.05931255,0.000933442,0.8877524,0.002400416,1410172,3813,1701929,3385.0,1406787.0,428.0,291329.0,1410172.0,291757.0,3813.0,1698116.0,1407012.652085957,653.652085957,291103.347914043,3.8784661,0.004787887,0.029961219,0.000933442,0.05931255,0.05931255,0.030122995,225.6520999999998,0.06666236,0.34624022,0.32553747,0.35554215,0.37817046,0.50420636,0.41260418,58.180752831155424,1187.5066315604304,61.74949392505172,s
