key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
remotely~detonated,78,0.020070322,77.979929678,0.87618005,0.8764045,0.0047484185,0.0047485693,12.691217,1243.7541,72839589,16426,89,remotely,detonated
remotely~exploitable,145,0.22235211,144.77764789,0.1468353,0.14705883,0.00881592,0.008827468,8.792356,1613.3784,72839589,16426,986,remotely,exploitable
remotely~comparable,277,2.7629391,274.2370609,0.02238681,0.022608554,0.01669907,0.016863508,6.1546235,2014.9961,72839589,16426,12252,remotely,comparable
remotely~plausible,183,3.9624228,179.0375772,0.010191837,0.010414888,0.010902104,0.011140875,4.891362,1048.458,72839589,16426,17571,remotely,plausible
remotely~related,617,23.763036,593.236964,0.0056379256,0.0058552786,0.036123876,0.0375624,4.3641815,2857.4118,72839589,16426,105375,remotely,related
remotely~close,1597,92.758488,1504.241512,0.0036777963,0.003882537,0.09159752,0.097223915,3.9016738,6229.8037,72839589,16426,411329,remotely,close
remotely~interested,1062,59.653507,1002.346493,0.0038029999,0.004014698,0.06103571,0.0646536,3.9012747,4177.5585,72839589,16426,264528,remotely,interested
remotely~credible,100,3.6798597,96.3201403,0.0059040156,0.006128202,0.0058652055,0.0060879095,3.8659496,468.9548,72839589,16426,16318,remotely,credible
remotely~possible,727,55.311101,671.688899,0.0027477997,0.0029640563,0.040901035,0.0442591,3.4062414,2431.8496,72839589,16426,245272,remotely,possible
remotely~believable,68,3.1172142,64.8827858,0.004694719,0.004919337,0.003950896,0.004139778,3.3284526,290.0255,72839589,16426,13823,remotely,believable
