key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
remotely~comparable,125,2.3305046,122.6694954,0.051110335,0.05206164,0.019929992,0.020288914,5.048069,759.06351,6347364,6161,2401,remotely,comparable
remotely~close,733,45.1201609,687.8798391,0.01490706,0.015768528,0.111759156,0.118974194,3.745185,2801.9388,6347364,6161,46485,remotely,close
remotely~similar,169,10.7624469,158.2375531,0.014296037,0.015241703,0.0257087,0.027430613,3.3473792,620.70321,6347364,6161,11088,remotely,similar
remotely~believable,38,1.3938378,36.6061622,0.025497524,0.026462395,0.005947367,0.00616783,3.3084474,179.16789,6347364,6161,1436,remotely,believable
remotely~credible,34,1.398691,32.601309,0.022629224,0.023594726,0.0052967025,0.0055185845,3.038308,152.69035,6347364,6161,1441,remotely,credible
remotely~interested,364,33.5287882,330.4712118,0.009619301,0.010537591,0.05369133,0.05908132,3.0255399,1096.4999,6347364,6161,34543,remotely,interested
remotely~related,163,13.8413143,149.1586857,0.010483488,0.011430575,0.024233663,0.026456743,2.9149933,510.84834,6347364,6161,14260,remotely,related
remotely~funny,141,14.5518221,126.4481779,0.008454345,0.009405016,0.02054391,0.022885894,2.5774755,391.23044,6347364,6161,14992,remotely,funny
remotely~true,251,33.9403392,217.05966080000002,0.0062419437,0.0071781967,0.035265468,0.04074014,2.3744068,579.4478,6347364,6161,34967,remotely,true
remotely~plausible,25,1.3656893,23.6343107,0.016801387,0.017768301,0.0038398432,0.0040577827,2.297654,98.582728,6347364,6161,1407,remotely,plausible
