adv_form_lower,SUM,something,some,all,always,often,many,everyone,someone,everything,sometimes,everybody,or,either,both,somebody
SUM,400,105,52,38,37,27,24,23,23,20,15,11,8,7,6,4
very,83,30,13,9,17,0,1,4,1,3,1,2,0,0,1,1
so,42,15,3,2,3,3,2,3,4,0,2,3,0,2,0,0
more,42,11,5,1,5,7,2,2,2,2,2,0,2,0,1,0
too,40,0,4,16,2,5,4,1,0,2,1,1,0,4,0,0
as,29,11,5,0,1,1,1,0,4,2,2,1,1,0,0,0
really,9,3,1,2,0,0,0,2,0,0,0,0,0,0,0,1
extremely,8,1,0,1,3,0,0,1,0,2,0,0,0,0,0,0
quite,7,3,1,0,0,0,0,2,0,0,0,1,0,0,0,0
still,7,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0
pretty,6,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0
much,6,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0
less,6,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
equally,5,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0
highly,5,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
even,5,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0
simply,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
just,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
most,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
all,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
dangerously,4,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0
little,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
absolutely,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
perfectly,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
no,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
completely,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
far,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
critically,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
practically,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
possibly,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
rather,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
well,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
also,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
real,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mentally,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
reasonably,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
totally,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
truly,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
virtually,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
readily,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brutally,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
remarkably,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
seriously,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
uniquely,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sexually,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
purely,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
better,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
barely,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
strongly,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
super,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
technically,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
terminally,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
already,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
especially,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
plain,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
probably,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
essentially,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entirely,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exactly,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
eminently,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
freely,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
half,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
drastically,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
home,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
humanly,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
immediately,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
increasingly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disturbingly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kinda,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
legally,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
deliberately,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deeply,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mostly,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
noticeably,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
now,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
overly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
painfully,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
particularly,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
about,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
