bigram_lower,SUM,ADJ,MIR
quite_startling,1,0,1
quite_proficient,1,0,1
quite_notorious,1,1,0
quite_happy,1,1,0
quite_flexible,1,1,0
absolutely_certain,1,1,0
quite_controversial,1,0,1
purely_american,1,0,1
probably_glad,1,1,0
pretty_tired,1,1,0
pretty_nasty,1,1,0
pretty_much,1,1,0
more_subtle,1,1,0
more_substantial,1,1,0
more_sinister,1,1,0
more_serious,1,0,1
more_consistent,1,1,0
more_concerned,1,1,0
more_comfortable,1,1,0
more_challenging,1,1,0
more_appropriate,1,1,0
more_ambitious,1,0,1
more_akin,1,0,1
more_aggressive,1,1,0
more_advantageous,1,1,0
mentally_unstable,1,0,1
mentally_strong,1,1,0
little_better,1,1,0
less_welcoming,1,1,0
less_threatening,1,0,1
less_important,1,1,0
more_contemporary,1,1,0
more_creative,1,1,0
more_enthusiastic,1,1,0
more_memorable,1,1,0
more_restrictive,1,1,0
more_precise,1,1,0
more_original,1,0,1
more_objective,1,1,0
more_motivated,1,1,0
more_modern,1,1,0
more_loyal,1,0,1
more_equal,1,1,0
more_interesting,1,0,1
more_intense,1,1,0
more_injured,1,1,0
more_generous,1,1,0
more_forthcoming,1,1,0
more_expensive,1,1,0
quite_excited,1,1,0
