key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~very,NEGATED,very,189823,303265.0,-95938.4529,-0.3758268,-0.20679499,-0.07148923,0.31296557,0.05981162,3173681,606530,6347362,189823.0,2983858.0,416707.0,2756974.0,3173681.0,3173681.0,606530.0,5740832.0,2870416.0,303265.0,2870416.0,-260.3751,0.10042984,-0.20347346,-0.20679499,-0.07148923,0.20679499,-0.13914211,-113442.0,-0.5976199,-1.1137232,-1.1125555,-1.1142457,-1.1155106,-1.1231638,-1.1184027,435.6868141222546,1781.4828093473145,778.8003595273951
COM~particularly,COMPLEMENT,particularly,21195,38361.0,-16109.8863,-0.42302006,-0.22648038,-0.010817722,0.27625713,0.006678365,3173681,76722,6347362,21195.0,3152486.0,55527.0,3118154.0,3173681.0,3173681.0,76722.0,6270640.0,3135320.0,38361.0,3135320.0,-117.91048,0.01304146,-0.25765648,-0.22648038,-0.010817722,0.22648038,-0.11864905,-17166.0,-0.809908,-1.3293356,-1.3259462,-1.3308523,-1.3345255,-1.3567693,-1.3429273,145.58502670261115,1781.4828093473145,276.98736433274354
NEG~more,NEGATED,more,161916,276741.0,-107332.7905,-0.4179604,-0.22727765,-0.07236077,0.29254067,0.05101836,3173681,553482,6347362,161916.0,3011765.0,391566.0,2782115.0,3173681.0,3173681.0,553482.0,5793880.0,2896940.0,276741.0,2896940.0,-285.359,0.08688431,-0.23278373,-0.22727765,-0.07236077,0.22727765,-0.14981921,-114825.0,-0.709164,-1.2519735,-1.2507281,-1.2525308,-1.2538801,-1.2620443,-1.2569653,402.3878725806731,1781.4828093473145,743.9637087923039
COM~too,COMPLEMENT,too,123480,216574.5,-88562.9987,-0.42665368,-0.2306657,-0.058666576,0.2850751,0.0389075,3173681,433149,6347362,123480.0,3050201.0,309669.0,2864012.0,3173681.0,3173681.0,433149.0,5914213.0,2957106.5,216574.5,2957106.5,-264.9267,0.0684701,-0.2440107,-0.2306657,-0.058666576,0.2306657,-0.14466614,-93094.5,-0.7539237,-1.3013512,-1.299933,-1.3019857,-1.3035222,-1.3128195,-1.3070354,351.3972111443117,1781.4828093473145,658.1405624940618
NEG~less,NEGATED,less,13450,32728.0,-24486.65,-0.59265035,-0.29758728,-0.012148669,0.20548154,0.004237981,3173681,65456,6347362,13450.0,3160231.0,52006.0,3121675.0,3173681.0,3173681.0,65456.0,6281906.0,3140953.0,32728.0,3140953.0,-166.22672,0.008304681,-0.38619718,-0.29758728,-0.012148669,0.29758728,-0.15486798,-19278.0,-1.4333086,-1.8791429,-1.8750969,-1.8809537,-1.8853397,-1.9119208,-1.8953757,115.97413504743201,1781.4828093473145,255.84370228715812
COM~always,COMPLEMENT,always,23169,63526.0,-56491.92,-0.6629012,-0.32412955,-0.025432298,0.1823584,0.007300356,3173681,127052,6347362,23169.0,3150512.0,103883.0,3069798.0,3173681.0,3173681.0,127052.0,6220310.0,3110155.0,63526.0,3110155.0,-265.13388,0.0140387,-0.43804422,-0.32412955,-0.025432298,0.32412955,-0.17478092,-40357.0,-1.7418534,-2.1106331,-2.1075888,-2.1119957,-2.1152956,-2.1352863,-2.122845,152.2136656151477,1781.4828093473145,356.4435439168453
COM~as,COMPLEMENT,as,124952,328341.5,-300341.1257,-0.69114166,-0.3454633,-0.12817262,0.1902775,0.039371315,3173681,656683,6347362,124952.0,3048729.0,531731.0,2641950.0,3173681.0,3173681.0,656683.0,5690679.0,2845339.5,328341.5,2845339.5,-575.3829,0.06524289,-0.41958258,-0.3454633,-0.12817262,0.3454633,-0.23681797,-203389.5,-1.6277411,-2.0658886,-2.0645652,-2.0664809,-2.067915,-2.076594,-2.0711942,353.48550182433223,1781.4828093473145,810.3597966335694
COM~entirely,COMPLEMENT,entirely,9506,36413.5,-44996.2964,-0.83098036,-0.37375984,-0.016956652,0.13052851,0.00299526,3173681,72827,6347362,9506.0,3164175.0,63321.0,3110360.0,3173681.0,3173681.0,72827.0,6274535.0,3137267.5,36413.5,3137267.5,-275.978,0.005856138,-0.5832646,-0.37375984,-0.016956652,0.37375984,-0.19535825,-26907.5,-2.8305807,-2.6541398,-2.649559,-2.6561904,-2.6611578,-2.6912901,-2.6725292,97.49871794028884,1781.4828093473145,269.86478095520357
COM~only,COMPLEMENT,only,14907,64204.5,-87362.4027,-0.89537233,-0.39183697,-0.03106645,0.11608999,0.004697069,3173681,128409,6347362,14907.0,3158774.0,113502.0,3060179.0,3173681.0,3173681.0,128409.0,6218953.0,3109476.5,64204.5,3109476.5,-403.76602,0.009028827,-0.63417524,-0.39183697,-0.03106645,0.39183697,-0.21145171,-49297.5,-3.3070035,-2.8639393,-2.8603022,-2.8655672,-2.8695107,-2.893418,-2.8785353,122.09422590769803,1781.4828093473145,358.342015398697
NEG~most,NEGATED,most,19204,173496.0,-348424.9709,-1.2768995,-0.47036952,-0.09723221,0.05534422,0.006051018,3173681,346992,6347362,19204.0,3154477.0,327788.0,2845893.0,3173681.0,3173681.0,346992.0,6000370.0,3000185.0,173496.0,3000185.0,-1113.3906,0.010909278,-0.95589775,-0.47036952,-0.09723221,0.47036952,-0.28380087,-154292.0,-8.034368,-4.038133,-4.0350327,-4.0395207,-4.042882,-4.0632586,-4.050574,138.57849761056005,1781.4828093473145,589.0602685634128
