key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~merely,NEGATED,merely,5944,1330.684,9223.6577,0.7134558,0.12961186,0.0014854599,0.16692878,0.0018424077,3226213,35608,86330752,5944.0,3220269.0,29664.0,83074875.0,3226213.0,83104539.0,35608.0,86295144.0,3224882.315512229,34277.315512229,83070261.68448777,59.837543,0.00364459,0.12961186,0.65000373,0.0014854599,0.12961186,0.12961186,0.0001925332,4613.316,0.7761299,36.478542,67.921394,2.2629302,2.2568755,2.265641,2.2722096,2.310303,2.2771876,77.09734106958553,1796.1661949830811,188.70082140785715
NEG~any,NEGATED,any,15492,3518.496,23683.004,0.70697564,0.1273109,0.003855396,0.16454244,0.004801915,3226213,94152,86330752,15492.0,3210721.0,78660.0,83025879.0,3226213.0,83104539.0,94152.0,86236600.0,3222694.503990884,90633.503990884,83013905.49600911,96.198326,0.009331504,0.1273109,0.6437504,0.003855396,0.1273109,0.1273109,0.00049083395,11973.504,0.77288306,59.31691,109.42351,2.2781208,2.2743807,2.2797954,2.283853,2.3073847,2.2869282,124.46686306001288,1796.1661949830811,306.8419788751207
NEG~always,NEGATED,always,104605,24330.098,157437.5609,0.7043865,0.12423702,0.025848035,0.16067049,0.032423463,3226213,651053,86330752,104605.0,3121608.0,546448.0,82558091.0,3226213.0,83104539.0,651053.0,85679699.0,3201882.902049632,626722.902049631,82477816.09795037,248.20102,0.053958125,0.12423702,0.6334086,0.025848035,0.12423702,0.12423702,0.003211283,80274.902,0.7674098,155.98108,283.32825,2.2773097,2.275891,2.2779448,2.2794838,2.2884088,2.28065,323.4269623887285,1796.1661949830811,806.8785534391158
NEG~directly,NEGATED,directly,8317,2034.481,11654.565,0.6678727,0.11547333,0.0020229332,0.15277089,0.0025779451,3226213,54441,86330752,8317.0,3217896.0,46124.0,83058415.0,3226213.0,83104539.0,54441.0,86276311.0,3224178.519147418,52406.519147418,83052132.48085259,68.88909,0.00507033,0.11547333,0.6115131,0.0020229332,0.11547333,0.11547333,0.00023359484,6282.519,0.75538284,45.10522,79.262344,2.1277435,2.1226697,2.1300151,2.13552,2.1674426,2.1396914,91.19758768739445,1796.1661949830811,233.32595226420912
NEG~as,NEGATED,as,535450,140672.424,741321.728,0.69221383,0.109656096,0.127116,0.14224514,0.16596858,3226213,3764276,86330752,535450.0,2690763.0,3228826.0,79875713.0,3226213.0,83104539.0,3764276.0,82566476.0,3085540.575800706,3623603.575800706,79480935.4241993,539.50195,0.15319386,0.109656096,0.58050996,0.109656096,0.127116,0.127116,0.013939044,394777.576,0.73728186,375.06323,628.3133,2.0847673,2.0841866,2.0850275,2.0856576,2.0893116,2.0861351,731.7444909256236,1796.1661949830811,1940.1742189813779
NEG~sufficiently,NEGATED,sufficiently,5648,1595.939,6590.7012,0.59454423,0.09492966,0.0013047392,0.13225308,0.0017506594,3226213,42706,86330752,5648.0,3220565.0,37058.0,83067481.0,3226213.0,83104539.0,42706.0,86288046.0,3224617.06055564,41110.060555641,83063428.93944436,53.917355,0.003455577,0.09492966,0.54887825,0.0013047392,0.09492966,0.09492966,0.00012385844,4052.0609999999997,0.7174329,39.949203,63.6558,1.8676219,1.861536,1.8703467,1.8769494,1.9152397,1.881953,75.15317691222374,1796.1661949830811,206.65430070530834
NEG~mutually,NEGATED,mutually,5940,1699.642,6815.0533,0.58829516,0.09328275,0.0013653697,0.13060398,0.001841168,3226213,45481,86330752,5940.0,3220273.0,39541.0,83064998.0,3226213.0,83104539.0,45481.0,86285271.0,3224513.357751396,43781.357751395,83060757.6422486,55.018566,0.003631146,0.09328275,0.5434289,0.0013653697,0.09328275,0.09328275,0.00012736543,4240.358,0.713865,41.226715,65.118034,1.849506,1.8435775,1.8521605,1.8585924,1.8958926,1.8634666,77.07139547199077,1796.1661949830811,213.26274873967088
NEG~inherently,NEGATED,inherently,6847,2058.659,7333.5541,0.5637134,0.08697716,0.0015418167,0.12429204,0.0021223025,3226213,55088,86330752,6847.0,3219366.0,48241.0,83056298.0,3226213.0,83104539.0,55088.0,86275664.0,3224154.340511618,53029.340511617,83051509.65948838,57.86752,0.004173345,0.08697716,0.5219158,0.0015418167,0.08697716,0.08697716,0.00013410285,4788.341,0.69933414,45.372448,69.19784,1.775006,1.7695048,1.7774692,1.7834375,1.8180494,1.7879604,82.74660113865706,1796.1661949830811,234.70832963488962
NEG~readily,NEGATED,readily,10460,3305.859,10423.7943,0.5393781,0.08095544,0.0023035903,0.11824286,0.0032421914,3226213,88462,86330752,10460.0,3215753.0,78002.0,83026537.0,3226213.0,83104539.0,88462.0,86242290.0,3222907.141452562,85156.141452561,83019382.85854743,69.95064,0.006311328,0.08095544,0.5002474,0.0023035903,0.08095544,0.08095544,0.00018648816,7154.141,0.6839523,57.4966,84.58215,1.711593,1.7071596,1.7135779,1.7183876,1.7462802,1.7220324,102.27414140436477,1796.1661949830811,297.42562095421437
NEG~particularly,NEGATED,particularly,55799,21523.844,40303.4169,0.44627395,0.0599093,0.011036393,0.09687999,0.01729551,3226213,575960,86330752,55799.0,3170414.0,520161.0,82584378.0,3226213.0,83104539.0,575960.0,85754792.0,3204689.155988077,554436.155988077,82550102.84401192,145.09961,0.029351112,0.0599093,0.41370657,0.011036393,0.0599093,0.0599093,0.0006611826,34275.156,0.6142611,146.71007,185.13551,1.4337329,1.431849,1.4345764,1.4366204,1.4484736,1.4381692,236.21811954208763,1796.1661949830811,758.9202856690549
